m/z,I
836.42223,243199
944.51165,210083
1095.53883,135215
1105.54803,1334563
1111.53305,297619
1162.56669,270675
1198.67370,148620
1240.64195,292208
1278.68385,213003
1290.68349,167560
1293.65361,214824
1298.59604,215990
1465.64326,196802
1735.76837,326047
1795.83761,212154
1832.78533,129391
1848.77916,273576
1864.77217,210969
1908.83444,248383
1947.87944,445328
1974.88667,1159004
1997.85324,368684
2014.87779,2743258
2018.90915,297366
2039.86002,187622
2056.88447,1642025
2098.00519,723936
2113.90125,291069
2143.04740,496918
2513.05706,297350
2601.91446,254357
2695.06772,1030347
2703.07457,305990
2743.14581,2136265
2791.09426,402678
2883.23552,608797
2899.22976,1158923
2957.24495,171647
3003.17708,902414
3100.19167,480217
3116.18861,1828506
3132.18103,1652915
3173.19967,202723
3183.24363,851981
3387.34284,935450
