m/z,I
701.34693,398138
702.40380,556454
719.40919,171827
735.33051,229969
836.42228,710759
840.45344,425830
842.39629,275897
852.41649,827493
868.44726,837235
898.49293,527775
954.46225,149832
1038.46164,316234
1070.61078,457952
1095.53903,2579887
1105.54808,6788723
1109.49947,179934
1115.51654,316725
1131.51095,218757
1143.49301,534517
1152.55778,657484
1162.56666,1621566
1210.62165,342419
1219.58522,450967
1223.58004,339871
1226.61608,1171712
1240.64216,1265523
1245.60937,250311
1267.63984,1502853
1297.66016,181585
1364.78509,201282
1376.56751,163206
1415.61374,216927
1437.66681,357616
1449.69883,234599
1459.64612,2640520
1465.64477,2601952
1473.62422,453397
1478.64912,156599
1516.66327,557881
1548.72351,211639
1562.72764,217841
1562.77492,593992
1569.71443,350805
1623.71423,139422
1624.64457,127773
1655.73862,1251992
1749.78454,1426885
1806.80030,396820
1812.81472,249362
1832.78669,300182
1850.75951,490622
1908.83573,436406
1947.87954,642390
1961.89409,2174771
2002.91668,3478262
2016.82543,193007
2024.97994,1997545
2033.88041,307422
2039.85847,691650
2041.84449,292722
2044.89826,972812
2049.86417,307475
2056.88506,11046525
2065.86976,262534
2071.99409,325994
2072.88157,244525
2081.99571,555396
2094.82841,1319392
2104.90215,1802415
2113.90324,1046633
2120.89797,1083801
2131.01419,4963738
2143.88352,764474
2157.89762,540182
2161.91873,201440
2168.95791,608474
2172.03835,549330
2188.03005,940971
2199.95451,173931
2214.85977,904505
2215.94927,3078100
2229.05346,194942
2254.95578,305111
2257.93272,449933
2272.96485,379146
2273.03520,308783
2276.98207,520736
2282.05874,519236
2287.98722,304582
2329.97768,161574
2339.98365,207736
2420.04977,878968
2471.08051,1682549
2477.06484,228953
2487.07096,886205
2497.06541,316660
2509.02107,252834
2513.06083,234883
2566.05904,314595
2655.08013,268249
2684.98311,269132
2689.09710,1015053
2705.08875,3382906
2719.06633,444890
2727.15179,1647021
2737.13740,282201
2743.03506,341211
2762.10914,547263
2775.10259,312271
2785.13848,613250
2801.12758,1884444
2828.13262,214105
2839.06431,252725
2853.22696,3317275
2869.22130,1176290
2910.24868,733583
2926.24181,546809
2959.16528,906179
2967.25845,271229
2975.15480,2676215
2983.25329,249480
3013.09298,407623
3032.16352,385705
3052.19308,436984
3100.19459,1624292
3116.19032,2495032
3132.18487,788290
3138.13683,296224
3142.19299,171989
3154.13302,450213
3157.21555,238717
3167.25616,782846
3173.20335,381953
3188.18924,183480
3241.16323,610065
3371.34691,571585
3387.34223,598074
3563.14444,207093
