m/z,I
701.34695,208982
836.42244,501873
842.39629,208206
868.44719,365893
898.49308,458720
1099.52311,142576
1105.54825,5731945
1121.55357,2589269
1143.49304,214575
1159.49942,126188
1162.56675,1488197
1178.57243,659324
1180.61298,1261213
1196.60720,802644
1219.58550,361715
1239.61044,1063782
1240.64225,1027720
1280.59891,118529
1297.66016,305703
1435.63658,1667968
1453.69715,885482
1459.64626,2105937
1492.65410,221981
1516.66441,522690
1550.70378,864793
1550.76230,129808
1586.70096,621650
1619.79281,136453
1636.78132,271258
1655.73922,1296534
1719.77678,1343352
1776.79292,268905
1795.83888,753290
1804.82188,202356
1852.85575,198292
1892.84238,884284
1900.79788,218357
1944.86945,686313
1949.85970,158382
1961.89410,11028798
1977.88746,275246
1990.88291,734653
2001.88484,162093
2005.86841,749240
2014.86798,344042
2018.91029,1530977
2019.85881,199319
2027.97300,1676057
2039.86201,1216335
2040.89298,615277
2043.96489,1908512
2044.89845,877781
2056.88505,13835273
2065.87060,448948
2072.88146,818903
2081.86441,502808
2088.90910,1280327
2094.82852,615440
2100.98062,158481
2104.90221,1604147
2107.94957,482061
2113.90315,1597764
2131.01431,4413522
2145.92386,194927
2147.00542,216487
2171.92937,326436
2178.98898,1601603
2187.92096,3473966
2188.03128,1236283
2214.85954,556135
2216.93052,307939
2221.98232,280983
2230.85618,233517
2236.00378,534236
2244.93766,587794
2245.04685,409380
2246.97457,638718
2280.97025,435406
2347.96275,249516
2363.95612,215250
2420.04980,1033593
2439.09740,439572
2477.06089,320318
2483.05332,370148
2550.00345,284852
2564.01517,573720
2580.00440,344895
2673.10529,510470
2689.09717,1361303
2705.08872,2593062
2719.06671,394737
2766.15892,4782242
2785.12699,555265
2867.24011,549805
2883.23688,4230696
2899.23114,480252
2918.10135,341838
2921.18328,291546
2940.25649,1606121
2956.24815,204465
2987.18827,3784538
2997.26321,615041
3025.12648,173393
3036.19984,230040
3044.19868,876444
3052.19128,329696
3084.19993,415328
3100.19375,1698586
3116.19008,2863737
3121.28117,291981
3132.18405,870817
3153.24308,2365969
3157.21367,451156
3169.23343,2097046
3173.19985,602817
3210.25036,279318
3225.30704,816893
3226.24071,326866
3241.16253,539728
3241.29714,1651648
3256.17976,333311
3257.15447,359679
3297.30749,1085017
3327.39657,1057121
3354.32462,473799
3371.34838,1210671
3387.34576,998797
3428.36873,450667
3444.36198,291064
3549.37013,199499
3605.37437,323606
