m/z,I
840.45324,220043
868.44728,298155
898.49310,491828
1105.54829,3410319
1107.51613,252219
1121.55362,2777594
1159.49836,141785
1162.56686,526500
1170.48996,174357
1178.57247,324203
1180.61287,537351
1196.60701,369529
1239.61007,403989
1240.64172,462981
1274.69030,118932
1314.62696,103998
1422.66443,166095
1435.63706,1502384
1453.69741,1147406
1459.64625,1050105
1482.68893,220274
1550.70310,540616
1562.77591,329655
1586.70102,517568
1615.76235,273990
1636.78162,253346
1719.77670,584639
1795.83884,760185
1799.72733,454716
1804.82197,372839
1891.84019,907228
1892.84210,371953
1919.87684,264618
1944.86920,619976
1961.89425,10184508
1995.88635,184910
2012.91130,1532064
2018.91004,727266
2027.97298,2150955
2039.86115,1210978
2043.96468,2756340
2056.88507,13980166
2094.82771,537879
2104.90225,1031912
2107.95011,670954
2113.90355,1014346
2120.89696,378801
2131.01512,4139863
2164.96776,142332
2187.92126,3973795
2188.02362,719940
2214.86016,540960
2280.96870,360905
2347.96316,676625
2363.95950,687974
2419.97141,154376
2420.04945,232435
2436.04549,464702
2455.08954,2681322
2471.07995,1457046
2483.05187,859196
2499.04517,710531
2512.10322,440758
2528.09947,309419
2535.06601,541661
2545.91609,163623
2550.00382,276502
2650.08613,307324
2687.08659,275826
2689.09715,1836789
2705.08877,6097631
2719.06558,735745
2737.12519,256780
2785.12487,1058395
2805.08598,485636
2820.17363,210652
2883.23646,4526454
2899.23240,758965
2940.25662,1069050
2987.18896,3908237
3036.19828,525486
3044.19919,632107
3052.19143,1050024
3100.19528,2562744
3116.19071,5975250
3121.28209,504230
3132.18584,325859
3137.27605,619069
3138.14342,278502
3153.24382,2204494
3154.13412,431550
3169.23462,2281359
3173.20321,778682
3225.30637,686107
3241.29813,1319069
3297.30748,287254
3371.35290,336000
3387.34551,1181953
3444.36418,278977
3549.36914,247605
3752.29693,226136
