m/z,I
911.98157,85293
959.97862,97331
1007.97747,176125
1055.97483,168344
1079.97396,160662
1095.53899,171721
1103.97244,181456
1127.97199,135514
1151.97045,242708
1199.96764,232260
1224.96988,161694
1247.96565,227135
1272.96767,182240
1295.96292,169107
1319.96143,189887
1367.95914,256951
1415.95506,291971
1439.95408,248407
1453.69669,182491
1464.95617,228108
1488.95442,232997
1512.95275,220199
1536.95150,225895
1560.94954,270341
1584.94820,257118
1608.94563,221552
1632.94462,241275
1655.93892,296243
1680.94064,236347
1703.93594,201850
1728.93603,183991
1752.93533,196639
1776.93306,219389
1800.93057,228373
1823.92657,340875
1848.92746,323965
1872.92557,350051
1889.84293,481117
1896.92279,372158
1920.92188,412648
1944.91980,314733
1968.91650,465039
1992.91537,417071
2015.90868,347792
2039.86122,135541
2040.91061,394447
2055.99915,222261
2056.88587,1015269
2064.90853,376126
2071.99464,440927
2072.94409,475756
2088.90581,395870
2112.90423,501219
2129.95861,216018
2136.90161,541709
2154.06352,127709
2160.89878,559615
2170.05697,107441
2184.89733,671944
2208.89321,546183
2232.89329,578738
2256.88746,567450
2280.88754,619873
2304.88497,668562
2328.88133,488084
2352.88071,594132
2376.87733,534266
2400.87330,478184
2424.87274,452058
2448.87103,567995
2451.06953,90845
2472.86602,409088
2496.86200,348715
2520.86175,472254
2544.85939,396233
2568.85499,443357
2592.84999,271146
2616.85063,313269
2640.84861,398108
2664.84407,393153
2672.08387,172932
2688.83728,356870
2703.07522,225970
2712.83566,265362
2736.83592,243579
2760.83670,283462
2769.15972,426376
2784.83151,303903
2808.82688,280310
2832.81723,247548
2856.81791,233576
2869.22046,129519
2904.81635,181205
2928.81575,243552
2950.27263,106921
2952.80861,246629
2976.80298,257515
3000.79757,188249
3024.79379,158347
3048.78906,157924
3096.78405,168486
3144.78770,191963
3169.78483,179170
3288.75160,167600
3313.75214,136346
3336.74984,178929
3361.75320,129221
3408.74867,194412
3432.74544,211295
3456.74602,144192
3480.73948,148505
3504.73160,156693
3528.72889,134899
3600.70149,137792
3672.69866,111673
