m/z,I
715.39907,593099
720.35653,259489
758.36675,607627
785.37632,387114
840.45325,876628
868.44735,607780
872.40562,495548
882.46229,466463
886.42018,196465
898.49309,1587222
976.42750,191786
1012.53112,163782
1045.54082,126417
1052.52405,249008
1095.53911,1223815
1100.47016,610273
1105.54818,3884774
1115.51654,655194
1121.55334,707614
1129.53143,367772
1141.53104,366077
1157.52485,403327
1162.56657,5681766
1174.51862,1005245
1177.53673,179821
1184.46196,255267
1196.60675,554585
1200.51182,497465
1219.58562,987576
1220.64177,656428
1221.62595,300025
1239.61029,1257192
1240.64134,427563
1248.51123,351514
1264.50509,228455
1291.60233,186800
1319.63218,1176413
1359.62725,204209
1393.62796,2515612
1431.57173,229394
1435.63661,1430501
1445.63040,248886
1450.64612,368415
1453.69570,263846
1459.64611,4991514
1466.65180,177005
1492.65378,265258
1533.71894,354205
1534.72059,188559
1550.70271,920214
1561.74377,1595488
1562.72805,708895
1563.63225,313973
1572.72186,3021689
1578.73283,466424
1586.70001,919978
1594.76297,1409959
1610.68353,654379
1620.75500,474039
1655.73929,1394030
1655.75397,303377
1681.75237,534141
1697.74597,2561932
1719.77663,902940
1720.72382,406388
1749.74805,644688
1758.66631,452692
1759.65007,280500
1791.65673,232723
1800.79868,426051
1812.81516,814011
1816.79256,1354440
1832.78490,1281787
1841.86411,491730
1843.72011,223605
1848.78030,309336
1850.76070,769821
1857.85815,506968
1879.80822,359057
1886.88309,1157756
1895.80164,289625
1909.86807,483938
1924.82665,1064676
1961.89446,5293803
1962.84023,771626
1974.84933,3547870
1975.90803,1071874
1994.85509,402087
2005.86856,501736
2018.91102,512578
2027.97321,268424
2038.87717,348973
2039.86149,1033870
2040.89385,1007683
2044.92431,832833
2056.88524,22465180
2061.88268,203556
2065.87036,263303
2072.88075,620801
2078.86667,346420
2081.86575,209528
2094.82893,2140226
2104.90124,1365943
2111.87650,766861
2113.90297,1513718
2119.99100,838548
2120.89665,612496
2131.01447,3849602
2132.99363,3433502
2136.92701,376055
2146.94455,1483434
2148.92366,567005
2148.98515,2119019
2162.93972,3080853
2167.91978,626204
2168.95919,291065
2187.92086,935339
2188.02270,2083238
2200.88093,234731
2203.88516,317655
2206.00155,617432
2213.93381,1951463
2214.85972,828757
2220.95597,271118
2225.96847,217369
2229.92900,1499273
2251.88700,1909202
2258.89452,196865
2267.02695,388468
2267.88019,1442860
2289.83232,239205
2296.96535,253660
2302.05558,231720
2305.82475,240221
2315.92918,856902
2334.96845,361089
2353.87397,509619
2383.82548,198391
2391.81708,144615
2395.00437,178360
2420.04951,552719
2429.07633,842581
2450.03844,158086
2466.03037,231155
2471.07756,327025
2511.11814,868056
2513.06144,789056
2532.03579,596585
2539.14936,931642
2548.06420,348366
2564.97840,398925
2569.97198,346066
2584.99938,226696
2667.06714,266567
2673.10784,1792690
2683.05581,318816
2689.09743,4758581
2695.08276,340270
2705.08978,3501759
2719.06697,3553510
2725.17273,1879863
2727.04032,575767
2733.15521,571502
2741.16770,1066489
2777.14541,558817
2785.12761,239305
2820.27716,197860
2837.27106,258379
2853.22727,310603
2879.24232,3495268
2883.23627,2247617
2895.23531,1035616
2899.23231,196072
2927.29972,262147
2936.26079,563655
2987.18819,1869660
3005.13467,442993
3017.15545,265472
3036.20192,216307
3044.19503,250178
3052.19234,588170
3084.19965,673147
3100.19439,3479846
3116.19003,2176031
3138.14067,503587
3155.21585,516453
3241.16053,297967
3241.29776,428352
3387.34638,239091
3401.32143,332714
