m/z,I
698.35777,301730
700.43501,493499
706.36347,540346
712.37461,366338
809.43121,190756
852.46921,327667
898.51123,568298
1025.46533,427059
1032.59545,246178
1074.58515,587788
1078.58948,254796
1106.57798,230328
1106.59986,388750
1108.50259,212230
1109.53392,460012
1121.57040,407574
1125.52902,533322
1126.62225,232504
1128.54792,2727366
1138.56062,541468
1144.58615,285732
1146.56556,333918
1162.59697,9588062
1174.54943,1898893
1189.57948,283701
1191.61242,325789
1192.57192,266468
1193.55563,367501
1193.62757,339899
1198.70629,763654
1210.54563,344891
1220.67550,1712431
1221.65928,1975829
1240.67658,174020
1248.63389,346892
1250.61336,268774
1267.63954,353296
1288.74213,1702202
1303.63934,347973
1304.67122,230181
1319.63465,1038289
1319.67165,1326761
1320.73203,434983
1362.64047,241512
1366.76465,1534708
1392.76405,1068221
1393.67148,2636884
1400.69301,542741
1422.75011,269694
1435.70934,6723465
1441.57375,423931
1459.69417,1796268
1467.69849,1211596
1507.61063,1610918
1515.75043,301944
1538.72455,539106
1549.81015,607860
1561.79855,6965387
1562.78261,3897090
1572.77723,2442161
1578.80411,14053356
1592.72959,360838
1594.79877,8344284
1603.81997,2538342
1631.81401,213226
1638.88629,1037878
1662.85697,899711
1677.86092,251749
1688.84750,426102
1726.86623,404584
1731.89563,401091
1739.81325,592751
1743.82126,868326
1749.81562,375881
1752.86818,352894
1754.84589,277577
1765.85886,1044345
1777.87413,476854
1788.95525,466652
1790.89393,548922
1800.87196,1974336
1816.86624,2822178
1832.86131,1395851
1850.98819,414679
1860.89715,676086
1888.91947,553788
1899.87659,243570
1920.95463,1810719
1945.94176,488081
1958.89744,486751
1963.94552,813019
1974.03403,806634
1974.93834,3143820
2012.95264,174791
2014.95870,438055
2039.95396,953479
2040.98642,1981256
2056.97962,10989406
2120.09188,5043875
2131.05399,384915
2149.08816,4558529
2163.04453,2239404
2173.16383,191781
2178.13666,355240
2191.94433,281379
2198.04718,818893
2214.04370,2453904
2221.95677,951320
2222.98736,477692
2228.03459,183927
2230.04164,869169
2237.95057,373309
2240.23082,459704
2242.13453,2440672
2252.00076,2126677
2258.12752,676701
2267.99457,4042642
2286.22680,584026
2314.08678,542390
2322.06814,460778
2358.20839,630623
2381.13941,320984
2429.20891,824424
2468.17391,343499
2478.28526,469119
2494.27893,1095491
2497.20773,1007243
2511.26037,19486370
2513.20488,1726669
2527.25872,637584
2552.24567,270807
2556.05263,352252
2570.06566,399031
2617.42173,425354
2657.27449,8679874
2673.26594,39055692
2682.29880,1130306
2687.24997,592537
2689.25857,21508324
2695.24345,935187
2699.31227,478501
2703.23879,2759182
2705.30124,341824
2719.23361,7126789
2724.30968,1576801
2733.32426,2804824
2741.33755,20394784
2753.31268,1264749
2758.33674,342864
2769.30775,3673601
2785.30130,4181237
2804.32568,11147854
2820.31530,304493
2863.43087,800446
2866.37107,775718
2879.43039,9755148
2882.36997,802342
2895.42737,4253710
2898.34775,1055243
2914.34491,599343
2916.35239,394570
2922.44236,408295
2927.49305,4146148
3013.41173,582832
3029.40529,449914
3036.40304,1746798
3052.39932,2544260
3055.43861,420020
3068.38874,621081
3068.42084,1934192
3084.41334,7352176
3100.41112,16692093
3113.42091,18274552
3116.41071,10750630
3132.40597,1058295
3152.47093,3554442
3168.46585,1131434
3401.58411,3512629
3414.59500,296255
3638.78064,2189022
3640.76381,3631632
3672.75753,620624
3742.62115,849626
3813.66734,1915491
3829.66960,514341
3845.66662,446415
3897.81712,406333
3912.83339,592179
3928.82522,380520
4022.90861,4152386
4038.90304,4955101
4070.94103,360315
4106.01770,410105
4122.01010,640631
4140.06438,490835
4268.06466,2079574
4284.05897,2834650
4330.04575,315385
4342.08523,894375
4358.07411,2927276
4374.06768,4326968
4390.05682,1046154
4440.20262,1068020
4456.19275,1696524
4469.09471,417867
