m/z,I
836.43778,763988
852.46917,640426
898.51102,898711
937.52176,431999
1010.50164,377904
1078.58972,525023
1095.56595,2958914
1106.59951,234381
1125.52854,302862
1128.54778,994293
1141.56047,391021
1156.53813,358661
1162.59675,20268780
1174.54927,4308471
1177.56739,462492
1184.57890,746480
1188.61218,514510
1193.62770,272608
1200.55259,224950
1208.56606,211842
1220.67527,3238422
1221.65900,3915523
1232.67499,405360
1245.63438,359661
1250.61310,176283
1256.18465,448089
1261.59270,219276
1291.63907,174272
1304.66986,147471
1312.63262,194738
1319.67149,4046154
1322.60168,555639
1366.76449,241469
1392.76408,1681042
1393.67115,8661666
1396.78397,287023
1406.75468,593659
1422.75097,555585
1435.70885,25225444
1454.68782,429461
1457.68991,883980
1459.69357,6627811
1467.69805,1267240
1471.73398,725748
1481.67456,209672
1489.69397,480659
1495.71389,154894
1532.74651,910330
1538.72377,891585
1549.80941,1366456
1561.79817,12981376
1562.78232,8588170
1562.82973,3316501
1563.68711,1445618
1572.77696,7747052
1578.78918,5560061
1578.80369,18588784
1579.68225,2539450
1594.79768,24615750
1603.81957,5833914
1610.74036,332164
1616.75960,257535
1616.78078,733549
1625.80088,278140
1631.81394,360808
1632.75398,287867
1638.88552,414299
1644.72187,409067
1648.77829,221837
1662.85657,510087
1664.77427,491330
1688.84659,501087
1691.80954,526495
1697.81099,706839
1711.84035,611615
1720.79013,3134775
1726.86555,1180758
1727.83467,433546
1731.89517,197965
1736.78322,661785
1739.81438,2344217
1742.74170,695014
1743.72577,660365
1754.84612,507671
1755.80860,3714053
1759.71836,658698
1765.85850,2919152
1766.84355,3947265
1777.87335,582593
1784.87523,547861
1800.87118,6167382
1816.86539,11206602
1819.84773,437507
1822.85358,297202
1831.85804,352183
1832.86071,5745732
1838.84646,415115
1854.82307,225481
1860.89516,532134
1886.96256,726266
1888.91901,2427907
1900.87840,351070
1903.95648,160740
1908.94315,544630
1920.95387,4271591
1932.91398,194694
1957.91252,1206537
1963.94472,1326051
1974.03261,838688
1974.93746,9800751
2012.95261,221942
2014.95807,665717
2023.95944,541656
2024.99110,511321
2029.84358,199033
2039.95447,1970498
2040.98561,8736841
2056.97836,44444608
2068.98187,240707
2078.96434,1515360
2094.93451,374991
2108.00515,1185253
2110.89886,406816
2120.09108,6798533
2121.07645,2261446
2129.98882,326767
2131.05438,1946292
2133.09436,514968
2147.04689,6504874
2149.08684,18195906
2150.98047,235210
2163.04365,8364172
2171.07336,1269183
2176.97474,397250
2189.96401,577343
2198.04641,1573266
2203.99576,1661196
2205.95719,1028759
2207.93726,616815
2214.04245,10250379
2221.95491,1476647
2222.98529,445389
2228.09740,1037228
2230.04051,5829846
2236.02706,619404
2238.07957,291739
2251.99967,15135128
2257.11864,534661
2267.99354,19923334
2273.98269,788566
2283.99045,630732
2289.97956,976647
2298.06671,297740
2300.12718,644580
2306.07719,678988
2314.08648,480278
2316.04848,2571665
2322.06929,2356897
2413.20925,337189
2427.14125,281734
2429.20848,2881145
2456.21425,353022
2465.09950,347706
2466.16545,1747904
2478.28393,586104
2481.21105,2201419
2494.27869,1140760
2497.20610,5387532
2511.25904,54961128
2513.20318,7677510
2519.19040,564862
2527.25779,1727345
2532.17926,1324262
2533.24525,3337913
2535.18780,285632
2538.07967,705004
2539.05474,408071
2549.21826,746075
2554.15864,1179462
2556.04897,372784
2567.24572,315196
2657.27361,5889871
2666.30558,1420694
2673.26513,51906456
2682.29786,5817288
2687.24749,1381592
2689.25719,50123708
2695.24412,3169237
2699.30850,553746
2703.23579,9224809
2711.23887,2911673
2719.23166,31535124
2724.30806,1850709
2727.21684,708844
2733.32264,7661756
2735.22945,748309
2741.33581,48592588
2749.31863,1074429
2753.30771,543802
2757.19262,642124
2763.32362,2506690
2769.30475,2943868
2773.15623,513593
2785.30061,4872876
2795.25744,740713
2804.32485,22345532
2820.31561,665911
2826.30264,1436575
2842.27414,396860
2844.34686,460211
2850.33344,554744
2860.34229,2204164
2863.43142,955112
2866.36904,2450288
2879.42728,28042208
2882.36723,3245734
2895.42494,13859566
2897.36420,466578
2899.27397,586379
2902.41958,1496991
2911.49422,378005
2914.34128,907816
2915.27882,4129896
2915.29588,1936031
2917.40688,1281665
2927.49208,9748931
2949.47143,697895
3036.40316,1381278
3052.39864,2353740
3068.41903,1266621
3084.41198,9859935
3091.48529,601489
3100.41007,30713220
3106.39719,928057
3116.40845,19156122
3122.39682,2384610
3138.39303,628257
3152.47074,10267255
3168.46462,3008394
3174.45034,734924
3401.58328,5977348
3414.59038,405021
3423.56725,581429
3444.59324,378076
3505.59332,597610
3521.58637,1651836
3586.52602,813596
3608.50439,764895
3632.70950,315783
3640.76540,2097120
3648.70060,441015
3742.62090,1335999
3797.67080,327687
3813.66619,3237500
3829.66548,595030
3835.65454,330672
3897.81650,291976
4022.90658,2966154
4038.90117,4764385
4054.89664,754426
4060.88493,314256
4141.05308,668174
4268.06210,2275673
4284.05636,2179184
4302.09782,592008
4342.07952,747688
4358.06927,2250878
4374.06474,3218414
4390.05507,1127379
4430.09781,234552
4440.19879,881612
4446.08904,285073
4456.19213,1601033
4470.09599,286802
