m/z,I
698.35794,254970
712.37486,397496
898.51148,360492
996.52251,229498
1010.50214,537866
1036.51723,233652
1079.52388,160892
1082.60704,360391
1095.56635,343533
1109.53413,510016
1125.52930,309025
1162.59732,3480064
1174.54973,1120034
1205.60292,201891
1220.67557,1158106
1221.65976,756296
1249.59272,247750
1261.59374,202484
1293.61893,214982
1319.70866,1969628
1377.67747,639347
1416.68728,331383
1437.67370,311594
1453.70882,591428
1495.73059,1462162
1511.72502,242999
1544.77120,230271
1562.78323,1056468
1562.83032,604280
1564.78874,4520535
1572.77780,1060067
1580.78449,2107821
1589.76800,319261
1603.82103,1604097
1662.85802,328484
1764.86544,575083
1832.86232,395626
1837.89551,252139
1917.91984,270216
2014.93416,395016
2032.94723,605333
2056.98082,2944650
2104.09536,677348
2120.09233,1069334
2133.09715,859481
2147.04962,658024
2149.08991,728312
2214.04590,457808
2230.04226,276968
2267.99551,573701
2345.11510,400334
2358.07643,432956
2402.13333,253448
2525.20999,357206
2525.28043,2018743
2689.25857,781935
2705.25532,3449741
2719.23409,846527
2725.34489,3020707
2777.32104,1513553
2785.30170,527025
2801.29079,719736
2861.35800,365302
2879.43279,1333558
2889.35651,603946
2913.47983,741080
3004.42055,601503
3020.41365,1169008
3036.40683,592619
3052.40173,548752
3068.42265,1470647
3079.45363,1826568
3084.41629,2615953
3095.45418,2519975
3100.41558,894325
3111.45069,2740769
3116.41162,1011926
3127.44773,1358319
3150.49816,326093
4022.91334,801608
4037.90325,306992
4152.03242,502453
4357.07719,464380
4426.19299,488925
