m/z,I
852.46911,260531
898.51105,226095
921.49411,335382
1095.56597,187009
1106.59905,224353
1138.56809,228604
1162.59685,1756931
1193.62818,247523
1198.70609,380274
1220.67539,363684
1254.71652,176202
1273.54922,182468
1288.74179,695376
1319.63488,249548
1319.67146,310949
1335.66588,198061
1393.67122,507577
1463.74013,715407
1537.67774,417741
1549.76531,560776
1561.79865,833976
1566.79236,969512
1604.81863,2890248
1620.81420,3249809
1622.89077,355742
1662.85716,228791
1731.94174,165414
1816.86523,305160
2056.97977,668851
2120.09158,324315
2133.09558,537993
2169.01577,348375
2223.93510,1363916
2239.92922,3039905
2242.13203,474666
2254.97398,441874
2429.20840,515893
2478.28507,257372
2494.27954,593156
2509.27176,182526
2522.27874,276181
2539.29427,1227384
2554.08891,629310
2570.08160,1131920
2584.09490,421196
2657.27415,1190704
2673.26641,5508501
2689.25941,6046712
2695.24448,245818
2725.34139,1372539
2776.31149,261131
2857.35968,396635
2873.35708,456200
2879.42981,527537
2927.49410,305903
2943.51438,281316
3052.40097,523308
3073.36875,393492
3097.42472,2028213
3101.41119,643905
3116.40839,3545328
3132.40502,4558376
4038.90568,295607
