m/z,I
1032.59575,365300
1040.60074,339470
1082.60724,301263
1104.58410,223829
1143.63429,300039
1161.57247,227159
1162.59706,2642217
1166.56034,255507
1174.54956,393201
1181.68003,321889
1189.57910,725380
1198.70636,6393211
1221.65927,536442
1239.51826,211361
1240.67635,326346
1245.70709,3251000
1253.58037,347669
1288.74222,15211521
1310.72456,494276
1312.63296,353033
1319.67118,492972
1321.72706,1453306
1322.60162,431821
1325.75502,320196
1335.66708,816310
1339.74899,1187005
1420.73800,283139
1431.77124,296153
1439.82243,220967
1459.69315,824286
1463.74068,2626711
1473.69943,461604
1476.57602,3387315
1480.71125,454355
1489.69462,393846
1491.61576,3890621
1515.75127,4080160
1522.87150,829155
1534.85024,324304
1537.74033,533027
1541.70984,341940
1548.80977,602101
1561.79907,1866793
1563.68646,267271
1573.74006,412891
1586.87265,289570
1594.81863,622055
1604.81929,3080913
1616.76860,1855796
1620.81413,3877802
1622.89008,331236
1623.83979,266931
1630.83106,336018
1636.83235,242529
1645.78241,4335418
1657.83449,420924
1685.84360,206349
1692.90524,443694
1702.83134,2970057
1703.81552,2043984
1703.88805,584629
1711.84083,608892
1718.88307,246657
1726.98592,418902
1743.82225,2768428
1749.78865,1067713
1766.84465,645268
1790.89368,5509546
1805.90556,2917218
1815.87769,1005201
1829.96621,539799
1836.96873,371202
1847.91019,951975
1850.98871,414633
1865.88239,6812769
1872.92355,368411
1888.92021,328328
1903.95834,698427
1919.95584,364003
1928.98781,1026974
1929.00948,491277
1947.10445,297909
1954.06597,259690
1960.01980,1962865
1974.93853,1845178
1975.92311,1719800
2039.95430,559218
2040.98655,371929
2056.97947,9681958
2071.06049,2129344
2081.05983,386560
2097.10082,1169537
2105.10334,1073273
2117.01573,568787
2120.09256,5893556
2121.15911,693601
2124.94788,429755
2133.09635,3592728
2137.17685,287326
2141.07955,761161
2143.13593,308023
2144.06938,426768
2147.04638,981138
2151.11004,406973
2152.97377,682387
2159.10772,268356
2163.04469,2829939
2163.92940,276190
2178.13850,3304316
2189.96834,255850
2205.95885,432896
2214.04551,2039860
2215.07218,3294389
2222.15812,446496
2226.14124,15813454
2230.04405,1521247
2231.06971,3258358
2242.13541,33916500
2248.12243,969223
2251.11625,357513
2252.00107,4648873
2258.12724,1611177
2264.11477,1545776
2266.21911,793722
2267.99528,3865863
2286.06173,703980
2292.17707,1473913
2302.07385,853860
2303.18961,269351
2306.19507,544287
2340.11544,704928
2340.23151,606199
2363.11684,323698
2365.18144,461036
2369.21466,375958
2373.16612,9818318
2382.04702,840541
2389.15831,3596834
2389.20515,846057
2398.03834,685302
2409.20531,704117
2415.20581,416289
2431.21643,629301
2477.14587,1855250
2480.20681,533738
2489.18226,526828
2497.20593,730101
2513.20594,1955146
2520.12036,491954
2534.30572,507675
2536.11813,554351
2539.29631,8749242
2540.18974,943374
2553.19576,499958
2554.15980,402216
2555.28512,475224
2561.27208,389427
2617.42333,689585
2634.36278,781218
2657.27634,356216
2673.26751,7049523
2681.41532,403066
2689.25874,21919158
2693.31157,1973501
2695.24538,694758
2703.23767,1407709
2705.25721,646062
2708.30502,1028775
2719.23432,10645635
2725.34160,13773091
2733.32323,5139880
2741.21944,648126
2747.35127,2091984
2749.32389,1438826
2769.31020,1723018
2777.32051,5694650
2785.30398,3465081
2798.34596,1221331
2801.29525,1776880
2850.33504,548595
2856.43479,278480
2872.42851,310242
2875.43959,608321
2879.42926,7488991
2895.42736,1933863
2901.41514,861592
2915.29993,743942
2916.28130,719065
2927.49414,669981
2993.48976,527294
3052.39978,1147780
3084.41444,1461753
3091.48607,390775
3100.41265,10414310
3116.41202,8070943
3122.39825,1196841
3134.41015,678469
3142.46384,940699
3155.44954,3689228
3155.49593,982929
3171.44483,842755
3183.62204,2583313
3192.50043,3188561
3199.61347,545859
3203.62819,1587089
3208.49342,628879
3259.61789,434064
3285.69447,1830450
3385.65508,401200
3393.65191,332158
3401.58914,1809753
3406.70435,327033
3409.64078,326005
3417.83878,1398253
3457.71442,670592
3494.65197,492234
3520.58939,336535
3529.70662,437114
3539.69792,730493
3555.68922,1828411
3681.90507,696599
3769.63736,341430
3816.78075,382177
3832.78591,486071
3849.79173,445765
3866.79324,984278
3882.78799,694496
4022.91592,248293
4083.98110,458955
4284.06299,365645
4374.06590,628952
4390.05336,648871
4440.19616,481367
