m/z,I
836.43791,364452
852.46936,286481
898.51111,491171
944.53191,364980
1016.53150,693390
1082.60691,507722
1095.56613,1624771
1126.56464,796200
1129.56017,168791
1143.63461,224872
1162.59694,11181504
1166.55978,212101
1174.54941,2145984
1180.62146,267353
1184.57882,249206
1189.57979,779497
1193.62749,215424
1198.70633,4019624
1216.64308,241217
1220.67538,1687714
1221.65927,2284778
1241.55843,583157
1253.58068,271558
1264.62869,190492
1288.74196,14148499
1299.64869,214476
1304.73661,504830
1319.67175,1990127
1320.73189,677085
1321.72731,757263
1335.66651,621324
1377.69960,585763
1393.67116,4566695
1416.68660,206459
1432.77029,335508
1437.67265,363133
1459.69324,3460837
1463.73982,20131162
1473.69952,3013145
1480.71099,724131
1480.75451,183810
1489.69359,972896
1491.61578,3056087
1515.75091,3496836
1518.73369,253884
1522.87081,386616
1532.74626,271390
1547.69223,2704851
1561.79856,7593076
1562.78264,5549021
1563.68658,656790
1572.77715,4638512
1579.85737,418343
1586.87385,450062
1594.81982,2994348
1604.81885,12262126
1620.81385,17820448
1622.89085,383395
1637.72382,390392
1644.72078,261402
1645.78247,2109753
1662.85652,334776
1664.77450,319696
1686.94356,359515
1688.84690,317955
1701.90760,277598
1702.83119,2409429
1703.88786,676193
1720.79042,2104845
1727.83547,251763
1743.72569,844799
1743.82155,1709757
1759.81420,440044
1766.82596,1871350
1766.84374,2510080
1790.89322,4171956
1800.87169,3073875
1805.90494,1535993
1816.86578,5913693
1829.96599,251598
1832.86077,1424339
1836.97078,337570
1847.90917,702242
1850.98811,465907
1860.89492,305387
1865.88250,3232494
1872.92506,277147
1888.91956,1724664
1903.95877,308636
1929.97057,378665
1954.06654,288255
1960.01918,2068864
1969.87081,443098
1974.93716,5649833
2012.95294,246858
2013.02912,242205
2016.92254,201154
2029.05663,213019
2039.95342,1420585
2040.98610,1626799
2056.97864,33493018
2062.06872,240461
2071.05934,2065684
2072.97590,288954
2078.96299,581000
2097.10107,641066
2112.08878,333587
2116.00861,1413658
2120.09140,14298006
2124.94584,281580
2133.09517,11307059
2141.07879,815791
2147.04692,3326367
2163.04389,10492311
2173.97181,1368102
2175.95104,441872
2178.13695,1422521
2185.02647,254923
2189.96591,1115063
2190.99575,1132844
2194.12765,264983
2205.95817,778849
2206.98761,343477
2214.04314,5770377
2215.07119,2679496
2226.14058,8213339
2230.04109,6068508
2242.13448,13856405
2251.99942,34441536
2258.12678,913050
2267.13992,483436
2267.99407,6490677
2292.17594,582293
2306.19327,619748
2316.04823,1224317
2322.06971,1475372
2333.08607,505138
2340.11484,791095
2340.23315,551643
2365.18265,282528
2369.21306,434919
2373.16562,6688980
2382.04718,990950
2389.15738,1486114
2409.20838,744803
2414.16194,279077
2426.03859,509463
2430.21191,1163430
2466.16611,1112596
2477.14881,875706
2478.28575,310052
2480.20695,1031409
2497.20693,2536951
2504.12281,1678006
2513.20387,6842925
2520.12100,2000979
2523.29922,1543181
2526.23788,558678
2532.18063,767535
2536.11720,1447708
2539.29387,57025368
2540.18714,577702
2552.10955,452799
2554.16019,478050
2555.28733,1701723
2561.27438,1089186
2569.23786,427633
2614.22938,320950
2617.42085,1007701
2634.36113,618360
2643.26099,459709
2657.27361,1262921
2673.26592,30836612
2677.31900,1249508
2683.31970,779260
2687.24812,2778493
2689.25731,111861584
2693.31118,7507296
2695.24375,821864
2701.22554,435252
2703.23908,5138227
2709.30574,2776201
2711.23955,2385660
2719.23209,43713228
2725.33954,47816008
2733.32287,10769397
2741.33703,748933
2747.34969,2313676
2751.40156,368106
2752.27995,2072193
2769.30737,7995556
2773.15638,449985
2777.31777,25761944
2785.30153,14256502
2793.31367,505175
2798.34607,831391
2801.29311,2925871
2825.39662,635008
2850.33386,1671289
2860.34178,1557504
2872.29836,440560
2879.42799,26024248
2882.34910,1653097
2895.42562,9392136
2898.34622,5594470
2900.28121,2542329
2907.27755,261270
2914.34306,1582243
2916.27892,3439007
2927.49254,9006198
2936.40284,612120
2949.47296,333283
3052.40038,1790123
3075.56196,259317
3084.41277,5617467
3091.48587,1344153
3100.41040,71697008
3113.42198,24991818
3117.41193,7246260
3122.39703,1806076
3135.40758,1117249
3142.45946,1335062
3154.33489,490445
3155.44621,2208741
3171.43931,490562
3183.61912,3018625
3192.49830,12169541
3199.61346,455674
3202.45847,341316
3203.62635,2047921
3208.49023,2573362
3253.53039,233415
3259.61693,453056
3269.63932,323957
3285.69326,2047453
3384.55160,225709
3401.58462,6957841
3440.70883,540626
3457.71091,2481645
3458.68408,1305885
3494.64816,414641
3521.58870,1566389
3542.50685,258378
3555.68579,391604
3698.59241,419026
3769.64040,668772
3850.78770,678774
3866.78631,1347117
3882.78043,275946
4022.90790,2089883
4038.90376,3038723
4054.89887,454442
4141.05515,353319
4268.06353,1106145
4284.05942,1303537
4303.09278,408576
4358.07483,663378
4374.06973,1991567
4390.05753,1795397
4440.20256,991634
4470.10022,488585
