m/z,I
836.43798,482461
868.46432,296838
898.51109,981506
954.42801,181533
980.99208,319643
1065.59711,789190
1105.57541,12178078
1116.49179,631748
1121.58161,2252866
1125.52932,471203
1127.55715,226187
1138.56768,280072
1146.56507,173149
1153.52377,210635
1154.58088,687276
1161.57293,1440336
1162.62194,462144
1163.59196,700904
1167.57618,205063
1178.55152,296976
1180.64406,2531672
1181.62812,959545
1196.63913,2152836
1201.58526,1515463
1202.56939,649199
1207.60728,173663
1224.63345,295129
1239.64483,3446006
1240.67649,1224957
1241.66063,4530630
1250.57632,226076
1251.65192,567545
1259.68601,190728
1261.62943,559224
1328.64937,743472
1332.65518,1503272
1335.63088,272908
1343.67125,335077
1378.67184,315056
1379.71071,194578
1392.65089,182321
1417.73039,535869
1435.68274,20465246
1453.74376,38819824
1459.69381,16370032
1469.73932,1913596
1473.67307,6794362
1546.79865,2049977
1550.75726,5424625
1551.79917,257097
1561.79855,11633952
1562.78280,6597668
1562.83013,4647240
1585.77286,4559019
1586.75706,10249803
1627.74320,961795
1628.72664,807991
1648.77937,1410266
1648.79371,265491
1655.81518,866058
1664.77429,400937
1671.80957,787028
1690.77842,921337
1698.82144,314094
1703.83239,728821
1704.87931,280962
1706.77411,3141877
1710.86961,225859
1726.86617,1506501
1742.74176,1914936
1743.72639,2263438
1754.79523,698969
1759.71955,497894
1766.77651,222846
1768.86310,291725
1782.81886,1716329
1783.80335,4813510
1784.85776,399765
1787.86823,447591
1795.91103,6031516
1799.79997,2515170
1803.91063,4661292
1804.89473,9607286
1812.88797,439435
1816.86600,6668657
1832.86078,12185810
1841.93961,437862
1848.85609,5911492
1857.93617,421707
1875.89677,341382
1888.92003,1600965
1892.92248,7244525
1917.95485,425685
1919.95947,871870
1931.96762,381048
1943.96904,660889
1944.95401,2501409
1961.97987,105735408
1983.96341,1459706
1986.04349,370275
1999.93663,445933
2002.03608,401538
2005.95788,2844677
2011.03600,761986
2011.05370,641113
2013.98525,12709102
2015.89858,859137
2015.94339,521140
2028.06538,25623138
2029.98393,473179
2039.95420,1472479
2044.05789,25655792
2045.97499,463490
2050.04252,295722
2056.97846,25195556
2060.05195,777414
2066.04078,428374
2066.95180,738495
2073.96247,1320850
2082.94682,1306715
2089.00702,5822470
2089.99143,3484954
2105.00076,14491906
2105.98579,8570236
2109.03362,1682453
2110.89951,343434
2118.09624,841559
2120.99867,5461361
2121.98342,3092932
2125.02998,446081
2131.11648,47161392
2133.98534,431724
2146.97307,714500
2147.10820,1199347
2149.05162,769521
2153.09615,1110006
2158.02808,197326
2163.10512,315167
2165.04774,1387331
2169.07329,510563
2172.03593,1722877
2184.03366,324975
2188.02825,65503920
2193.95059,727365
2198.97231,22334342
2199.95755,10143259
2204.02147,5009782
2210.00897,1311116
2214.96992,6049110
2215.95448,2552762
2221.06540,1009602
2222.04879,746158
2236.93427,342058
2241.94842,459434
2266.07337,892156
2274.03922,394101
2282.07083,7397909
2286.04147,1075138
2293.08939,1219663
2294.14666,586087
2298.06726,4718894
2302.03756,818807
2303.12782,486894
2310.13906,7133708
2326.13117,2549648
2332.11718,979169
2348.08747,4114202
2364.08559,3207463
2390.14423,1410866
2410.13795,7317438
2438.22692,776154
2452.20548,1104917
2455.22570,12704615
2462.14125,940683
2467.19776,7957584
2471.21803,3867062
2477.20459,332347
2478.13354,847405
2483.18927,22206352
2494.08956,2281448
2499.18522,17157954
2505.17272,561382
2510.08749,2260459
2515.18416,888705
2526.08832,714389
2545.14954,394333
2548.21125,2595106
2566.23154,6801840
2570.18924,625473
2576.22644,4401196
2582.21986,376656
2592.22087,3255983
2608.21660,316394
2610.29162,1428979
2651.24984,2470659
2667.24303,1221657
2689.25956,8737344
2703.23764,45662208
2706.25590,17328718
2719.23434,15048039
2720.21600,4138516
2725.29405,460515
2727.23876,986857
2735.23276,1053180
2759.27635,1149328
2767.32142,45138992
2772.35147,3128593
2788.29823,1233559
2801.28954,980316
2819.34975,683479
2820.35476,13281200
2821.23224,930231
2821.33335,2933036
2839.39355,626341
2842.33343,465305
2867.42637,2988500
2883.42265,64887592
2899.42278,14046270
2905.41039,1629893
2915.42100,1412832
2918.29858,3797332
2919.28090,2746865
2921.39010,618195
2937.35134,655965
2986.38857,1021650
2987.39354,8820620
2989.35185,2944229
3009.40326,2823053
3010.38089,1476210
3017.49401,512722
3033.48619,3570338
3036.40715,312374
3084.41693,5821986
3085.39434,2563201
3099.41289,646033
3100.41496,14486503
3101.39244,6809677
3116.41347,4860206
3117.39103,2060697
3151.54654,323809
3153.47191,5138179
3154.44999,4194648
3169.46661,4868011
3170.44426,3867081
3172.40546,658497
3225.54470,2762670
3226.51653,1305102
3241.53471,5144175
3242.50616,2075238
3257.52782,1475851
3258.50067,709752
3388.58729,1431938
3502.58253,1550475
3518.57410,1231317
3681.57449,333374
4096.94514,536706
4112.94288,485443
4290.01501,633235
4392.10901,326010
