m/z,I
894.47960,450349
912.52678,359905
952.48514,450231
988.48875,250020
1044.48939,172466
1052.54894,1837922
1111.51315,658208
1112.49701,368765
1114.60131,170640
1127.54453,403409
1132.58596,339266
1135.62230,440973
1149.61255,656668
1155.62355,1274388
1157.57026,902812
1204.64407,290563
1229.62342,662265
1236.58663,624919
1255.67637,1317867
1259.67467,429343
1268.65996,1257247
1309.66155,1383427
1321.68673,916107
1333.68698,2009168
1337.68116,239439
1363.70894,313341
1371.62223,297013
1387.69766,1080491
1393.61990,321698
1400.69317,238587
1443.69825,2671223
1445.67831,1721375
1449.78212,191447
1480.75078,217971
1496.71942,273190
1510.77267,1415841
1511.75722,3915991
1515.79197,269496
1554.72229,2765244
1572.74039,1841002
1573.72471,4389589
1579.75475,2112080
1580.73913,2821447
1595.77870,1309075
1596.81077,1590523
1600.73653,1612649
1600.77284,2429840
1604.78620,2366891
1636.85367,234266
1687.83995,358879
1688.88394,443498
1690.69675,203750
1730.84623,2564227
1739.79879,208405
1746.84276,1330281
1784.87502,531700
1804.82198,293423
1816.81148,458531
1816.86558,932461
1827.80108,292033
1845.91726,156781
1869.87497,278974
1877.92321,3267908
1884.88906,1330629
1892.92141,466016
1909.94904,5067520
1918.95659,486028
1931.93153,388503
1944.95396,1212646
1961.98031,16834336
1975.99627,417159
1991.00720,8956169
1991.99226,5498194
2027.99294,1097017
2028.97670,503220
2045.01628,9252862
2046.00094,5916293
2095.98017,681645
2095.99977,893523
2111.97551,4658718
2136.03692,759885
2136.12063,584475
2155.16100,528942
2159.97022,516428
2168.02434,1635083
2183.15846,318851
2228.93278,677033
2236.10239,627901
2255.98276,1123232
2271.99264,672093
2287.99172,1724459
2326.13207,1756128
2338.06601,718380
2342.12876,444574
2455.12658,1413198
2463.15885,1018939
2468.17757,2344655
2485.20463,586424
2490.15791,577753
2501.20182,1517880
2510.23648,26563500
2517.19932,2060047
2522.19470,1265695
2526.23423,391998
2531.21767,4085059
2538.16799,1301858
2547.17770,404333
2554.16156,2189607
2589.20787,839374
2637.21238,2177359
2653.21023,6523911
2661.26362,1753962
2677.25558,3012322
2678.32878,884769
2695.24441,7502829
2695.35253,2037222
2696.22392,1168018
2701.27955,312123
2707.29737,874629
2711.34797,1660738
2723.29712,1117714
2739.29100,909766
2764.29732,2430266
2894.42933,715850
2897.51494,12329148
2913.51166,6019355
2929.33965,1152954
2929.35677,874176
2942.43885,839399
2945.32930,930988
2956.34784,511731
2958.42929,475169
2959.35250,1701985
2960.43439,7029504
2972.34608,1610911
2974.32705,1936145
2977.42920,12573414
2986.47105,1241709
2987.44974,1818953
2989.34358,3416875
2990.31853,3572771
2993.42190,1047848
3002.46135,1239866
3003.44090,1234864
3006.30884,5429004
3006.34039,6648373
3023.33967,8128255
3024.31412,1384078
3039.33416,376386
3114.43692,1577221
3115.41356,1326912
3514.66638,1791026
3530.65602,289875
3592.60904,522043
3663.63787,477287
3836.77192,428333
3852.76397,441094
3868.76622,463841
3961.80147,668502
3964.90527,1124002
4089.88647,934347
4139.94833,800729
4371.02859,603873
