m/z,I
912.52674,636170
972.49340,454927
989.57825,285423
1006.47101,170867
1019.52729,889246
1026.58479,1346805
1027.56871,470384
1065.59163,401302
1109.58101,285881
1111.51291,1139225
1128.50711,191726
1129.60387,1239702
1141.60785,1913738
1146.62676,260233
1149.61271,409083
1153.57102,398762
1166.51960,389940
1195.51702,1008416
1200.60089,1477133
1203.53539,675641
1203.58319,699215
1206.68446,3238028
1225.60378,1176983
1228.63998,666163
1239.57593,2118374
1254.69202,1620653
1256.60238,2815417
1257.70270,977637
1268.65978,1969089
1276.66483,305669
1279.68742,477559
1291.67620,510541
1295.65658,587182
1309.66102,5263082
1328.68554,608700
1359.65436,235636
1375.70865,418191
1383.67274,289625
1443.69802,5639992
1445.67703,3155888
1451.72382,145900
1458.74502,189839
1466.69899,1569519
1482.70529,667261
1510.77261,12757934
1518.77806,756964
1522.73251,1784489
1534.77318,10655415
1538.72716,5203161
1554.72172,1273251
1556.86613,330670
1563.75971,4677147
1564.74346,2186963
1572.74034,10239221
1579.78389,6139583
1580.73794,511285
1584.77717,5227487
1588.79044,7985918
1589.69708,662255
1596.81052,3304324
1602.83908,232173
1604.78565,2156912
1636.85195,270192
1651.80316,154515
1668.72840,410848
1673.71980,545392
1678.75009,536379
1697.86925,3078901
1704.85761,1718880
1716.85610,801324
1722.79265,484402
1729.95944,845151
1730.84558,2186867
1746.84253,1781592
1781.95410,268819
1795.81231,484248
1797.95155,1181243
1800.87102,743315
1804.82082,586445
1808.92328,212681
1811.80520,5924449
1815.82599,2134942
1816.86575,647508
1827.80003,1479596
1828.88407,433591
1834.90506,232647
1843.79492,375169
1849.93074,1126393
1868.89133,7783095
1876.93834,3273876
1878.90937,3344264
1884.88872,2075290
1896.86441,508505
1909.94861,13042433
1918.95643,460520
1919.04799,486295
1942.96533,571195
1944.95402,1128052
1948.98616,486530
1955.95497,3192167
1961.97975,32412806
1975.01036,2329884
1976.99805,634627
1983.96301,610726
1991.00759,38150196
2002.99450,599491
2006.99927,654277
2012.98486,563092
2027.00594,641760
2029.02390,1588697
2045.01554,45308656
2061.97054,835614
2066.99890,670323
2077.96814,1474727
2078.99891,1436028
2094.04137,233746
2095.97823,1610486
2111.97469,17286580
2117.03961,751755
2121.03449,2238343
2133.03347,3594865
2135.10847,323412
2137.02696,3041378
2141.06916,615977
2149.02500,20452776
2155.16120,1180693
2159.96977,897041
2163.92878,340875
2168.02375,6161035
2171.01347,569263
2176.06645,1284243
2184.01898,305983
2186.05045,417238
2186.92061,11073251
2192.05799,5480205
2197.13493,1575431
2202.91326,2253310
2208.99251,22092214
2213.05802,1838282
2218.91040,1227379
2224.99164,4466692
2229.05587,265330
2234.02884,4442439
2238.14147,563077
2240.00526,967137
2250.02149,10299649
2255.99664,3392637
2266.01781,4820589
2271.99203,721294
2281.10923,474370
2282.01664,1053222
2293.23383,799945
2302.09187,657736
2309.07345,453053
2313.06144,4621027
2314.10601,3819150
2335.08880,4147766
2338.06296,1581951
2346.15407,277086
2351.08389,389997
2356.06100,1059048
2361.12253,1026842
2364.07339,723124
2369.19576,501659
2387.15182,862823
2402.28880,185439
2426.06660,587652
2431.17050,405001
2447.16620,2679690
2452.18405,1720871
2454.14181,639800
2463.15061,1887562
2466.17640,9191174
2480.19281,875779
2485.20368,1485275
2494.15003,481048
2497.16231,810491
2506.19855,2126548
2519.22496,18583934
2523.16842,1242805
2528.20009,27023988
2532.22053,3837690
2534.15775,567455
2544.19314,9146676
2549.17936,1131438
2567.17906,593791
2573.12802,2029558
2585.14387,1122982
2589.12104,714916
2601.14048,1024861
2614.26157,891278
2616.32616,496273
2619.22056,488530
2632.32211,1412013
2635.23284,1299633
2640.19065,422450
2651.23120,2634129
2657.21488,8800034
2661.26809,2178493
2663.25285,1642146
2667.22355,35956092
2677.26065,15044794
2678.32876,1578215
2683.21616,6229634
2695.24249,19259160
2695.34972,6440383
2711.34572,7517297
2723.29462,1861785
2739.29184,1118177
2746.28463,464218
2764.29812,15443437
2776.31796,2373098
2780.29292,463423
2784.38546,545754
2803.29325,346125
2846.36898,1382278
2867.49724,20899556
2883.49484,18044410
2895.35243,1282699
2899.49421,1945703
2905.48026,481321
2912.45319,371482
2913.35902,2832745
2920.35990,325814
2929.35578,4618982
2930.41200,3757729
2944.46560,10378465
2945.35203,4595370
2957.34998,2508907
2960.45582,15219574
2963.38068,9886282
2971.42485,2540782
2973.34680,5563137
2976.44879,11744074
2977.42582,7550554
2989.33857,20097214
2992.44238,1614548
2993.41794,1123011
3007.34314,15809830
3011.43602,2244026
3013.48183,4577206
3023.33793,3391781
3027.42814,616018
3037.40438,886084
3057.40514,238796
3099.40787,451079
3114.43270,13467738
3126.45583,1089352
3136.41478,644042
3139.54748,497378
3142.44950,2320422
3146.44564,3377103
3158.44516,1052627
3162.43916,587874
3185.47090,683742
3201.46416,2995732
3211.37774,620717
3217.45340,706548
3243.48033,431703
3269.42671,339768
3353.60132,863094
3357.54582,990614
3436.52394,1211351
3451.67023,2952777
3458.50838,419959
3481.69644,955668
3497.68911,5671679
3513.66602,927195
3519.60736,1284834
3531.64841,359538
3534.66353,953760
3592.60893,2881795
3613.70213,3179333
3629.69400,248761
3681.68140,1639916
3718.84312,280658
3726.73589,574628
3759.76256,840238
3775.75619,1608990
3802.75146,376520
3808.71335,347225
3819.78806,1450514
3835.78613,2766835
3851.78060,2845246
3867.77950,1582748
3882.77337,281822
3888.81121,1701925
3961.79984,3390746
3964.99574,1150745
3977.79504,677759
3980.99197,446584
4099.95628,1833016
4122.96566,2609033
4131.90964,2363629
4147.90318,1144279
4314.03456,1517365
4337.07694,448462
4353.06402,4150277
4411.04822,1076736
4474.04440,486042
4489.02991,291492
4744.10727,471548
4830.11354,348596
4846.10339,329348
