m/z,I
1033.51775,191539
1070.52251,185714
1105.53874,232354
1106.57787,616685
1109.58168,178031
1111.51269,293882
1111.54939,316949
1121.60665,241005
1122.56514,345374
1127.54481,318126
1141.60748,287756
1143.59081,393099
1164.61243,331897
1182.54994,158237
1206.68409,210501
1254.69121,154652
1256.60212,207038
1268.65968,280309
1273.69062,225783
1293.65471,469135
1300.63940,222572
1309.66169,570578
1350.67680,409485
1445.67625,424117
1510.77242,1197283
1534.77368,1110282
1563.75892,565933
1563.78868,443475
1564.74228,241003
1572.74032,1255641
1579.78435,668673
1584.77694,768186
1596.81040,381827
1600.73549,420165
1604.78464,502060
1687.83951,184463
1730.84573,485847
1811.80485,407936
1815.82599,261380
1868.89195,681670
1876.93791,469111
1878.90900,187840
1884.88760,391398
1909.94775,453124
1944.95255,433796
1955.95374,284467
1961.97997,3894736
1991.00702,4599076
2002.99368,168404
2045.01550,5125786
2111.97439,1832268
2133.03392,442459
2149.02632,1691821
2155.16039,259178
2168.02292,381800
2186.92201,349652
2192.05793,383507
2202.91257,249541
2208.99338,1285909
2224.99057,717192
2229.03091,432706
2234.02884,636471
2250.02090,603814
2361.12025,339534
2377.11583,261552
2398.14911,299220
2448.17060,312096
2454.17116,293130
2466.17647,1225433
2480.19020,1194689
2503.22734,837601
2519.22576,2496829
2528.19750,3555961
2544.19247,4333636
2573.12682,222549
2619.22057,609770
2651.22873,568963
2667.22409,6762494
2677.26049,2937274
2678.32743,1654465
2683.21624,3475563
2695.24312,6046912
2695.35027,4592175
2711.34720,1953798
2723.29589,828624
2739.29104,447317
2764.29709,3031041
2867.49806,7378463
2883.49686,1847972
2896.35846,544300
2909.35185,433249
2913.35531,1429167
2925.34890,504988
2929.35673,1536534
2930.40840,461985
2941.36062,1171118
2944.46435,1597813
2957.35141,3153832
2960.45524,2971079
2961.43102,1599156
2963.37939,1844790
2971.42098,625554
2973.34748,4471147
2976.45017,2561878
2977.42464,2689198
2979.37303,743587
2989.33869,6125538
3007.34290,4530050
3013.48209,570685
3023.33838,1777108
3037.40512,319096
3098.43451,303019
3114.43056,4429060
3146.44551,485157
3481.69212,569222
3497.68855,3509581
3519.60287,249094
3592.60981,1131285
3665.68082,1516848
3681.68010,1533717
3696.67041,262837
3819.78653,944647
3835.78599,1374466
3851.78003,1226007
3867.78098,571732
3961.80081,785679
3964.99473,721789
3980.99154,532901
4083.96299,727739
4099.95617,599344
4122.96074,902982
4131.90714,1718947
4147.89948,406440
4314.03344,354640
4337.07474,577730
4353.06327,3439821
4411.04920,800587
4427.03561,371016
4474.03766,476319
