m/z,I
1058.57386,329502
1106.57749,274108
1149.61223,182864
1157.56965,211052
1177.55988,180886
1293.65424,177941
1328.69639,248414
1387.69653,179077
1510.77227,577673
1534.77260,344861
1563.78724,251013
1572.73992,667596
1730.84494,218899
1909.94626,338263
1944.95269,181630
1991.00697,558897
2231.19622,875389
2245.21115,215286
2273.16681,421176
2311.14790,1529185
2325.16104,598348
2339.17842,362893
2400.19237,1496703
2414.20840,489505
2416.18883,444687
2428.22657,295027
2667.21959,254534
2683.21399,433502
2867.49788,652780
2883.49582,309776
3663.63732,379939
