m/z,I
994.50715,317827
1002.53723,188148
1052.54879,559942
1058.57432,266651
1102.56418,295790
1109.58162,265339
1111.51346,197138
1111.54895,249984
1121.60677,351117
1134.59032,266414
1141.60764,454080
1149.61270,540296
1157.57046,818595
1160.60598,273153
1164.61261,270233
1177.55990,399327
1222.57092,150490
1228.60709,251650
1232.61417,158499
1273.69019,349444
1293.65445,282138
1309.66194,749740
1312.70098,198530
1328.69695,733832
1387.69786,385714
1445.67729,499699
1449.80650,205296
1466.69849,232873
1510.77271,1137853
1534.77280,1449197
1554.72265,428227
1579.75494,460509
1579.78417,716772
1584.77760,543705
1600.73615,503809
1604.78518,518243
1648.83964,311730
1730.84625,449627
1819.91721,169056
1884.88861,654650
1906.91137,240098
1909.94991,755051
1961.98056,1994488
1975.01034,555372
1991.00795,1826813
2045.01639,1888060
2079.94663,386515
2111.97572,1159406
2149.02619,732003
2174.02500,220421
2192.05852,275511
2224.99044,544539
2231.19638,963342
2245.21069,287750
2266.01515,249444
2273.16793,413588
2311.14944,969993
2325.16141,318954
2400.19283,773810
2416.18899,263119
2480.19158,677932
2519.22529,422777
2531.21602,285050
2534.16990,387142
2544.19445,2137519
2619.11941,531230
2619.22109,695093
2622.06525,238656
2667.22085,763667
2677.26111,406248
2678.32541,208852
2683.21805,3795977
2695.35294,565123
2699.21348,302777
2711.34877,326556
2723.29455,313675
2764.29885,835664
2867.50097,2021758
2883.49820,1265778
2924.34101,376900
2928.35268,610285
2941.34375,1258326
2945.35262,292098
2958.34952,685022
2960.45471,1006446
2961.43543,887024
2971.42563,269943
2973.34708,998138
2977.42793,890773
2979.37319,412017
2987.41991,456792
2989.34299,1701223
3005.33250,3432163
3023.34130,2232453
3114.43318,1389852
3458.50640,583822
3497.68991,1031041
3576.61597,305254
3592.60957,1180665
3663.63886,1527307
3851.78074,372603
4083.96057,940668
4099.95532,1140859
4123.95725,692723
4131.90881,1317801
4147.90413,290178
4353.06700,1486118
