m/z,I
912.52675,167929
1019.52749,210862
1026.58510,475211
1065.59194,270411
1075.56884,230377
1106.57781,428964
1124.61012,185284
1129.60389,471890
1143.59112,380851
1149.61301,454275
1164.61241,186925
1179.58721,146373
1198.70625,1033080
1206.68468,1166464
1228.63977,1235879
1236.60796,138982
1237.66535,298284
1239.57608,1160204
1251.60787,203773
1254.69214,3606557
1256.60262,919396
1268.65962,617168
1291.67644,368335
1309.66202,2285977
1336.67262,285900
1387.69818,1032605
1391.67857,416209
1411.73789,189540
1420.72327,448843
1445.67796,1254734
1466.69915,191310
1482.70518,971129
1493.74560,245348
1510.77314,3943874
1518.77845,259251
1534.77262,2006797
1538.72741,1867996
1540.78811,302685
1548.74785,228856
1554.72235,1202785
1556.86580,364746
1557.90091,521000
1563.76012,1638029
1564.74294,701512
1572.74069,2589129
1572.85967,520518
1579.75453,1001163
1579.82479,678616
1584.77791,2896905
1588.79086,2675038
1589.69718,170214
1600.73672,1080912
1604.78605,2187664
1604.88733,512162
1613.76722,226546
1631.86654,1243605
1648.84081,205554
1680.84232,217523
1687.84056,227825
1697.86997,1844626
1729.95935,252165
1751.94340,447254
1763.80298,336577
1775.82941,217536
1780.93742,359244
1784.97413,236653
1790.89360,563550
1794.93377,1321331
1811.80523,604349
1834.90501,198423
1856.90102,263404
1859.91276,475862
1863.90644,375111
1876.93916,6094462
1884.99275,359724
1888.95051,614963
1892.92097,242662
1898.91994,296808
1904.94407,3077311
1909.94940,1937061
1930.05073,398630
1961.98066,9225505
1975.01111,1397539
1983.96287,572783
1991.00821,15421789
2002.99420,372610
2012.98747,598109
2027.99271,1300018
2029.02355,668838
2045.01639,17273860
2056.00949,514699
2061.97133,580338
2063.00232,493542
2067.00060,996182
2077.96861,623963
2078.99996,737091
2111.97537,814064
2117.04019,445173
2121.03521,1146158
2133.03353,2220791
2134.06871,1585340
2137.02738,1326313
2149.02608,6103293
2155.16223,791159
2159.98965,274467
2163.92919,235129
2168.02489,737859
2171.01325,500790
2186.92124,1237493
2192.05626,281503
2197.13516,1276461
2202.91347,984765
2208.99352,4280948
2213.05817,478169
2224.99181,2831080
2231.19744,823295
2234.02941,1984979
2237.15927,2077600
2245.21122,337009
2250.02175,2189917
2259.22461,287888
2266.01587,760988
2285.16584,3464129
2288.24683,331846
2293.23345,381257
2301.16166,1542851
2314.10731,809913
2324.14464,517730
2332.15501,429244
2335.08789,1833805
2378.15960,772421
2389.28947,593214
2424.31641,353053
2425.12152,2219339
2431.17265,224032
2446.29885,787860
2447.16772,653721
2452.18505,3607754
2454.14318,931936
2458.33312,951944
2466.17753,3172941
2475.26999,572477
2480.19081,1316587
2503.22849,2097289
2513.21356,344449
2519.22598,6571741
2528.20051,8840907
2539.14234,325240
2544.19430,7895782
2545.30573,370975
2550.18159,1042387
2564.36016,1435394
2566.17012,811929
2569.27598,284815
2573.12889,1291681
2589.12332,933417
2610.18901,215332
2616.32570,2606509
2629.42362,317553
2632.32377,2921654
2651.23201,1174301
2667.22481,9795712
2677.26155,11336567
2678.32918,3263074
2679.23886,5435570
2683.21749,5181203
2689.20193,880267
2695.24397,11701095
2695.35183,7722103
2711.34736,2166695
2723.29580,582454
2739.29485,624807
2755.28906,348697
2764.29910,2743293
2771.30492,440249
2776.32006,551322
2787.30066,1913980
2803.29144,2469141
2819.28315,1753038
2824.43441,295535
2828.37784,972552
2832.32814,5130221
2846.43288,894532
2854.31067,278662
2862.42842,637274
2867.49858,16281373
2875.42039,3931161
2883.49573,6041147
2889.48490,1440232
2902.35479,342304
2908.34955,471658
2928.47043,420052
2941.36374,1729404
2944.46644,3622770
2957.35254,5008033
2960.45680,5025746
2973.34815,6727342
2976.45082,4315034
2977.42771,4886503
2989.34083,8808835
2995.33334,692325
3007.34494,5459539
3012.53221,941614
3013.48453,1143429
3020.40758,615972
3023.33889,2497779
3029.32540,424952
3037.40541,3284184
3077.43675,251132
3114.43351,6484483
3126.45296,631247
3136.41507,1047066
3142.44975,911993
3146.44641,2373677
3162.43721,352347
3175.57691,899104
3185.46987,319308
3191.57099,557292
3201.46943,508471
3226.56311,636039
3230.58078,368134
3245.56870,379288
3253.55661,321265
3292.69227,361958
3301.54987,718863
3304.63870,865867
3358.65208,445993
3436.52098,307095
3450.67175,357188
3458.50906,1261094
3474.48115,252008
3481.69716,961746
3497.68994,5287414
3504.66296,2722225
3507.64349,1573124
3518.66476,729894
3519.60981,461041
3523.63525,1237885
3532.65288,519356
3549.63552,468993
3592.60880,1444423
3601.72811,334791
3617.68878,562901
3633.68449,548759
3665.68719,3205602
3681.68247,3526312
3696.67602,334897
3699.68124,1005242
3775.75877,631139
3803.79677,345907
3832.78649,395258
3835.78949,1447055
3851.78319,1052306
3858.81696,536296
3887.85753,947175
3903.85256,785242
3947.93159,1940365
3964.99812,2011475
3965.85377,872268
3969.84983,479719
3980.99563,694705
3981.85580,1008571
4029.91572,1544297
4070.99497,370903
4081.94230,1333586
4097.93528,1520795
4353.06600,955094
4411.05413,990353
4427.04903,483353
4432.07301,280685
4474.04596,404382
