m/z,I
898.51099,457213
1026.49651,407612
1105.57527,3923115
1127.55742,429398
1138.56063,241782
1146.56577,268220
1153.56043,355036
1153.64802,424347
1164.60120,301278
1167.57534,324356
1182.61152,245623
1183.57079,620234
1189.57981,644326
1192.67993,750862
1193.51950,156026
1196.56618,462308
1201.58458,413462
1208.67490,2684744
1242.60058,458477
1249.59269,251327
1267.67613,804178
1279.64762,790633
1281.61894,447572
1282.72720,333378
1312.74774,628267
1379.61908,226403
1392.68696,344176
1427.72845,8483066
1435.68234,3629688
1459.69374,3096012
1473.67266,1180604
1532.78282,797459
1556.68299,264006
1557.66673,162457
1561.79829,4539027
1562.78236,2774896
1562.82975,2442507
1568.74676,239125
1572.67821,415902
1575.86080,884155
1580.76811,1402221
1585.77225,1657013
1586.75666,2756789
1615.82070,3237481
1648.77893,670936
1648.82960,673264
1655.79980,765718
1658.81717,733646
1674.81368,453337
1688.88246,249689
1698.82074,325930
1706.77298,1264053
1710.86933,180996
1716.91548,502974
1726.86589,2860716
1743.72524,526967
1759.71834,372887
1791.82630,200843
1798.81567,699831
1799.79930,826614
1802.78421,889834
1804.93050,12790543
1816.86579,1991980
1818.77901,414349
1826.91332,555124
1832.86071,2911952
1848.85651,1490545
1863.87169,176694
1885.85414,227175
1888.91825,520045
1905.90608,245193
1922.93327,4296315
1931.96742,195948
1945.01512,187009
1958.96988,2156832
1975.99459,40178132
1979.98040,995359
1997.00794,13451387
1997.99277,3179768
2014.07165,485661
2019.97350,342786
2038.08493,1138634
2039.95439,2089488
2056.09232,23497484
2056.97858,34382588
2065.96630,305035
2072.09077,9126098
2073.01350,5353956
2078.07828,830809
2078.96329,1526192
2089.00640,5985631
2094.03157,1592415
2094.93601,424478
2094.99311,382301
2105.00113,1464337
2110.98848,462324
2131.11590,13332417
2146.94165,359748
2150.96737,395022
2151.02996,448677
2153.09543,989642
2169.07233,476875
2198.97215,3892364
2200.06216,740153
2214.96909,3118255
2216.05896,19102906
2220.95662,313098
2226.15897,296215
2232.05615,1434294
2238.04223,1481433
2246.13645,607398
2261.12957,2919140
2266.05855,561845
2274.15904,2496961
2283.11486,2052333
2290.15733,2215668
2299.09151,929740
2304.02957,301127
2307.13852,1418507
2316.04805,747114
2329.11829,1384978
2345.09164,612184
2348.08612,1742619
2364.08470,2033260
2373.11080,315021
2410.13683,2237007
2414.23343,426290
2461.15358,1007433
2471.21658,1746643
2476.24477,402506
2481.21056,2855380
2487.20807,3104064
2497.20587,6039690
2503.20787,339989
2513.20366,4495950
2519.19085,479483
2531.18206,588261
2550.21523,4240804
2566.20713,4672453
2570.18905,896377
2578.17458,3378383
2581.23383,4265253
2594.16884,2713003
2603.21938,329571
2607.29125,661478
2610.16753,704147
2651.24788,2459663
2667.24002,1060642
2689.25825,6460327
2703.23921,25977618
2705.25024,61500360
2719.23223,9823780
2725.22706,1119283
2727.23866,3307089
2743.21337,1436124
2743.28756,4450188
2759.28714,10250639
2763.32096,2372783
2769.34886,716493
2775.28018,6860152
2781.33614,23537828
2792.32738,16916540
2803.31293,797208
2814.30575,1189458
2820.23391,688739
2835.24442,342876
2837.41356,534001
2853.40798,29403604
2869.40603,2211638
2875.39248,1595999
2891.36868,741942
2930.33888,2352501
2939.57552,470846
2946.33419,1289430
2971.32066,601598
2976.33858,349106
2987.32900,1630104
3001.36488,4848388
3008.41929,1368560
3009.39981,2668743
3017.35825,20246334
3025.37497,482783
3033.48530,10927662
3036.40430,1091263
3039.34011,1566366
3052.40053,3141247
3055.31838,665238
3055.46930,831547
3074.38548,352108
3084.41289,5550312
3100.41091,26445518
3106.39810,526067
3116.40945,19676152
3122.39659,2191587
3132.40459,965382
3138.37043,956493
3138.39385,1249802
3167.48224,4446220
3183.47386,20296524
3199.46785,2305466
3211.52674,652364
3221.42391,381102
3227.51916,7047139
3243.51102,596218
3249.49709,523418
3365.70559,348155
3382.70569,2951421
3399.60597,1789568
3426.62176,375450
3509.49026,326893
3517.59484,598304
3531.47096,792683
3558.61644,247976
3629.67193,480949
3665.57298,2007237
3722.62013,419837
3736.61202,1894761
3840.77015,482280
3856.76114,1246609
3872.75875,865217
4035.90064,1280780
4096.94356,812471
4112.94050,1632444
4128.93127,604510
4286.06024,773896
4302.04800,1646877
4317.03758,571264
4348.11357,1473948
4364.10671,2583475
4507.14731,716768
