m/z,I
868.46429,367734
904.48923,157271
943.45991,260438
952.46773,330767
1024.51730,386432
1026.49696,1127765
1069.55026,403671
1079.55992,6860166
1095.60226,694414
1107.51853,432432
1108.50215,297987
1110.55404,212684
1116.49171,233225
1125.52918,509619
1125.56582,373448
1138.56061,660594
1148.54546,511299
1149.52893,391848
1161.57296,659100
1162.56063,572065
1162.62218,871624
1167.62771,847027
1168.60774,212320
1169.55526,1255289
1177.56753,658341
1179.58687,1290128
1180.60772,482491
1180.63650,271675
1182.55052,443975
1189.64416,962731
1193.51913,493464
1195.64348,292793
1196.56668,1319013
1200.61195,353509
1201.58501,653649
1205.63958,2467577
1207.60754,589564
1215.61204,501339
1224.58443,249055
1226.54124,346783
1240.67667,1390661
1242.57141,575051
1264.62867,720604
1267.67603,1778980
1287.68116,485123
1297.61445,433227
1308.67381,251584
1311.62943,602033
1312.74806,513667
1320.63054,1154467
1333.61395,446660
1338.64488,2103877
1343.67160,434664
1349.69721,1505433
1350.68049,936514
1363.62264,182199
1369.65737,1722789
1374.74972,318168
1385.70719,3413820
1392.68755,445654
1427.71378,304774
1435.68276,6092737
1437.67286,713409
1441.70781,11351940
1459.69370,6241831
1512.74863,1002787
1524.70444,271914
1561.79864,7865035
1562.78277,3601188
1562.83027,2924805
1566.78804,875882
1577.76785,4453192
1585.77280,4132169
1586.75684,5266366
1606.79451,618806
1608.74106,549780
1631.77798,322632
1637.72422,514276
1658.81813,736009
1665.76237,407658
1674.81370,480603
1694.77242,329354
1701.86754,226174
1710.86960,1281475
1718.89548,883335
1720.79040,1085290
1722.88989,271053
1726.86629,1381874
1736.78452,1146135
1743.72638,769361
1749.85296,983156
1755.80864,2569110
1759.71909,750304
1768.86234,374818
1771.80360,2538844
1776.95670,769805
1783.87250,7678705
1791.90000,799365
1799.86850,1175999
1800.87140,341979
1808.92554,12795130
1815.94719,753976
1816.86610,3857186
1832.86083,3608347
1838.97569,302538
1863.87373,424373
1863.93267,235213
1876.84298,224408
1888.92800,785991
1905.95321,8570616
1919.93394,6912121
1933.97252,1202193
1947.06157,514775
1958.97038,4044418
1975.99507,72829712
2003.01809,324229
2013.98620,1388544
2016.91687,297459
2018.09807,7344677
2027.13014,602318
2028.95144,411560
2031.01432,22640292
2055.94664,2767968
2058.99533,4131567
2072.97689,44186636
2074.99518,7153764
2078.04829,15009279
2090.98605,5475201
2094.02655,1992862
2094.04032,11004118
2095.97555,1416157
2106.02947,592561
2111.97095,744080
2135.11068,15719249
2146.94287,743598
2151.03106,753130
2157.09203,386034
2177.98381,1020359
2215.05632,362848
2225.98711,13768779
2237.07420,365041
2241.16438,255471
2241.98094,8753255
2248.04673,404843
2257.17481,545641
2280.05111,365376
2280.18800,384321
2290.08729,672239
2294.09760,2036931
2295.25022,279632
2345.12381,465377
2348.08752,2417307
2353.10766,1504343
2377.07473,554687
2393.19370,628320
2410.13809,1412158
2433.12622,433231
2444.13482,1264077
2450.19697,442541
2461.15902,4934279
2465.21894,6403812
2477.14968,2249234
2481.21135,12103347
2485.23032,5587692
2492.16874,697709
2497.20659,7134443
2508.16603,1212891
2513.20505,1568530
2514.16373,458794
2536.18767,1079210
2540.17856,440961
2540.24577,526870
2548.21008,690121
2553.20754,9389294
2572.16219,5165679
2573.26323,710139
2578.21373,451686
2589.25463,456856
2594.24268,366067
2596.13271,583859
2611.24380,419433
2623.25429,4540446
2628.12814,433814
2635.25476,505057
2673.26651,8810106
2689.25811,40641404
2695.25393,2571657
2704.24369,116173352
2711.24810,2827987
2719.23218,16469493
2726.26320,4323727
2743.28854,18211158
2749.15288,360998
2759.28655,26240014
2775.28183,8039209
2781.26736,660516
2807.32975,3101011
2823.31974,1966527
2839.39316,895159
2849.34056,1520482
2856.34532,460257
2864.41123,451445
2866.33605,409942
2867.42556,3429208
2883.42267,68639784
2899.42261,6302775
2902.30293,2240229
2905.41056,1691419
2914.34377,4778299
2918.29521,6490790
2930.34097,5507092
2946.33425,1346701
2990.37020,318088
3007.47123,1682237
3017.39601,612676
3023.46549,9477111
3025.37453,812899
3033.38821,8329540
3049.38546,15751418
3068.41770,3118195
3084.41265,14708786
3100.41103,52878884
3116.40971,31253514
3123.40184,1178105
3132.40539,819257
3135.51708,746671
3138.39397,1040357
3151.51443,777065
3169.52341,2425848
3181.50551,1464667
3185.51466,14400384
3197.49862,805032
3201.50926,1168427
3226.48990,959418
3227.49332,29002972
3243.48291,26659438
3250.47262,349343
3259.47571,958786
3265.46267,470271
3342.61879,559910
3365.64011,654324
3403.60083,917999
3417.61876,345631
3430.70923,358994
3432.54782,385598
3433.61244,1085567
3446.70614,4401768
3468.69098,546537
3501.60279,921513
3504.68193,1818075
3517.59388,1599592
3520.67705,4804971
3536.66819,5183205
3562.47122,463976
3565.64282,799424
3584.62325,573432
3594.65031,609101
3627.69236,1257513
3680.58112,783354
3696.57715,2199164
3735.62144,327161
3751.62258,1719456
3752.74525,4632798
3767.62134,4028658
3768.74189,11065178
3789.60653,317684
3792.75242,664806
3808.74959,572462
3823.72940,940072
3839.72246,938913
3840.76851,3543607
3856.76164,5086796
3872.76281,1559564
3916.80484,371391
3932.79930,450627
4002.99729,1083560
4018.88078,1423761
4018.99101,588015
4035.91167,7326231
4054.89695,809558
4070.89425,6600750
4080.07513,2166279
4086.88753,1948428
4097.06467,1873209
4234.06174,787463
4380.10529,2236195
4396.09339,1737165
4511.14536,2567457
4527.14052,555374
4744.21536,388080
