m/z,I
866.44884,248544
1076.48720,149122
1096.53884,227283
1105.57606,904382
1163.59206,278394
1167.57629,614229
1183.57113,233865
1198.70679,874641
1362.71281,188495
1453.74496,2464811
1459.69417,359492
1465.69331,383230
1561.79976,1177837
1562.78393,411051
1564.81364,235276
1585.76896,268448
1605.81651,149090
1615.82050,275702
1638.78828,558033
1750.84810,292198
1791.87807,295436
1975.99643,2019116
2056.98034,796252
2120.05996,1000472
2131.94584,406276
2136.05341,1136437
2147.10976,658077
2216.06084,367441
2689.26232,616549
2705.25566,1557404
2775.28419,582057
2853.41556,320667
2975.35898,498210
3084.41636,368053
3100.41303,747165
3116.41072,969042
3132.40666,927808
4202.07731,322756
