m/z,I
898.51113,1085604
1028.52499,358059
1032.54799,194394
1094.53470,357946
1096.53868,322634
1105.57550,11031387
1127.55764,357636
1136.60674,222487
1138.56100,267421
1167.57592,287618
1182.61205,750908
1184.49324,220283
1192.68043,1510492
1207.60735,171567
1208.67514,6065568
1226.57720,416320
1240.67654,315825
1254.53555,225568
1261.59268,236706
1267.67616,1422201
1281.61947,811316
1288.74215,370702
1328.64950,208181
1377.71287,212267
1391.23692,388965
1419.69874,455748
1420.68230,314780
1427.72883,22262952
1435.68303,7748914
1443.72338,470735
1459.69403,6948698
1474.83945,841791
1496.75312,452959
1532.78321,1563403
1561.79862,10752205
1562.78285,5085064
1562.83036,3097058
1568.74596,204988
1580.76847,2959375
1585.77347,3415330
1586.75715,4606840
1599.82490,461054
1604.81541,471063
1615.82106,3920235
1648.78004,914348
1648.83010,1851654
1655.80019,1313270
1655.81482,451894
1683.80978,357688
1690.77916,1562888
1706.77394,2437731
1716.91595,593013
1726.86609,1196541
1743.72631,600677
1759.71942,661127
1768.86344,479945
1782.81942,736367
1787.90532,638653
1804.93125,12606313
1816.86628,2432775
1832.86111,6008252
1848.85691,3086907
1854.84400,209404
1863.87425,334648
1888.91934,315217
1899.99233,437723
1900.87858,572074
1922.93378,6276946
1933.97351,571160
1975.99524,40305308
1997.97940,968509
2014.07240,703732
2014.95918,1058798
2019.97478,1462994
2028.99904,435494
2038.08546,1514833
2039.06984,2394775
2039.95541,3069296
2056.09284,43088392
2056.97915,60038676
2066.87439,228159
2072.09187,11759543
2073.01447,7992747
2078.07896,887335
2078.96401,1252292
2088.08550,384728
2089.00765,9016547
2094.06989,271100
2105.00168,1906645
2110.01441,728777
2110.90090,1183249
2110.99085,428825
2126.01126,422085
2131.11702,29764180
2146.94212,454236
2147.10977,600897
2151.03044,930504
2153.09636,1151436
2169.07486,486900
2198.97339,4690672
2207.14619,215508
2214.97023,6625939
2216.05977,17382408
2227.03346,419905
2232.05750,3884251
2238.04330,510742
2261.13116,2186340
2274.15983,430883
2283.11444,1513217
2290.15734,1548435
2307.13995,1669431
2329.11872,958415
2348.08782,1070431
2364.08518,1202484
2471.21884,1122778
2481.21138,2903566
2487.21023,3060274
2497.20727,6077637
2513.20424,4111072
2539.21903,247221
2549.21474,1655019
2566.20832,2151688
2570.19061,581672
2581.23495,6881472
2594.17088,1743312
2607.29275,638182
2610.17129,667348
2651.25189,2113097
2675.24718,852949
2689.25922,7141994
2703.24034,25572020
2705.25115,64061692
2711.27519,609086
2719.23382,10469046
2727.23919,2558369
2743.21451,841770
2743.28916,2376677
2759.28849,7578108
2763.32226,3149349
2769.35130,1304003
2775.28204,5591870
2781.33869,27140106
2792.32871,14969538
2809.39108,315461
2837.41658,772511
2853.40994,29016148
2864.38765,498804
2869.40678,7020637
2875.39530,1114945
2880.38718,1077864
2891.37395,439241
2914.34523,567929
2930.34116,1441537
2946.33649,1075971
2988.30497,2415601
3001.36592,5338589
3009.40061,1345861
3017.35938,21677162
3033.48719,10975515
3036.40418,1281742
3039.34186,1355382
3052.40111,3601154
3068.39730,674286
3071.28058,399318
3084.41440,5100267
3100.41286,25707060
3116.41095,22024036
3132.40724,1944241
3138.39457,1020068
3154.33708,678109
3167.48381,5368434
3170.33100,787982
3183.47561,15273855
3199.46996,2096791
3211.52707,1290395
3227.52038,7621358
3243.51129,1795534
3249.49830,379020
3382.60380,480680
3399.60721,2592558
3442.61516,346021
3517.59666,1106225
3531.47306,769267
3533.58728,324693
3665.57391,1906710
3736.61341,2584419
3857.76460,404418
4035.91493,469315
4096.94945,1109958
4112.94291,2005820
4128.93436,395639
4152.10068,466935
4286.06397,914245
4302.05218,1805258
4318.04757,446305
4348.12081,699011
4364.11231,1536611
