m/z,I
836.43766,318065
898.51107,336672
1010.50180,223050
1040.51262,236824
1095.56641,257412
1095.61614,185036
1096.53860,495356
1105.57521,1583475
1153.56004,395617
1163.59158,644552
1165.52391,237618
1182.61187,355715
1183.57085,352015
1188.64887,215748
1215.61176,241667
1245.67041,271594
1250.61310,157868
1267.67573,231384
1273.54847,216816
1274.72581,379012
1278.72068,290170
1306.71616,637590
1332.66634,360481
1437.74971,862027
1443.69776,806114
1453.74416,4032937
1479.79620,251289
1561.79797,1161754
1562.78204,492382
1585.77217,336323
1688.88213,302428
1748.86843,400717
1764.86402,265714
1798.81507,292619
1848.85543,660850
1864.85091,531452
1930.93659,361049
1947.96493,2037746
2039.95458,389205
2052.86450,333307
2056.09287,1691315
2056.97887,1919132
2072.09004,1887717
2129.13684,2008902
2403.15495,203847
2602.07024,369124
2679.23820,758788
2695.23197,2684645
2743.31927,598961
2807.26088,328447
2822.33190,502489
2883.42262,516125
2899.42169,631337
3003.38089,1138427
3052.40463,277278
3100.41283,632373
3116.40955,1829301
3132.40610,1938280
4380.09609,547103
