m/z,I
722.35853,511567
898.51087,451377
953.48026,257663
1040.51237,321155
1095.56592,351540
1096.53864,723570
1105.57537,3116392
1121.61797,363618
1136.60630,149994
1138.55968,386725
1139.53261,294929
1152.63781,371433
1162.62154,515324
1163.59237,849472
1167.57605,1033421
1173.57694,252045
1177.60781,553795
1183.57132,556209
1188.64888,252364
1191.64851,348225
1193.51826,250383
1193.55481,372941
1193.62757,286371
1196.60649,204343
1210.58149,385764
1215.61208,205629
1219.61866,147161
1240.67610,162782
1245.67047,253975
1251.64457,187536
1267.67611,549453
1275.64502,342161
1280.62395,266295
1319.63483,283675
1332.66558,393435
1335.63008,445762
1336.62562,238862
1343.67122,535731
1364.65667,432661
1394.73153,234110
1416.68635,212380
1420.68302,473797
1428.71832,229289
1432.68237,422339
1435.73453,359894
1445.75018,288105
1453.74415,8062866
1459.69390,1500255
1468.72230,381621
1469.73831,339460
1479.79653,801952
1532.78292,635539
1552.73553,467528
1561.79860,3751989
1576.80909,890999
1586.75701,986692
1609.78964,322356
1620.80973,469314
1631.81489,713350
1636.80581,383985
1646.81765,614332
1653.74782,248239
1655.80058,467419
1664.76143,278700
1680.75752,384113
1688.88336,384474
1694.77323,359025
1710.87049,294396
1726.86581,626168
1734.85231,913572
1750.84777,1004889
1782.81931,771505
1795.91116,931819
1832.86112,929357
1848.85553,1658143
1864.99270,340179
1888.91939,446109
1905.94208,348976
1947.96574,10085189
1965.03230,232967
2014.95800,339823
2024.00762,221304
2039.95465,899499
2041.03382,1999833
2055.06217,787626
2056.09321,2914209
2056.97944,7947239
2062.92172,595125
2072.09093,7051391
2073.02572,766385
2089.00750,451756
2105.00118,958262
2120.99825,383111
2143.15047,12194462
2165.13418,553519
2181.10992,248397
2216.05965,2270926
2232.05661,547010
2233.16469,172321
2244.98037,855385
2348.08489,356079
2366.13417,253132
2381.07689,328699
2448.10252,282765
2454.22892,1633489
2465.09956,501612
2471.21635,871046
2481.21245,327708
2497.20699,989558
2513.20452,734124
2534.24223,370652
2551.26520,3320020
2570.08181,1085252
2585.07366,376380
2679.23957,4127768
2695.23108,16975348
2703.23745,3556005
2719.23444,2648938
2743.31749,5063773
2775.28088,1571778
2785.34342,1363002
2794.30564,4650631
2808.26921,340896
2850.41220,449056
2867.42646,407903
2879.33175,943536
2883.42437,6982214
2899.42302,1480657
2905.41324,383332
2909.32461,814113
3003.38051,14855085
3025.35877,663290
3036.40510,2662205
3043.50961,1179851
3052.40032,3965392
3059.50476,4981978
3068.39650,811212
3085.38501,480730
3100.41091,9607261
3116.40820,14923241
3132.40410,1871885
3138.39088,466576
3151.51323,561840
3154.36113,246081
3167.50496,606010
3181.49283,1157898
3197.48989,2482902
3212.48000,476706
3391.60914,313384
3417.61696,888674
3434.73085,688789
3533.48657,818320
3579.66010,852846
3667.58769,1263667
3680.72137,451319
3771.75437,322639
3835.76667,258216
3930.83906,350747
4096.94580,3941166
4112.94142,2756123
4140.09513,1085828
4201.06906,253016
4218.06696,547293
4295.92726,477603
4302.05777,774506
4318.04745,2351584
4334.04021,1569331
4364.11031,1455883
4380.10672,3377772
4402.08583,260978
4549.16000,857256
4565.15162,286873
