m/z,I
728.33248,289577
836.43796,496186
868.46418,364542
898.47463,467457
938.50617,217154
992.51700,269217
1010.50215,328290
1026.49720,228408
1048.55400,228418
1094.53489,405079
1095.56594,589095
1096.53882,620818
1105.57562,6759887
1121.58224,623211
1136.60679,165474
1137.56488,303794
1138.56063,362587
1149.52930,166261
1153.56078,535655
1162.62226,479802
1177.60810,646352
1182.61170,490700
1191.64901,479029
1207.60757,170122
1215.61267,274371
1219.58176,245765
1224.63363,224640
1226.57708,214165
1241.55897,855026
1241.66078,1139508
1250.61346,160554
1267.67625,719211
1294.65803,251780
1343.67224,364237
1416.68718,200959
1427.72898,12056327
1435.68308,2520717
1459.69406,2074133
1501.70469,832750
1540.67054,233915
1548.77895,473021
1561.79908,15000418
1562.78326,5004962
1585.77375,1567774
1586.75767,1390161
1593.76282,858081
1604.81561,356443
1627.74241,470868
1637.72490,508598
1648.77973,1142134
1655.80130,466019
1655.81584,338865
1664.77404,376589
1704.87969,348790
1706.77477,358986
1738.78394,221988
1769.89596,289665
1791.82592,180571
1816.86706,1346202
1832.86138,1625142
1848.85835,204682
1875.94324,358478
1921.93881,247851
1935.92872,1544871
1946.93521,807428
1963.96018,5534562
1972.94870,315274
1997.94429,1227671
2003.97892,356925
2014.97020,7551374
2060.07908,331806
2069.08192,323183
2079.06652,229409
2086.10764,2498403
2102.09968,8371780
2105.00235,444490
2113.14329,545016
2118.09778,523909
2121.00004,882973
2129.13946,12779550
2183.05721,240457
2200.06360,321637
2216.06050,3810844
2232.05854,619518
2256.05332,220829
2256.11598,393062
2264.08262,480388
2348.08617,331119
2357.11729,331346
2364.08193,406687
2429.21117,392705
2444.13523,512475
2461.15419,1558522
2467.19821,704634
2477.15300,1184620
2483.19119,1404558
2499.18710,818362
2532.20439,386420
2539.23088,1343601
2607.29429,205100
2689.26084,3287804
2705.25556,11537083
2719.23772,1081204
2726.26375,1259218
2726.28937,859238
2741.26049,1847211
2743.31840,4549281
2759.28811,5241689
2775.27229,964741
2808.32310,2211452
2820.37407,253784
2837.36984,274518
2869.40800,4932890
2885.40510,2394401
2946.33385,426815
2959.36519,4866823
2960.34223,2354776
2983.51562,508763
2999.50696,1374693
3052.39969,553007
3068.42291,669296
3084.41722,4826535
3100.41564,8593238
3116.41481,1773256
3117.39056,851507
3167.48788,632445
3183.48010,897685
3242.65723,713251
3388.58474,394969
3516.59847,302971
3571.67713,421220
3872.76620,338020
4004.91177,512622
4021.93233,1928896
4112.94626,608606
4334.04311,968659
4350.03709,550074
4489.15968,451302
