m/z,I
852.43312,200188
868.42771,301019
898.51110,597163
1075.54374,160416
1079.52334,217021
1105.57541,5206487
1139.69025,204177
1153.64834,954967
1162.62214,520498
1163.59234,663578
1177.56797,234960
1180.64387,2175181
1186.62213,257933
1189.57972,735189
1196.56646,309391
1196.63899,2053750
1199.56675,398232
1201.58557,318533
1204.60009,218659
1211.64287,936975
1215.56061,184651
1215.61217,136356
1226.57676,372634
1240.67603,551470
1267.67590,1143594
1273.70226,263925
1275.64477,5392956
1276.62861,4036246
1277.61253,1188576
1296.63796,794082
1312.74807,2223696
1338.64464,3972237
1341.66893,314294
1349.69717,2259238
1350.68131,1227724
1374.74953,224495
1379.61939,167469
1391.81269,441788
1400.77572,363796
1410.72046,294234
1420.67520,468509
1427.72851,11671269
1432.73050,5032143
1435.68266,6010149
1459.69339,4740601
1473.67338,1508585
1496.75336,2407248
1508.68061,461315
1512.74843,1139492
1524.67661,449914
1528.74413,172493
1544.77142,275348
1556.68455,6139097
1560.81417,5518706
1561.79867,6953096
1562.78269,2559246
1562.83011,2453446
1572.67934,4443844
1573.73870,1421067
1575.86133,1191184
1580.76827,1686204
1585.77255,3098698
1586.75708,3489240
1604.81507,383701
1615.82076,2855146
1637.72400,287008
1648.78002,816960
1658.81799,1075450
1664.77470,213037
1671.80883,279555
1674.81316,334006
1679.86514,473666
1694.74479,168840
1716.91526,807825
1726.86593,2943407
1743.72445,730776
1756.77888,1378163
1759.71882,437847
1762.90922,161554
1769.89392,208494
1772.77490,1838657
1782.81921,1084864
1787.90412,600165
1799.79949,707052
1804.93071,14882794
1816.86552,2269219
1826.91332,262183
1832.86068,3651130
1848.85648,1484779
1871.96112,306003
1888.91910,1389587
1891.00876,414652
1900.87820,314677
1922.93322,5289483
1931.96862,245257
1958.97025,1928658
1975.99485,53167116
1986.04182,496194
1991.99030,815523
1998.02834,6025135
2011.03638,1159895
2014.95834,656924
2019.97410,392347
2028.06469,26753476
2039.95492,1848260
2044.05769,8949116
2056.97855,41375092
2061.02972,929226
2072.97716,1745557
2073.01362,5261663
2078.96295,854737
2089.00677,5798478
2094.03145,1676693
2099.07971,229554
2105.00134,1538380
2110.89966,378195
2110.98952,226540
2115.13502,451093
2118.90372,601752
2131.11607,19746196
2136.11247,286166
2146.94126,372260
2147.10720,325720
2151.03131,553509
2190.09902,314904
2198.97250,5727393
2214.96931,3901581
2216.05915,11524116
2226.15708,231469
2227.03303,2220054
2232.05660,3076799
2239.15190,352533
2242.06400,1523452
2246.13665,455104
2253.00943,376612
2258.16319,2276269
2263.10999,2568865
2266.05973,393941
2271.02041,2016088
2274.16012,1104365
2279.14367,593028
2285.09254,835927
2290.04077,1765575
2299.05094,446953
2304.03088,342747
2307.13877,1738629
2316.04938,687759
2329.11714,558278
2345.11184,388995
2348.08672,2597319
2349.20973,1013234
2364.08836,2139699
2366.19156,934692
2368.10629,1077588
2369.06133,684717
2383.13166,6553864
2389.19799,674503
2395.13131,1419418
2415.11596,492948
2447.09710,264915
2461.15497,2621639
2463.10044,1374494
2472.08975,677641
2476.24452,402431
2477.14784,2158591
2480.14045,418049
2485.23005,7441519
2497.20645,8263603
2502.22958,969133
2509.22242,659614
2513.20369,5493301
2532.19251,628785
2550.21612,5049389
2561.17789,575501
2566.20806,3848181
2570.18659,557292
2578.17529,6187290
2581.23694,5130605
2583.22359,1949571
2594.16991,4625967
2598.29358,665451
2607.29130,943454
2610.16718,1396352
2632.47644,685751
2650.25278,2871489
2689.25915,4650024
2705.25062,76064496
2712.24389,466459
2719.23258,12847094
2727.24008,2259711
2743.28831,5541319
2749.30531,1883690
2759.28534,12997458
2766.32689,25009526
2773.46185,878124
2775.28107,6654255
2781.26625,381201
2785.26794,520466
2792.32733,20406704
2808.32051,541080
2814.30564,566612
2820.23097,809818
2861.35522,788298
2867.42953,410560
2883.42244,35303768
2889.35268,523503
2899.42179,6973254
2905.40770,1262021
2915.41931,339817
2921.38662,511134
2930.33949,2130114
2939.57517,1344717
2944.47545,451539
2946.33334,848422
2971.33120,882166
2980.44278,1172290
2987.32702,2654596
3001.36551,3920227
3008.42229,1389277
3009.39931,1924203
3017.35767,36708788
3025.37336,579108
3039.34005,1335016
3045.40050,717539
3052.40070,3047807
3077.49765,858264
3084.41260,8863891
3093.49470,10011595
3100.41067,44766544
3116.40894,23826982
3123.39893,1236207
3132.40389,1348732
3154.33462,477200
3164.57230,387531
3167.48152,9400104
3183.47346,22438638
3199.46683,2643203
3211.52619,1634013
3227.51937,7319830
3243.51163,1461202
3382.70493,1602440
3400.63014,519208
3413.62218,2523830
3433.59156,365687
3464.69215,1073130
3495.47616,268979
3501.60232,450431
3517.45885,613090
3517.59387,1495147
3533.58637,646626
3542.62247,561078
3559.67132,527836
3575.66299,1844288
3651.55743,1975564
3683.88353,256215
3706.59893,447316
3722.59518,3906421
3736.71029,357339
3787.75522,310362
3840.76810,359099
3856.76172,760704
3872.75966,455087
4035.91849,802038
4096.94554,541677
4112.94127,1403758
4128.93186,473982
4153.09128,638664
4286.06346,768615
4302.05241,1787053
4318.04683,777829
4348.11901,806843
4364.11134,1628539
4577.16422,316176
