m/z,I
836.43786,673763
898.51103,910891
1079.52297,188623
1088.53772,223121
1096.50070,149142
1105.57525,8761819
1121.61773,280543
1125.52904,319154
1132.48675,380869
1157.48124,182899
1163.59231,750438
1167.53940,197094
1167.57582,358557
1177.56723,678375
1183.57043,236267
1183.60712,365960
1191.64846,348743
1198.61824,1120486
1201.58503,763116
1235.61330,453498
1239.64469,1895935
1240.67643,1096379
1241.66030,1944420
1311.62879,1085585
1324.66863,538750
1328.64891,324959
1332.65499,762365
1343.67134,464625
1362.67643,377316
1379.61924,399159
1381.67208,251279
1391.71468,699083
1427.72826,27746780
1443.72334,410198
1459.69359,8639010
1465.69274,10388792
1482.73747,883761
1498.73244,197845
1501.70437,5348444
1530.80307,1719572
1544.81838,2373901
1550.75691,3089980
1551.79971,230353
1561.79775,12507892
1562.78239,8385761
1562.82997,4871641
1585.77245,3047585
1586.75650,7328181
1604.83992,3559122
1615.82042,8593803
1628.72618,426751
1637.80256,194744
1650.77307,226558
1655.81458,894357
1683.80966,789138
1686.90370,996958
1690.77859,1104126
1698.82104,519866
1700.92029,1022107
1706.77370,2581509
1726.86555,961900
1734.81553,211048
1736.82084,900902
1742.73968,218802
1743.72412,205750
1749.85228,379622
1784.89279,4213424
1788.93571,533809
1799.79959,3005393
1800.88892,20215150
1805.88907,4755583
1806.87329,7776255
1815.94624,542255
1827.90658,159255
1832.92502,229288
1841.90291,456369
1858.95321,458518
1863.87285,866740
1872.96834,558282
1875.89607,379449
1888.91877,265301
1892.92183,8647981
1899.99101,262242
1908.91689,225970
1917.97953,623515
1928.95789,1399582
1945.98511,38834424
1960.00091,45413968
1981.98281,361461
2014.07170,434345
2015.94177,438636
2019.97384,2131765
2030.06933,517750
2038.08483,1665375
2051.97696,652350
2056.09231,34098428
2056.97835,22487952
2072.09069,30813066
2078.07785,314353
2082.94387,483763
2089.00624,3771986
2089.99071,1347700
2105.00066,15327594
2105.98599,5357204
2120.99835,3649367
2121.98344,1363539
2132.04996,418545
2133.98494,435731
2145.12841,46772976
2149.05206,365886
2161.12609,662920
2165.04868,1843554
2167.11368,746614
2172.03514,1463009
2173.12694,219109
2174.07348,662665
2188.02765,37780760
2198.97236,1194072
2204.02062,1986535
2214.96885,7737900
2230.96743,822197
2256.05098,2028970
2264.12966,532485
2272.04704,1175608
2280.12756,4833884
2283.06636,503595
2293.08840,877887
2296.12449,656809
2300.14157,1993831
2302.11105,767282
2303.02937,711897
2308.12300,338883
2316.04850,1328757
2348.08649,1285717
2364.08416,1221308
2369.11651,306278
2380.06482,532595
2383.95369,340680
2410.13778,3981836
2419.21065,499230
2427.15371,523537
2436.21042,385057
2447.19532,264304
2455.22445,7635431
2471.21645,3967159
2481.21027,4381500
2488.18974,765263
2497.20528,12120617
2501.15900,1461555
2510.08494,816681
2513.20301,9430547
2536.20041,600405
2548.21136,2293823
2550.19061,646881
2552.19411,5871128
2560.12981,240110
2580.27671,539951
2582.22025,12114946
2589.25515,1406722
2611.17768,402571
2635.25324,302921
2651.24886,8322096
2659.25206,538113
2667.24265,756201
2675.24743,421173
2689.25837,4641391
2703.23598,57582160
2706.25362,12289612
2719.23258,20990110
2720.21321,3866184
2728.29250,3535997
2735.22907,683686
2741.30024,43026488
2795.22126,623018
2803.32956,301440
2820.35328,20597700
2839.39225,978246
2842.33317,375360
2867.42547,3501166
2875.28322,2752502
2876.25992,470805
2883.42166,84410288
2899.42117,7897009
2905.40955,1112267
2911.42093,429350
2959.36213,1243337
2975.35549,19935026
2976.33467,10451120
2977.31480,2571072
2983.51304,1177534
2994.39343,407492
2996.33030,282958
2999.50522,10277781
3009.40255,1645956
3010.38000,1087868
3025.37556,446283
3036.40607,507179
3052.40113,2567212
3068.39755,1127163
3100.41285,7979386
3116.41058,19604794
3117.38714,4768978
3132.38028,812029
3132.40489,1501945
3167.48427,6568916
3170.42559,588810
3183.47610,16567730
3186.41733,1299330
3199.46832,1071625
3225.54311,1688679
3241.53317,8555126
3242.50686,3031521
3257.52537,954089
3387.61059,566832
3388.58606,797454
3502.57903,1274319
3516.59430,1010826
3518.57031,1052177
3533.58749,600928
3548.65001,275131
3667.55255,643332
3738.59351,691957
4112.93545,975026
4128.93484,1308516
4290.01497,1249080
4306.00033,347231
4364.09924,610700
4428.14902,390179
