m/z,I
898.51097,369482
1079.52331,209025
1095.56607,346866
1105.57531,3241122
1125.52965,237668
1127.55729,203996
1138.56035,247996
1146.56552,195416
1162.62185,440980
1163.59178,708332
1167.57598,305813
1167.62760,1183915
1175.60589,316347
1177.65798,495620
1182.61196,389685
1182.62287,482938
1183.57082,291729
1187.60593,278692
1189.57984,613405
1198.61804,659326
1226.57719,397841
1239.64462,579306
1272.59985,197358
1300.69052,552557
1309.68008,262309
1311.62941,227357
1323.61176,262160
1325.57961,454990
1338.64451,892126
1350.68120,391392
1362.67659,245467
1400.65807,191976
1419.75979,236731
1427.72815,6836334
1437.67226,259769
1459.69378,2870215
1465.69312,2713860
1466.74257,479849
1481.68068,424432
1501.70482,1494950
1508.68214,348235
1530.80399,1369597
1556.68425,638055
1561.79820,4411160
1562.78262,1840762
1562.83002,1790337
1572.67933,3887175
1575.86141,1717931
1578.82075,361678
1585.77234,1713098
1586.75672,1762713
1601.81186,664796
1604.84013,2567352
1615.82068,3721562
1647.88453,159529
1648.77909,371102
1683.80967,240830
1686.90388,923593
1690.77850,854911
1706.77372,1798564
1734.81597,199742
1768.89953,803372
1784.89301,3148438
1788.93653,304035
1799.79994,927435
1800.88919,5109754
1802.78485,618348
1805.88967,4458906
1806.87375,3184055
1818.77889,472442
1822.87203,454406
1840.91987,291328
1862.90191,273488
1892.92222,2861824
1900.87800,213304
1903.96264,462971
1928.95834,1717976
1945.98549,28547352
1961.98030,630456
1983.94150,342048
1993.97859,345522
1999.90456,381902
2001.04571,604284
2014.95728,491330
2019.97369,711482
2027.13071,801639
2039.07027,420856
2039.95538,1316870
2040.98617,701842
2056.09310,7736334
2056.97914,19176392
2072.09082,7587775
2077.96176,817992
2078.07883,289202
2080.01908,215254
2089.00706,3154996
2094.07010,288934
2105.00152,4093380
2110.90012,270889
2120.99851,771907
2124.07181,217100
2129.13776,311752
2145.12928,12806023
2146.93986,202640
2161.12510,208347
2165.04899,517109
2167.11365,1134895
2172.03616,1028109
2174.12313,497118
2183.08840,365640
2188.02822,8428614
2198.97298,1785828
2203.01620,402881
2207.09244,496654
2214.96941,2977535
2219.09434,1782792
2223.08909,2155641
2227.03222,272384
2235.09031,7831236
2241.07550,319498
2251.08427,707160
2257.06712,1110364
2263.08141,1835030
2267.07691,1515063
2273.04103,381832
2279.07849,4924317
2280.12772,736489
2295.07461,534487
2300.14548,2427606
2302.10939,742081
2307.07217,388995
2308.20187,340832
2311.06941,462437
2322.12391,475100
2330.19697,333124
2346.19712,1160062
2348.08794,1570640
2364.08434,1172717
2378.18705,298659
2383.95310,292487
2410.13899,1373821
2428.25600,1024400
2439.23145,695084
2449.01489,432707
2449.10550,272599
2455.22495,6252389
2461.01189,451438
2465.10020,386494
2465.22059,575185
2471.21643,1385678
2481.21129,2900722
2497.20588,3134484
2500.16327,524037
2513.20338,1539449
2533.17801,394611
2536.20214,467632
2544.19279,325071
2548.17127,1730111
2548.20968,458363
2552.19463,1178692
2564.16274,2454695
2564.21168,501381
2570.18691,504041
2580.15204,356548
2581.23369,4441234
2611.24095,249965
2651.25148,1274150
2673.26639,3025339
2689.25838,13735893
2705.25204,24835012
2711.24074,1369247
2711.31036,2067569
2719.23428,4706231
2723.28963,905729
2727.23848,2150868
2727.30897,5350261
2743.21392,652212
2749.29386,393016
2756.31308,319017
2756.45504,516040
2763.34728,344528
2766.35577,421490
2791.35033,1052721
2817.41175,274223
2820.23391,6106933
2820.35343,8978724
2839.39548,314732
2842.33237,914786
2847.37437,1280993
2852.22299,258515
2858.30539,322406
2867.42699,2088909
2874.30322,1332656
2875.28272,1521818
2883.42302,19081710
2889.35166,519764
2899.42271,2205714
2905.40881,1786514
2921.38618,612126
2926.43542,291945
2938.38441,378930
2959.36068,2231009
2975.35442,22637910
2976.33129,3721538
2983.51264,332628
2997.33416,1920586
2999.50604,3542167
3005.33434,288367
3009.40053,342439
3013.30339,530442
3021.48540,374286
3036.40522,1412826
3045.40453,350982
3052.39955,1959247
3068.41699,661027
3084.41314,5748754
3100.41080,16343071
3107.40117,375730
3116.40918,13136737
3122.39699,1358250
3132.40503,883443
3138.38746,1080914
3167.48273,3134951
3183.47453,6038338
3199.46803,559268
3205.45722,334969
3225.54212,747130
3241.53139,4255182
3257.52576,563745
3263.51152,326874
3285.48316,295926
3386.60029,597866
3389.70162,672462
3510.47054,231222
3517.59302,329290
3533.44999,923517
3651.55785,244433
3667.55168,1531753
3722.59684,343700
3738.59104,1719268
4063.94421,400094
4112.94059,1619828
4128.93341,2123196
4144.92451,258652
4202.07148,350932
4274.02579,685637
4290.01652,1331496
4306.01349,376824
4348.11461,574087
4364.10926,1042517
4429.15136,972231
