m/z,I
698.31017,211654
698.35779,326637
836.43775,328231
868.42765,340068
898.47468,1031001
898.51099,858738
908.49510,215953
942.44664,786945
952.46744,538851
953.48026,321629
992.51665,324769
1010.50176,565333
1024.51713,250191
1026.49693,275863
1032.54774,315271
1051.53564,255025
1064.51221,278592
1088.59649,386146
1094.53426,265172
1095.56576,338249
1096.53874,1196955
1105.57536,5075474
1105.62294,923300
1121.57077,248557
1121.61824,349824
1126.54941,299856
1129.60072,1195031
1136.60632,458404
1146.56512,428581
1148.54453,247776
1153.56023,907978
1160.56989,217085
1162.62197,729570
1163.59166,1067095
1164.60101,429931
1165.52356,507481
1167.57580,994616
1176.64856,180757
1180.64386,1049768
1182.61175,742381
1183.57087,1703506
1186.62220,1044017
1191.64877,423294
1193.51888,313262
1193.62786,446140
1196.63908,1021563
1197.62287,361722
1203.62389,397108
1220.64983,193373
1224.53171,414372
1241.55872,2381554
1241.66034,541990
1250.61343,437156
1251.65161,457036
1264.62837,358686
1267.67569,985759
1273.70184,397272
1282.63947,207666
1299.70683,474866
1323.66549,491040
1346.71857,523081
1374.64097,204044
1374.74939,259206
1409.71680,297322
1416.68769,235991
1417.73038,575332
1427.72859,9877982
1435.68263,3520327
1443.72268,172804
1448.67739,329864
1451.72383,213219
1459.69371,2560365
1469.81193,398279
1473.67293,1200150
1483.71461,290956
1496.75279,415769
1503.80327,215492
1532.78305,636908
1550.75695,1402471
1561.79839,6400440
1562.78238,3137702
1562.83023,1999898
1586.75659,2702244
1589.77878,434569
1615.82089,1963475
1616.80445,671901
1637.72420,1106461
1648.82993,812989
1658.81788,605446
1681.80161,282189
1688.88255,305394
1694.74535,738870
1694.92339,308010
1706.77354,1123958
1716.91514,627213
1717.79055,262216
1742.74108,587620
1762.91018,339048
1766.77824,321383
1766.83249,499457
1768.86260,187519
1775.83902,175913
1783.80324,2075053
1791.82679,398790
1799.79859,315017
1800.87156,1833128
1804.93076,9332427
1816.86578,6442351
1832.86071,3887033
1864.99217,826267
1874.89177,261519
1888.91869,277502
1892.92213,2197898
1899.99273,597254
1958.97000,2088770
1961.89587,283262
1975.99522,19022208
1980.96502,727807
1997.00724,3085832
1997.99220,5280119
2014.07187,1027887
2014.95877,415139
2022.98476,322659
2038.08485,1632143
2039.06920,2438469
2039.95477,1365394
2040.98537,441936
2056.09312,22357204
2056.97948,8813385
2057.96466,3220028
2072.09063,6454198
2073.01318,1799112
2073.99746,972222
2089.00723,1405412
2089.99161,577755
2115.96965,272043
2118.09628,287875
2131.11599,10436801
2146.94148,360076
2198.97212,1774397
2216.05948,4565126
2232.05659,957701
2233.16479,508927
2252.00419,193255
2256.05088,542726
2266.05941,550722
2272.04854,252736
2280.18367,291026
2281.13163,298466
2290.18656,464922
2293.12407,421379
2314.10659,392759
2322.09622,365611
2348.08740,487191
2361.22367,393787
2391.06118,201878
2410.13809,1173374
2419.14714,619677
2465.21931,663622
2481.21217,1682089
2485.23081,1990992
2497.20759,1906821
2513.20361,962331
2564.21337,506485
2632.34232,297095
2675.24316,751522
2689.26022,8278663
2698.23300,530328
2705.25300,34067136
2719.23302,2276951
2726.26335,1882657
2743.28899,4645641
2750.36428,428334
2759.28502,4294787
2767.31958,10794070
2785.35674,565201
2792.32703,6344554
2839.39564,346377
2883.42462,11025717
2899.42235,2777923
2914.34184,694168
2930.33939,600901
3001.37130,788424
3010.38171,201811
3017.36294,6323077
3018.34139,4080100
3052.40213,941943
3059.50482,8310352
3068.41828,1156544
3069.39821,707847
3083.40870,455102
3084.41397,11126691
3085.39113,4148349
3099.40704,1452639
3100.41199,25558942
3101.38947,9789665
3116.40990,3669966
3117.38664,1502122
3167.48274,542768
3183.47411,1180908
3184.45242,782166
3210.52687,321196
3227.52248,1431623
3243.51078,348861
3382.70534,778492
3414.59786,748544
3651.55757,897219
3722.59318,912799
3856.75458,227492
4035.89682,1450472
4053.92169,618830
4069.91504,630830
4085.90712,348737
4096.94571,2143764
4112.93982,3743930
4128.93257,888653
4152.08944,1199663
4185.07746,425934
4202.06980,588690
4286.05877,1965644
4302.05009,3033498
4318.04052,1094941
4348.11553,2281117
4364.10729,3267214
4519.15375,2198331
4535.14872,733841
