m/z,I
836.43800,549630
852.43255,214095
868.42785,334294
868.46431,241073
892.46392,247758
898.40204,234499
1007.57512,195352
1010.50161,234729
1034.57889,516003
1095.56565,1005890
1096.53862,595131
1105.57542,4540553
1127.55729,332691
1129.60084,336625
1145.63207,198146
1145.66795,166665
1150.59688,363690
1153.56072,500097
1153.64790,259507
1163.59157,975124
1165.52383,266925
1166.55581,334495
1167.57582,474419
1180.64388,1030873
1182.61186,439472
1183.57083,437979
1196.56580,358325
1196.63908,1512052
1240.67641,248737
1260.67015,401793
1261.65407,525875
1267.67598,855775
1296.63766,307917
1316.67107,241440
1343.67128,390812
1373.67819,181073
1379.61862,282277
1394.73126,472253
1403.67075,516305
1404.76027,1073484
1409.71808,235856
1417.75528,657522
1427.72864,9293987
1435.68253,4054021
1443.72344,255957
1459.69402,3360495
1466.68729,239681
1496.75328,894554
1500.71914,203815
1532.78303,966876
1550.75737,1424244
1556.68488,906234
1561.79852,5263714
1562.78250,2677460
1572.67917,814149
1573.80071,321160
1575.86121,462495
1585.77267,2061139
1586.75671,3214146
1604.81457,673662
1615.82076,2192708
1622.74145,322321
1648.77876,807851
1648.82951,1014611
1655.79951,1066675
1655.81486,369444
1690.77892,1081335
1706.77348,1796784
1710.86954,308107
1716.91552,607559
1726.86594,2098439
1743.72583,665451
1759.71914,250738
1762.90880,174270
1774.92112,489490
1783.80285,1536682
1788.76903,529651
1791.82689,295967
1799.79932,893826
1804.93079,13856897
1816.86567,4205217
1821.84948,356981
1826.91296,637867
1832.86072,3588578
1838.84696,386633
1848.85628,1150098
1863.87281,248761
1864.99220,218889
1892.92210,4417119
1899.99318,336627
1900.87835,369786
1928.02408,611165
1958.96969,2260579
1975.99491,37483748
1979.98032,718213
1997.00815,8633244
2007.94184,418399
2014.07264,559224
2014.95902,927572
2024.99222,430084
2027.13109,1447360
2028.11518,1047144
2039.06920,1511044
2039.95519,2380275
2040.98644,1504061
2056.09270,23645910
2056.97893,35376520
2072.09084,10407894
2073.01348,4812362
2078.07813,987964
2078.96332,1369801
2089.00724,3798250
2094.03217,897786
2105.00203,831648
2115.97209,239969
2131.11608,14344700
2146.94203,384985
2179.04672,567186
2198.97251,4948178
2200.06229,735845
2214.96958,2081389
2216.05950,8263608
2227.03319,473045
2232.05670,3361484
2240.11711,345948
2246.13678,885887
2248.04697,510353
2274.15906,353771
2293.12521,1996455
2299.07670,1111741
2303.02814,360728
2307.13861,995119
2315.10332,1143782
2316.04804,450956
2329.11809,1090801
2338.03069,224881
2343.10376,641672
2348.08729,1724408
2349.20940,636001
2364.08514,1542724
2366.19147,478545
2383.13232,856033
2389.19860,307699
2395.12911,579720
2397.21917,484259
2433.27035,817061
2461.15481,671675
2465.21872,1573759
2469.24061,365884
2477.14795,666779
2481.21111,4725901
2485.23056,5984601
2497.20625,5105137
2513.20418,2483055
2562.18118,714930
2564.21581,486782
2570.18901,501423
2581.23457,4341664
2595.18837,1532691
2607.29188,757255
2612.19744,705121
2651.24724,1012574
2667.24457,989625
2673.26669,2060161
2689.25892,11403240
2705.25123,48443584
2711.24150,1273188
2719.23338,7771946
2727.23947,3707427
2735.22855,347525
2741.21373,726238
2743.28801,5957590
2759.28522,8010529
2767.32197,22182490
2775.28131,2686829
2789.30653,1368596
2792.32744,15858221
2814.30488,1311532
2820.23252,1747607
2830.27700,298113
2839.39304,402649
2867.42599,1562647
2883.42283,23438970
2899.42179,9821348
2905.40947,2185741
2914.34385,1163716
2921.40347,943055
2930.33963,1306644
2938.38243,317934
2939.57281,271408
2945.33004,395176
2976.33862,1050692
2987.32524,2010811
2988.30505,2650291
2991.39579,303282
2996.47165,266036
3001.36566,3121548
3008.42150,1433162
3009.39930,2344708
3017.35811,21606790
3036.40268,1035114
3039.34074,2224494
3043.50746,642920
3045.39974,433415
3052.39913,1734412
3055.31391,517586
3059.50420,6188301
3068.41778,1521224
3084.41239,12002343
3100.41039,29289412
3107.40104,831391
3116.40879,9852140
3122.39664,3033466
3151.51151,492123
3167.48141,4703623
3183.47389,12550375
3199.46773,2022919
3205.45595,531595
3211.52482,1034289
3227.51920,4743669
3243.51050,2709156
3269.58780,258585
3382.70435,1281416
3413.62159,2117283
3426.62805,309900
3456.62921,352800
3495.47533,308153
3501.60185,648500
3517.45835,1412467
3517.59369,2180516
3533.58385,768192
3534.42688,362180
3559.67163,503909
3575.66155,2122718
3651.55636,2627746
3673.53726,442428
3707.67045,599881
3722.59445,3737978
3723.66713,591923
3737.70812,317751
3738.59088,240428
3744.57840,690089
3856.76171,620597
3871.75393,250319
4035.91556,1096243
4096.94387,2727557
4112.93878,3397325
4128.93092,566998
4134.92720,455995
4153.08877,1004945
4186.07783,329491
4202.07316,807525
4286.06034,3017232
4302.05020,4529246
4315.13302,453822
4318.04483,1510236
4332.12655,252579
4348.11671,1842433
4364.10982,2822049
4519.15309,671919
4535.14536,547177
