m/z,I
840.46902,317078
868.46426,413266
950.46931,299866
970.47791,398596
980.52811,180318
1026.49703,261690
1053.50780,162924
1053.60950,463619
1070.63615,897734
1094.53437,708244
1098.63121,156277
1105.57544,8488457
1113.64244,475342
1121.61785,504157
1163.59233,1429608
1165.52430,424664
1167.57591,229314
1196.56599,382433
1210.65491,738194
1216.68040,222396
1219.58225,560007
1223.60205,181546
1226.64993,1731339
1241.66069,438743
1253.55085,168949
1264.62914,200522
1267.67604,1270809
1273.70168,231652
1280.62414,385380
1286.68530,198971
1312.74766,269637
1325.64511,207985
1364.82728,996543
1374.75038,247968
1428.71988,1032360
1437.71375,18348296
1453.70797,1892092
1459.69395,5372452
1465.69307,6368651
1473.67341,2249519
1479.79594,213898
1515.73099,221184
1526.79728,246909
1548.77767,1654294
1561.79874,6097227
1562.78290,2938594
1585.77310,2690754
1586.75701,3265792
1604.81515,366735
1615.82087,4052718
1643.73764,620760
1651.78401,3286281
1716.91608,515369
1721.82558,250650
1726.86615,334809
1727.88465,165400
1734.81580,421728
1735.83665,290584
1744.91152,771487
1749.86418,4744396
1750.84807,4497572
1779.87857,1981300
1784.85583,400692
1795.87470,261215
1796.87768,269838
1816.86550,555132
1832.86117,2924507
1841.96242,719586
1848.85645,4077603
1864.85027,823355
1875.94230,181611
1888.96428,645946
1908.91731,3530011
1985.98111,1587943
1986.96657,856472
2003.00606,11496521
2013.00139,696271
2015.94256,1464559
2019.97423,1366019
2029.03572,257953
2039.95424,1660316
2056.05677,1359657
2056.97907,23958764
2072.05512,227808
2078.96376,476022
2089.00724,2241413
2104.06115,1868492
2105.00135,5602633
2109.02235,589731
2120.05876,10562184
2120.99901,3256200
2131.11661,19205326
2136.05216,496150
2138.03003,294376
2146.94165,464161
2147.10910,526697
2150.96774,730851
2153.09550,511427
2200.06279,438140
2214.96961,6528054
2216.05955,19726386
2230.96781,643188
2232.05787,986528
2251.03915,2529835
2267.03332,1347016
2269.12058,3276399
2283.06497,449309
2285.10463,1369773
2301.15024,511425
2312.18099,932806
2315.04647,371384
2323.08157,465537
2337.14561,907930
2340.10856,1722341
2348.08863,850438
2358.13230,405600
2364.08497,1723155
2379.09950,674349
2410.13978,1788294
2455.22833,371414
2459.25717,342190
2471.21776,3097174
2477.14892,669141
2486.21046,2087117
2497.20693,2451971
2502.17270,479669
2513.20469,2732711
2541.16558,388863
2550.18103,333145
2566.20854,3230853
2579.29478,885770
2617.27793,715580
2637.30837,704970
2651.25174,1437298
2689.25936,5355071
2695.27971,628226
2705.25280,23540306
2711.27476,819487
2719.23295,7501308
2727.23863,945098
2737.30538,2605543
2743.25958,777336
2759.28635,4069264
2775.28143,6937717
2785.31361,1188739
2786.28581,1659848
2791.27437,489539
2801.30490,19736970
2820.35439,6671774
2837.41512,1006437
2849.37958,6292320
2853.40984,18522400
2860.36148,520931
2869.40685,3116125
2875.39428,516444
2876.35894,1142758
2880.38704,597113
2885.29420,595662
2901.31629,2608358
2902.29920,3060824
2962.32746,310420
2975.35499,22944486
2991.34979,760279
2997.33436,660761
2999.50631,3159526
3025.37651,606365
3036.40447,548510
3052.40069,2966961
3068.39674,342433
3085.39366,261785
3100.41132,3661291
3116.40997,23969416
3132.40571,4545726
3139.39502,533286
3150.36785,394735
3167.48394,2081777
3292.51437,639000
3356.55420,546967
3429.61535,284420
3517.59670,545320
3547.46861,315449
3681.57012,409354
3752.61045,475930
3835.76990,322625
4096.94957,389252
4112.94529,961690
4128.94074,347124
4298.02067,681325
4313.01509,317051
4318.05159,677538
4334.04064,410932
4364.11425,760737
4489.17210,274069
