m/z,I
728.33248,280275
836.43782,475576
868.46399,446481
898.40178,280202
898.51105,1169929
974.43656,238113
986.47268,400287
1010.50154,228547
1054.49182,138817
1063.52810,162092
1079.52338,300084
1095.56580,596582
1096.53842,333733
1105.57530,9826660
1121.57053,342033
1121.61812,491250
1127.55786,375972
1138.56033,407402
1146.56536,392964
1162.62184,400499
1163.59217,1135364
1166.59222,543627
1167.53952,229491
1181.55520,331685
1183.57080,465573
1184.49272,202481
1193.56229,577929
1193.62737,288537
1196.56596,395286
1201.58529,528974
1210.65458,672982
1216.68039,229906
1226.64980,2533691
1230.57871,380025
1241.66014,226136
1249.59268,290159
1261.62937,404937
1264.62879,223459
1267.67588,1956220
1273.54848,629165
1273.70182,341014
1281.61942,1099899
1320.62982,467850
1332.65422,614314
1335.62971,560154
1354.63711,271475
1374.74951,238195
1390.74476,288435
1391.66645,215332
1409.71424,406543
1416.68678,419899
1417.72999,801730
1428.71959,1703545
1432.68245,704356
1453.74403,35051424
1459.69376,6857053
1465.69296,7166380
1469.73933,2785803
1473.67300,3307934
1475.72667,470046
1481.67516,267168
1511.74462,286425
1515.73082,195069
1561.79840,11791251
1562.78257,6193466
1562.83005,2773980
1576.80871,2163019
1580.73103,306510
1585.77240,3041119
1586.75688,4897212
1604.81491,422074
1608.73904,229717
1615.82058,8199591
1628.72625,432779
1655.80031,1371603
1683.80965,633608
1689.90350,213174
1690.77863,1493437
1694.77443,272120
1698.82081,682816
1706.77398,2533910
1707.82250,274464
1716.91536,905618
1717.83089,702895
1726.86552,1634481
1728.91466,252816
1732.83621,852195
1744.91084,522832
1749.86379,6913462
1750.84784,8387250
1759.71914,662188
1775.71502,703595
1784.85607,426322
1795.91066,1439715
1798.81612,1069656
1799.79960,1409536
1812.88757,231820
1812.90742,309838
1814.78982,1374443
1825.96818,275743
1827.90663,258628
1832.86068,3568523
1841.96194,359500
1846.90421,234212
1848.85601,8708577
1864.84996,4386948
1870.83538,212833
1888.96408,811592
1900.87878,523763
1903.97404,481200
1908.91683,3114835
1931.96770,401310
1961.96823,476443
1985.98177,2500412
1986.96566,1635057
2003.00540,23677092
2012.95253,281983
2014.95835,1123324
2019.00095,8648351
2025.97402,376818
2029.03635,263465
2034.89206,1677782
2034.99768,514148
2039.95431,2698584
2040.06380,1083329
2056.05604,1393021
2056.97829,58621516
2069.97391,381864
2072.97577,1330663
2073.02502,1010619
2089.00683,2772871
2104.06035,7616659
2105.00079,13960345
2109.02200,693349
2113.10526,272618
2115.97324,335426
2120.05830,23124916
2120.99871,4072009
2126.98543,392795
2131.11596,30324990
2136.05130,12168989
2147.10807,1199457
2150.96760,253726
2153.09617,793157
2200.06230,721383
2214.96900,2791054
2216.05841,29762796
2230.96675,7260963
2232.05657,1117609
2238.04348,745593
2285.10503,1048875
2290.08763,346468
2299.05665,414374
2301.14823,341039
2304.02975,418278
2316.15805,739519
2320.15582,676228
2337.14706,1852915
2340.10877,1129901
2348.08674,1201627
2359.13331,1144337
2364.08335,1200111
2410.13873,2718717
2419.14908,315420
2461.15690,751649
2471.21716,2156994
2477.14693,770928
2481.21090,2765776
2487.20824,2983607
2497.20623,5755401
2513.20366,3633533
2529.20174,297701
2548.21195,1093877
2566.20852,2266005
2570.18945,509706
2582.19949,2751096
2589.25578,673900
2594.22158,856132
2606.25916,203966
2611.24714,7213005
2637.30501,638334
2650.25049,2879661
2659.25484,610791
2664.31530,443099
2667.24153,747107
2675.24657,1202032
2686.24146,838762
2687.12359,280245
2689.25822,12626182
2696.28240,665593
2703.23903,34080892
2705.24984,102900336
2711.27370,1023601
2716.13001,281640
2719.23281,15442490
2724.22220,678663
2727.23798,2653221
2735.23167,919037
2737.30496,2458500
2742.25604,1532680
2758.25611,5138405
2759.28498,5689331
2775.28045,17746944
2785.31310,2809919
2791.27466,10067534
2799.35685,1442004
2801.30389,24163760
2807.26637,685879
2816.29273,810338
2817.29621,20319256
2820.35289,23508440
2833.28987,1198064
2836.34666,1212479
2837.41458,1720261
2842.33168,924146
2853.40795,44649548
2865.39056,504863
2869.40569,4992375
2875.39526,990818
2880.38676,749260
2885.40177,533987
2889.35161,1748022
2896.42073,383557
2901.31771,2788101
2902.29744,3872024
2955.48840,347883
2959.36176,1136575
2975.35347,44964812
2983.51325,1893382
2991.34833,1353106
2997.33611,1395863
2999.50425,22151852
3008.42345,1119077
3009.39922,2168829
3013.30292,281493
3015.49814,798523
3021.48464,710696
3025.37376,619792
3035.40485,706033
3045.40213,497133
3052.40025,4168927
3100.41083,4153724
3116.40904,43470896
3132.40421,49944556
3138.39222,1629575
3148.40060,3134232
3154.38702,2410819
3167.48182,7759448
3183.47731,17937668
3387.60362,871262
3517.59499,679128
3533.58420,273296
3549.65197,821430
3681.56910,658850
3752.61128,827111
3768.60450,349633
4096.94532,1660078
4112.93971,3234687
4127.07188,1538292
4128.93442,601550
4202.07023,479823
4318.04680,1421114
4334.03730,484494
4348.11857,576212
4364.10908,3535188
4380.10421,389678
4489.16817,496390
