m/z,I
840.46898,689456
852.43299,934112
868.42773,531687
886.43788,441456
898.51115,1601762
1007.57496,293271
1066.07851,335741
1078.53951,189733
1079.57133,817703
1082.05236,295033
1095.56607,5457547
1100.69470,441275
1105.57539,13399217
1116.49184,458727
1133.57434,203665
1162.62218,1258859
1163.59216,551153
1177.56763,1711697
1180.64393,7823269
1182.61172,415134
1192.63249,200210
1193.55481,170894
1196.63912,5589631
1198.70609,254795
1219.58270,1414529
1223.61299,776529
1226.57663,220509
1231.55617,208418
1251.60815,540784
1254.53515,207172
1260.67010,700799
1261.62895,407406
1261.65411,313432
1266.61878,213129
1267.67598,3378661
1311.62960,630245
1312.74814,941321
1328.64963,799511
1338.64456,1230186
1373.67766,393843
1404.76046,3132194
1417.75503,455986
1427.72868,19198232
1435.68286,16383076
1440.86956,167268
1459.69382,15095864
1464.66098,385905
1473.67344,5167540
1512.74801,3437850
1528.74361,550798
1532.78331,6076541
1544.78675,871682
1550.75727,4336813
1560.81423,6362780
1562.78258,4049869
1562.82988,3547786
1585.77256,1992839
1586.75707,6789745
1599.82441,412932
1604.81377,272095
1610.81436,358036
1615.82093,3747121
1616.74231,235349
1627.74142,443743
1632.73621,261963
1632.80996,255024
1648.77918,3653645
1648.82964,7931601
1651.78378,8720713
1655.80069,1874904
1662.82054,514093
1664.77367,1271666
1674.81350,5322721
1683.81010,1113069
1684.91366,569453
1690.77885,1107852
1693.86222,316123
1698.82072,475373
1706.77423,2414629
1716.91528,790846
1726.86589,4712349
1735.80083,382079
1754.85948,223799
1759.71936,3252808
1768.86259,647955
1770.79066,312892
1799.79988,4494291
1804.93099,9456773
1806.83673,343204
1816.86632,1484267
1822.83344,1006783
1832.86082,10516993
1838.86696,1949714
1848.85637,8575225
1863.87379,1152092
1888.91976,2052536
1892.92229,6455683
1908.91736,210614
1918.83420,333542
1933.97298,371905
1975.99499,53451996
2015.94222,1518080
2019.97475,1528167
2029.91701,819719
2047.96866,469802
2056.09304,7567103
2056.97920,24844614
2065.96549,407009
2072.09122,2857596
2073.01421,7157060
2078.96307,645720
2089.00729,6896180
2094.03249,905491
2105.00136,1782110
2110.89943,619024
2115.12231,514548
2115.97158,335186
2131.11681,24972664
2146.97361,612999
2150.96906,708239
2151.02990,1182343
2153.09554,770921
2169.07481,245772
2185.03647,451813
2193.10780,210263
2200.06292,1007148
2214.96957,14100581
2216.05947,25468472
2235.04488,1366369
2236.95300,395508
2244.03062,998285
2251.03865,9546074
2266.02963,1316977
2267.03262,5094487
2272.01600,459417
2273.05551,535153
2274.16013,450047
2281.12357,2533075
2282.02843,1747302
2293.12554,3407930
2297.11975,6468895
2299.05629,1606049
2307.13939,3973200
2316.04901,3514458
2323.12973,579433
2337.08647,1035645
2340.02491,4014432
2344.05439,1852682
2347.11062,1268688
2348.08706,18575646
2356.02269,3633993
2360.05505,1465066
2360.08173,1269403
2364.08507,16547190
2368.13182,1792817
2392.07939,864723
2396.12034,431875
2402.00565,517381
2404.15932,458076
2407.08571,662400
2416.14876,1021155
2417.99903,549484
2424.09443,719537
2431.21162,395474
2447.19634,1113473
2466.22550,560135
2469.23906,968168
2480.21638,2700112
2481.19782,7846254
2485.22953,24599508
2495.20543,490479
2497.20747,6232376
2501.16268,1118092
2501.18523,717679
2501.22604,4771173
2507.21209,456309
2511.08952,584031
2526.08488,832221
2528.23459,726523
2540.16158,937752
2548.21053,2420021
2566.20739,3876856
2594.17036,2225386
2607.29161,561207
2609.23480,1096888
2610.16733,808984
2628.13967,289295
2634.30781,212105
2673.26612,1065288
2685.24144,527446
2689.25873,10981669
2705.25117,92292360
2719.23347,5766765
2727.23858,2281171
2742.25643,684754
2743.21126,652935
2759.17971,1012222
2759.28642,3418682
2767.32128,22373792
2775.28196,3049493
2788.29988,1200769
2792.32829,7189589
2820.23154,863380
2844.36629,351372
2860.36047,1537242
2868.37586,758318
2879.39354,8487929
2883.42313,17694296
2899.42268,2713085
2911.42341,824520
2929.33736,469092
2988.30675,1102335
3001.36510,6917093
3009.38120,389683
3017.35790,38772280
3025.37321,554745
3033.48657,2704251
3036.40418,2382821
3039.34165,1065901
3052.39995,2917879
3055.31254,304742
3068.41932,558320
3071.28114,468540
3084.41389,4068442
3100.41162,25644592
3116.41013,37365004
3123.40059,446395
3131.42876,843725
3132.40482,2766437
3138.39503,1084606
3167.48295,2709867
3170.32953,825674
3183.47447,6006037
3199.46779,736080
3223.49187,1063900
3227.52035,2393834
3243.51035,547859
3292.51362,692463
3320.67316,1098551
3336.67053,540646
3377.59341,499249
3382.57486,699272
3382.70611,328937
3393.59604,2490267
3433.59907,335908
3497.56749,466368
3575.66574,375229
3633.62967,607981
3651.56010,704880
3651.71226,276007
3722.59417,801519
3863.77218,474880
3879.76349,987509
4096.94472,555196
4108.91424,443823
4112.94196,995828
4127.92920,267716
4266.03407,619055
4282.02904,480939
4302.05344,342044
4348.11502,496299
4364.11067,568943
