m/z,I
699.40705,228864
713.42331,707225
811.09828,856983
842.51106,437806
843.39700,390272
854.44895,250919
865.01781,383469
870.54219,887347
1045.56554,1188862
1094.54982,681379
1106.56102,645205
1163.58217,580015
1178.55342,441030
1179.60283,343497
1202.57127,372855
1204.49268,208342
1240.61916,215533
1258.59376,250710
1267.67796,396826
1277.10506,163661
1281.62150,1913754
1459.69650,1565986
1465.69565,964908
1562.78463,534785
1632.80236,297719
1655.80377,733765
1671.96871,168960
1678.77117,264639
1735.79176,218302
1760.70793,975725
1901.90332,209681
2102.97924,219769
2275.03186,401572
