m/z,I
1104.60578,519101
1105.57574,727942
1125.52954,300327
1133.57478,240990
1138.56108,274204
1161.64175,217198
1163.59236,298661
1167.57674,196474
1183.57103,296538
1274.72716,640871
1312.74877,622615
1357.68751,283382
1379.65603,297181
1422.75070,252396
1423.64728,200143
1443.69944,599384
1450.68914,223804
1453.74518,2239149
1468.79134,216943
1532.78353,257760
1561.79920,1732007
1562.78306,656518
1572.89493,210274
1583.71089,1226859
1586.75804,305560
1588.88914,306728
1608.81438,1181179
1609.89722,239110
1646.81853,430976
1648.77955,238614
1738.80073,307075
1755.80833,237286
1765.86092,444047
1790.89429,976309
1800.87280,256920
1815.81073,1081971
1822.80420,243773
1832.86184,356953
1854.82307,810104
1855.80589,332957
1887.95950,185137
1907.93372,571151
1916.93987,1214971
1930.93780,441028
1947.96657,3837388
2023.94086,388181
2039.95609,539175
2043.02787,471797
2044.05892,1623437
2056.98048,3521612
2060.05434,2715149
2073.04161,2572936
2074.99434,1185687
2097.09661,352768
2127.11312,487347
2161.16691,197245
2186.11431,397043
2188.02979,297410
2207.14656,3836489
2214.97112,228535
2257.01097,490336
2260.16174,442585
2286.14983,396510
2311.23289,1021655
2322.23623,435709
2351.06622,347174
2367.06036,386877
2391.11882,398422
2414.86300,901508
2442.12445,1563887
2452.24964,297706
2479.29888,349671
2481.21318,477944
2485.16958,478606
2497.17786,649751
2497.21014,585197
2501.16500,608379
2567.26084,1199993
2664.19628,190896
2669.39639,487790
2673.26775,853256
2680.18704,307781
2689.26139,3399292
2705.25612,6094735
2705.29222,2648303
2721.29030,483879
2743.29120,1214216
2759.28897,1457338
2766.33162,642898
2783.35366,4129691
2786.30318,355687
2850.36518,2137872
2869.40984,1720965
2885.40448,706709
2930.34304,459848
2941.51016,480185
2960.34654,3106249
3068.40029,386614
3087.38902,841760
3100.41003,1418319
3116.41035,2882253
3132.40496,996756
3148.46351,317174
3166.54824,588023
3201.50745,302629
3386.59733,270422
3567.82776,816718
3636.65079,545935
3666.57229,472291
3670.65899,1697592
3711.66902,508473
3727.65861,482008
3809.75709,330175
3814.93202,426507
3835.75691,869259
3836.79851,543306
3852.78582,1950767
3893.79499,628987
3932.97768,1302616
3948.97051,278228
4021.94388,448172
4068.91935,770674
4084.91251,1989154
4099.94793,306564
4180.08528,457734
4192.05482,421250
4306.01405,700271
4338.10572,510763
4354.09698,967143
4417.16030,490727
