m/z,I
836.43791,765925
852.43342,256623
868.42789,519696
868.46430,415188
1054.49193,185495
1088.53794,294101
1095.56621,4351620
1105.57566,12800423
1111.54843,204062
1116.49208,430786
1131.54024,165017
1136.58146,183655
1153.56083,258687
1162.62215,711975
1163.59256,1039378
1177.56816,1125996
1182.61218,645544
1184.49397,197075
1196.56606,354106
1201.58546,700177
1202.66525,199034
1223.64979,168731
1226.57715,220154
1235.65032,2357926
1238.54073,297103
1240.67675,1652545
1241.66100,845835
1259.68607,254152
1267.67657,2244652
1280.58822,166541
1297.61462,815433
1302.64452,1087405
1320.63040,321305
1324.66900,220523
1343.67172,356958
1350.68185,393996
1379.61884,269159
1391.71505,482024
1416.68746,350090
1425.70963,230810
1427.72949,190330
1437.67322,182809
1440.72064,3183170
1455.72338,292285
1459.69446,11113599
1465.69350,9795479
1477.75636,13950238
1493.75086,1460441
1499.73779,243294
1505.77241,247536
1509.74501,1254953
1533.67721,514156
1549.67235,2630082
1561.73016,1907199
1561.79692,6305919
1562.78331,3394532
1562.83060,4392804
1569.77053,1342357
1580.76893,4663060
1585.77352,4240636
1586.75755,6424855
1594.81602,258617
1604.81546,316831
1644.72253,581183
1648.77963,1547303
1655.80209,2615400
1655.81557,704815
1664.77469,1506456
1674.81498,1351793
1683.81056,294201
1698.82273,482637
1702.90063,620104
1706.77481,2631558
1717.82077,403846
1718.89516,346062
1719.80738,413581
1726.86669,1919537
1743.72734,315353
1758.73587,1317814
1759.71874,1573025
1766.82612,232162
1770.87648,439301
1775.88081,5869577
1776.86491,8240412
1782.81835,2317142
1783.80367,2813204
1798.84655,231456
1805.87876,241458
1808.92537,479640
1816.86648,1211058
1819.92290,807463
1832.86130,4239145
1835.91437,207977
1839.90639,1012543
1847.87987,1029275
1848.85791,3439901
1888.92001,318504
1905.90715,250839
1905.95311,570026
1917.95566,284800
1922.93473,5797660
1944.95504,2013941
1948.94537,197363
1961.98102,67377528
1975.99622,1733645
1977.97513,790340
1983.96386,665255
1990.93704,239504
1992.94031,607006
2003.97923,2880129
2012.95343,293739
2027.02086,5676222
2028.00554,2789184
2031.97745,350446
2039.07022,404136
2039.95592,2452438
2056.09293,7104607
2056.97888,61582468
2065.96614,1172318
2072.09308,16610745
2072.97921,2452680
2078.96525,800635
2089.00828,3205828
2092.05595,819923
2105.00171,12120366
2108.04891,981158
2115.12358,19029700
2121.00076,5627455
2131.11840,672102
2137.05493,1392172
2137.10185,273972
2150.96908,1109041
2170.06781,304584
2172.03635,289364
2198.97405,2784110
2200.06428,810058
2214.97157,12361660
2216.06044,58354692
2230.97013,554378
2232.05977,1608384
2236.95316,358688
2238.04314,927410
2241.98245,537413
2272.04757,418948
2284.15101,2977740
2297.10189,483730
2297.12096,338756
2316.05001,1338600
2348.08828,2129634
2364.08768,6097586
2396.05837,813433
2410.13811,1725404
2436.21341,651713
2455.22775,10452159
2471.21870,5281274
2477.14389,1915904
2479.13662,508248
2481.21105,3245079
2497.20655,10154795
2510.08679,871196
2513.20541,9596354
2526.08799,491568
2529.20407,349368
2536.20435,5995400
2541.15443,458867
2548.21394,2432264
2564.20749,385884
2568.24530,6084741
2570.19294,448984
2584.23952,370803
2589.25616,752926
2651.25307,4918695
2667.24354,573391
2686.24250,537979
2689.25927,8415796
2695.27916,489118
2704.24506,57813472
2710.28845,1701781
2719.23447,18363472
2727.31997,56508068
2759.29062,6808201
2775.28548,5719944
2781.34086,324141
2791.27774,369196
2801.35273,525647
2820.23693,469581
2832.35388,6238845
2853.41078,2654936
2869.40633,41191588
2874.36800,4752507
2885.40414,3847618
2891.39030,805961
2918.30045,4218761
2930.34306,1228388
2946.34032,1190336
2957.50543,8051451
2959.36682,20464686
2960.34383,4729100
2981.33872,505260
3009.40110,1273897
3023.46367,253955
3024.37047,412451
3036.40243,451086
3048.38117,336788
3052.40130,2414007
3084.41810,864958
3099.41172,438797
3100.41651,8745984
3116.41547,21787634
3117.39055,3204655
3132.40975,1467373
3138.39979,628006
3141.49840,304030
3167.48725,1400362
3183.48099,11978725
3184.45625,2552129
3197.55434,1349977
3199.47559,1673469
3213.54626,6003482
3229.53733,802974
3243.48835,377629
3413.63163,622597
3729.61629,487942
3800.66816,347987
3872.77061,290107
4096.95328,839376
4112.94633,1245060
4296.10166,1008888
4318.04642,419400
