m/z,I
892.46352,677300
892.50043,362029
996.47446,280384
1010.50181,347450
1032.54727,433828
1064.51171,190733
1070.52276,186127
1071.48883,199877
1088.59686,220735
1105.57531,2458894
1105.62261,598425
1121.57028,218339
1121.61803,284496
1123.48452,241894
1136.60631,340034
1139.54376,211091
1149.52865,248063
1153.56025,456796
1163.59211,578531
1164.60094,441772
1165.52389,245495
1167.57594,1123196
1182.61191,319504
1183.57094,1124162
1193.62793,177515
1197.62277,255641
1241.55862,1418371
1241.66048,711851
1251.65157,312222
1267.67582,412708
1273.69074,214143
1308.67386,862832
1323.66533,436798
1370.60152,312848
1417.72927,296287
1427.72855,7556982
1459.69381,1560633
1467.71821,168194
1473.67224,660034
1483.71427,351056
1540.67057,297259
1550.75696,675240
1561.79847,4889965
1586.75689,1576191
1604.81405,275849
1637.72400,733113
1658.81760,304006
1688.88268,217922
1706.77291,279241
1716.91584,549898
1726.86589,558538
1742.74169,425970
1743.72523,264587
1762.90864,168055
1766.83262,273396
1772.77472,183252
1783.80275,1048366
1804.93084,5114752
1816.86549,2172460
1832.86088,1888935
1838.97553,429445
1892.92187,1747429
1899.99252,298845
1933.97263,374904
1958.96976,1140744
1975.99509,10596460
1997.00688,1696625
1997.99189,3593238
2014.07189,817214
2038.08482,1022549
2039.06933,1698178
2039.95308,530548
2056.09296,16437158
2057.96420,2050728
2072.09055,5375465
2078.07765,309300
2089.00658,783142
2089.99106,409977
2131.11617,5079483
2153.09706,266457
2216.05924,2280731
2256.05084,395082
2264.16504,263388
2266.05932,621690
2403.14876,212538
2419.14971,323006
2497.20673,767847
2513.20426,686091
2550.21436,2195436
2581.23716,1676547
2705.25376,13933825
2726.26023,1638731
2743.28866,3229263
2749.30684,622279
2759.28524,4651131
2766.33585,4222909
2792.32799,2507718
2814.32869,311995
2883.42441,5181730
2899.42301,1150538
2914.34377,763564
2930.34009,954033
3017.36401,1916125
3017.49619,331369
3033.48729,2833723
3084.41484,5684197
3085.39166,2333478
3099.40826,558424
3100.41336,12352955
3101.39114,5804340
3116.41027,1370138
3121.39115,592620
3382.70733,449883
3651.55519,708453
3722.58427,900772
3823.73643,378467
4018.88418,550010
4035.90681,2589314
4053.91806,794264
4069.91663,1303730
4085.90739,500540
4096.94403,707253
4112.93998,854694
4152.09973,523723
4286.05870,544550
4302.04692,1190880
4318.04108,347334
4348.11195,946093
4364.10552,2308387
4463.12960,281546
4479.12430,2441933
