m/z,I
710.36295,325505
836.43832,201419
873.42638,1637049
898.51115,330221
1028.49561,368574
1072.53625,318306
1096.53891,388523
1105.57576,4597785
1115.55302,2376276
1118.60028,805984
1126.56561,330390
1130.66921,905882
1135.59457,806112
1138.56069,206788
1143.62815,438399
1146.56509,173131
1149.57344,414569
1153.56040,270522
1157.59548,273340
1160.74133,252949
1162.62228,735624
1164.68813,254139
1178.70403,183639
1182.66407,494110
1189.57998,271968
1196.56592,235723
1198.65889,913755
1215.61237,184375
1220.71172,186735
1220.75094,174122
1221.63427,474617
1232.70066,449339
1237.73866,444956
1240.67709,550774
1241.55935,271439
1261.65462,168104
1268.69078,597803
1274.72712,2840002
1277.64944,376810
1277.66846,892676
1278.72064,192808
1291.69610,335988
1293.60153,375066
1294.58518,335453
1306.71742,542356
1312.74857,1863816
1327.74992,699681
1328.68209,750221
1341.77430,213524
1343.67184,350808
1361.74300,326047
1405.72768,237177
1419.76069,974604
1432.68222,312572
1452.63993,395565
1453.74501,6756135
1461.77176,13639361
1465.69342,3031899
1468.72259,352208
1470.88053,378663
1471.81340,790263
1472.73456,2356152
1489.69384,681062
1525.86023,470526
1553.77082,319645
1555.70160,319933
1559.66644,325404
1561.79877,4809600
1562.78334,1863311
1566.75211,809376
1571.69597,579768
1575.86229,7405666
1583.96505,17551964
1585.77361,1935547
1595.96559,10171115
1611.95949,505355
1621.77313,220896
1621.80108,201449
1625.97500,640237
1634.90413,942596
1637.79753,438155
1648.78017,344630
1653.95626,1716715
1655.81584,437243
1655.87214,217811
1663.80497,583275
1670.99707,2515882
1671.80986,320737
1673.91044,407729
1698.82267,244603
1701.90862,311697
1706.77378,554611
1748.86987,668029
1791.86371,234093
1795.91192,4600240
1804.76443,253057
1811.90450,345868
1817.89917,381887
1832.86212,1870579
1841.87904,320903
1844.94453,250349
1848.85702,1461266
1862.93317,512693
1874.89023,2006044
1888.92055,864629
1903.83965,613958
1904.93999,424622
1930.93769,1163676
1947.96664,25351262
2001.04661,1929267
2014.95963,412653
2027.02057,3316884
2027.13251,1423585
2039.07024,435401
2039.95610,1286731
2052.03975,940913
2056.09388,5741762
2056.98006,16499896
2072.09279,4501346
2081.96316,1272871
2094.03366,438466
2099.06573,298715
2105.00289,837653
2129.13895,8245036
2150.96904,297602
2164.92353,1913796
2175.12321,299472
2189.06526,302736
2198.97427,3195345
2214.97112,3304860
2216.06195,797782
2220.15396,5629101
2221.05581,486397
2221.13873,968567
2229.11351,802988
2230.97014,559164
2232.05855,1518626
2244.03170,518095
2246.13925,11690291
2252.12092,1216265
2266.17196,2733402
2270.11154,712630
2270.93488,379026
2280.05864,714849
2286.04638,8794784
2291.15766,594983
2298.06961,6343994
2304.03204,427097
2308.15297,443725
2309.03029,761901
2312.14423,928567
2322.02219,592924
2322.07069,491268
2324.12060,299246
2337.21071,320282
2338.06828,649535
2341.12095,424506
2357.11756,9455823
2362.10722,268544
2366.01777,530236
2400.13894,414762
2400.22087,1039238
2412.12375,485733
2413.08709,655751
2414.23634,355085
2455.22715,6140836
2461.16169,1087584
2471.21902,5107961
2477.15173,1901205
2481.21331,416802
2489.02594,445436
2493.14135,302972
2497.20826,2006360
2501.16670,735515
2509.10395,845727
2513.20573,3464900
2523.23329,1313550
2525.10151,691488
2538.09898,548235
2552.11318,761401
2561.17290,765395
2564.27919,1008969
2565.21399,1120227
2579.33522,1070999
2584.09587,1152976
2584.27880,808959
2612.20522,303589
2628.24802,858271
2629.09892,540333
2650.25724,1357100
2689.26106,1665955
2705.25299,49434872
2719.23487,4685432
2727.32108,10893264
2735.23068,462353
2742.26276,1986470
2743.29139,1380748
2759.28849,6925851
2766.41435,756926
2775.28299,6514635
2836.34820,5123825
2877.28123,871026
2883.42534,9296630
2890.30006,912051
2899.42488,10501061
2921.41058,562111
2953.58982,312616
2959.36364,16324888
2977.53166,2707725
3041.37542,351585
3068.40187,2023808
3116.41200,22393542
3132.40756,18330052
3139.39849,638310
3154.48904,370928
3167.48608,2725361
3171.50618,2099568
3183.47786,7235765
3199.47169,2045889
3244.58011,388456
3261.37167,1030376
3387.60728,2865307
3414.75189,347208
3441.61969,532487
3469.69656,540745
3508.49850,1245659
3517.59877,2628488
3533.58960,1081688
3549.65762,1562904
3552.48365,1593698
3640.72232,392890
3641.53790,681543
3654.72647,336120
3696.58209,450093
3711.69323,317961
3712.57521,1270389
3792.73603,287528
3799.58517,367123
3843.58012,1548533
3895.07967,1564747
4008.06111,304863
4023.14823,330570
4096.94980,356390
4112.94558,1164793
4127.08170,360370
4302.06145,414718
4318.05397,2432530
4334.04673,1490119
4380.11063,694110
4863.20618,636018
