m/z,I
739.05934,187571
836.43791,544245
868.46414,400524
927.46449,262898
1010.50156,231384
1079.52364,296060
1095.56584,1140267
1096.53862,310988
1105.57545,8086458
1121.61789,262531
1125.52897,237134
1133.57450,1238251
1139.51186,224652
1146.56572,271815
1150.59696,335738
1162.62237,1293129
1167.62784,318332
1177.56728,255991
1182.61213,949784
1183.57120,353898
1188.64900,184888
1191.64885,291185
1193.55522,322427
1196.56622,186436
1198.65912,203284
1221.63421,1988208
1226.57715,610963
1237.73823,285874
1240.67669,358273
1241.55884,398642
1242.61910,176727
1261.59248,199364
1265.62432,224655
1267.67614,1182239
1277.58735,190806
1280.62342,287544
1311.62986,379466
1312.74836,1323845
1343.67150,437928
1348.72255,317905
1377.71319,269621
1391.71507,431790
1394.73159,532533
1419.75988,609760
1431.74978,182512
1437.67313,660663
1447.75552,311427
1453.74439,22514104
1461.77130,1300862
1465.69306,6215832
1468.72259,1779759
1469.73978,1807809
1484.71696,377449
1501.70465,5091542
1512.75865,225743
1533.67693,426877
1545.80275,488209
1549.67173,1414029
1561.79825,6609839
1562.78289,3644013
1562.83001,1478128
1566.28694,478134
1566.75172,2190932
1575.86121,801388
1585.77308,3237938
1586.75731,3521245
1592.80780,474896
1604.81582,344344
1608.76194,962349
1618.85754,295219
1631.81533,3785567
1637.72462,295270
1648.77918,937427
1664.77497,463544
1679.86425,216363
1683.80980,522982
1698.82167,486221
1706.77420,3743731
1726.86591,755769
1734.81549,364794
1748.86917,1217970
1751.83170,300304
1752.81527,248256
1758.73499,953510
1764.86428,3586052
1774.89600,209195
1780.85740,245289
1784.85624,628636
1795.91099,1346834
1798.81579,2298587
1799.80061,2078998
1804.76297,627300
1816.86639,1499428
1820.76080,183717
1827.90742,208446
1832.86138,6129027
1848.85656,7149355
1874.88918,523817
1887.91690,973497
1888.91960,387975
1900.87992,462616
1905.94186,465641
1930.93756,1351869
1947.96575,38195272
1961.89889,285125
1963.96030,540901
1969.89835,362460
2005.95852,893144
2019.97456,353180
2027.02016,2085477
2027.13153,769696
2028.00461,616067
2039.93596,425616
2039.95496,1819740
2056.09333,4949411
2056.97894,34453664
2072.09174,12373221
2072.97740,587743
2089.00742,1343846
2105.00179,5899278
2115.97245,440561
2120.99944,3448003
2129.13788,23934612
2145.12916,637715
2150.96956,600468
2174.96715,217228
2193.10779,253331
2198.97289,3085267
2214.96981,7408365
2216.05968,15140511
2232.05778,1819336
2237.03924,463688
2244.02972,943634
2246.13797,2384514
2256.05148,231364
2265.12564,1029763
2269.08515,839933
2281.98273,256085
2285.22556,499217
2286.04543,3564963
2287.11169,602338
2287.17169,1231682
2298.07331,382775
2322.07157,1826307
2322.23354,409861
2325.01972,498783
2338.06654,3806332
2357.11619,852508
2385.05441,406077
2400.21704,573627
2413.13127,410020
2439.23236,521121
2455.22570,8163614
2471.21785,7164266
2477.15289,465580
2481.21358,704276
2485.23354,690934
2493.14134,487689
2497.20681,2891429
2501.16647,877812
2507.26941,879466
2513.20440,4792153
2523.22737,4555331
2525.09908,649462
2536.10175,300344
2548.21201,1035530
2554.08691,363359
2565.28318,368124
2582.20056,1080544
2584.09628,1227200
2600.09186,664037
2627.24175,427737
2650.25499,1393386
2675.24581,568984
2685.29713,721250
2689.25954,2945442
2703.24073,13277191
2705.25121,101514000
2719.23278,9486558
2726.31484,808296
2727.31956,28540930
2735.23159,673983
2740.21021,239651
2743.31770,1197544
2749.30550,643474
2759.28705,3052937
2775.28203,3969693
2836.34703,9456783
2861.35375,453639
2867.42759,694498
2872.26984,294762
2877.28070,1732614
2883.42351,27259066
2890.29933,1985603
2891.27806,1858609
2899.42380,5155147
2905.40857,1045090
2915.42007,336415
2941.50977,300115
2942.33790,908468
2957.50135,4864554
2959.36117,86708872
2975.35485,992162
2981.34200,2365011
2997.30987,623903
3013.27129,286244
3041.37252,1123075
3045.40434,381607
3052.40203,514715
3068.39979,7049400
3084.39416,1028886
3090.38069,418082
3100.41358,1896425
3116.41055,35160664
3132.40596,69419784
3139.39732,872564
3148.40216,3539999
3154.38933,2173455
3167.48521,2139426
3170.36070,466395
3171.50357,8972633
3183.47639,9575872
3186.32279,427192
3199.47054,1357943
3310.56392,556898
3373.70695,399640
3387.60450,1103880
3401.62494,862247
3469.69113,335934
3507.44146,720147
3537.49963,210027
3549.65578,1030589
3582.48361,303406
3641.53679,2487397
3653.69622,435606
3712.57566,2069561
3873.59328,331479
4096.94862,1349551
4112.94455,2117428
4127.07528,863232
4218.07015,1206801
4318.04913,1045804
4334.04506,773809
4380.11006,569837
