m/z,I
722.35817,222215
1006.55700,292053
1096.53849,302214
1105.57532,1380972
1109.52669,379511
1131.63872,289414
1153.56004,210088
1162.62209,259268
1169.54883,285849
1176.61331,151277
1427.72858,2537965
1429.68205,657228
1437.67229,228075
1479.79581,309917
1561.79842,1199383
1581.75984,334782
1608.79740,423311
1619.81454,461504
1698.82172,300614
1706.77253,289834
1756.86121,337023
1772.85824,736659
1794.87486,347304
1930.93572,339405
1947.96648,2405249
1997.94343,360368
2014.96941,1866409
2065.08447,494036
2082.11097,4600915
2098.10302,3276997
2117.10169,1992997
2133.09529,424394
2216.06068,779430
2465.09731,213507
2481.21103,243492
2487.20976,288651
2598.28953,398790
2689.25949,2011603
2705.25360,4922252
2727.23879,380416
2727.30941,861212
2819.38781,446702
2836.34814,824833
2883.42472,1427029
2889.35165,623769
2983.51189,1024895
2989.36790,3804079
2999.50709,627019
3036.40349,807918
3045.40314,480334
3052.40053,1278453
3084.41500,786799
3100.41012,2897689
3116.40844,3912884
3491.45085,238772
3625.54608,447669
3680.58019,300781
3696.57743,1037991
4096.94111,526229
4112.93952,540145
4318.04881,287618
4352.10652,630412
