m/z,I
728.33237,251767
836.43774,607817
868.46394,282524
898.47476,214665
898.51108,678029
908.49545,290703
950.46984,349822
954.48260,258742
970.47789,382488
1080.50757,182561
1095.56600,1256025
1096.53865,606361
1105.57547,7476597
1116.57972,195353
1125.52905,367544
1132.48676,178128
1139.54446,180049
1146.56535,331016
1153.56063,395082
1162.62194,649701
1167.57595,583074
1183.57118,452499
1197.55004,225327
1207.60708,345836
1207.64346,271945
1223.60268,220168
1227.56129,198187
1230.57955,276709
1233.67094,2382193
1240.67678,502649
1241.66060,2023417
1249.59186,241712
1254.53562,287883
1261.59266,282967
1261.62958,380602
1267.64741,254871
1267.67629,1320769
1273.70223,331105
1280.62405,434908
1281.61986,1056207
1295.64210,384542
1308.67360,202696
1321.61426,364472
1324.66848,792627
1325.64529,258815
1332.65473,279639
1335.63059,643640
1339.66043,382559
1379.61975,237464
1392.65109,159546
1400.70359,165634
1409.71463,337021
1416.68714,826417
1417.73051,720993
1427.71441,353060
1453.74452,26302782
1459.69427,5206615
1465.69308,5215900
1469.73966,1503318
1473.67384,2203636
1483.71431,161049
1515.73088,234496
1537.70362,329690
1561.79884,8777895
1562.78298,6921287
1562.82984,1811676
1585.77339,2008154
1586.75743,4472518
1615.82128,3099904
1616.80504,1355232
1637.75220,209658
1648.77957,1530614
1655.80090,1327224
1664.77548,565499
1673.90973,314927
1698.82169,659784
1699.88885,296476
1706.77370,1108080
1716.91587,1416905
1728.91439,412990
1732.83639,621287
1735.80024,407395
1749.86445,3860773
1750.84837,6713160
1759.71977,675762
1778.88312,350175
1784.85756,614868
1795.91149,3773340
1798.81630,771303
1799.80018,1962657
1804.76653,206149
1811.90443,568309
1816.86596,2367286
1819.89544,414865
1825.96923,447714
1831.94254,518475
1832.86116,6582238
1841.96305,770787
1848.85687,3314827
1888.96557,503673
1891.89137,258664
1900.87920,444930
1908.91786,3130293
1931.96856,347528
1933.97364,994522
1958.97081,3720098
1975.99530,54400772
2003.99033,356147
2019.97508,984073
2020.94497,430581
2026.02516,4844902
2029.91776,893253
2039.03307,410260
2039.95533,2588169
2040.06480,1328909
2040.94054,1412948
2056.05684,2708963
2056.97937,27497028
2057.96478,16241968
2088.06818,1893435
2089.00826,1626780
2089.99181,909083
2104.06157,10843052
2105.00203,5264076
2105.98644,3072633
2111.88675,525554
2120.05961,13827952
2121.98507,675485
2146.94227,701074
2163.10620,23784114
2200.06380,1134250
2216.06012,26445434
2227.00561,428912
2232.05788,1345589
2256.05265,1419800
2269.97554,378582
2293.09037,1194877
2298.07742,398315
2304.02610,568894
2316.15874,286972
2321.15150,257232
2325.15684,218778
2337.14603,1132462
2342.19118,2026133
2348.08833,1495843
2364.08598,2290923
2369.11589,250625
2410.13584,2139119
2414.13543,382769
2415.11721,667479
2432.13380,314595
2442.13165,755368
2461.14136,477226
2471.21807,2067615
2481.21151,3834827
2487.20974,2319919
2497.20639,6703431
2503.21128,681218
2513.20487,3856808
2524.19156,238693
2549.21481,1084179
2550.18185,436387
2566.20875,5193856
2575.14425,233350
2580.20783,676119
2589.25760,320256
2598.21708,6192973
2651.25068,2738412
2667.24262,371145
2689.25811,5484532
2705.25228,26438392
2706.23521,6430777
2711.31196,1530763
2719.23467,6267062
2720.21542,1610856
2736.30988,3613774
2742.25712,1585721
2753.34002,55759756
2759.28941,3266727
2763.23548,474139
2769.33738,1122117
2775.28398,3297240
2792.32995,8376997
2794.40232,331277
2799.35810,675358
2807.25840,1454487
2809.38990,413780
2815.25606,411803
2837.41460,1136426
2853.40973,31739518
2869.40662,6025189
2889.35331,574866
2902.29752,1985434
2907.33699,570503
2957.50331,7532726
2975.35865,10818747
2976.33734,9424068
2977.31672,2426617
3009.40536,1202520
3010.38174,801536
3025.37712,812235
3036.40788,593426
3052.40361,4076262
3053.38081,1597557
3068.39853,354583
3084.41733,742963
3100.41533,10817965
3101.39341,2982494
3116.41385,21561024
3117.39214,8388452
3132.41058,1103780
3167.48807,3083701
3168.46548,1657412
3170.33358,872482
3183.47929,9823685
3186.42088,1488926
3199.47216,827130
3211.53194,5711729
3212.50593,3443462
3227.52210,832641
3388.59055,993152
3502.58345,1646796
3518.57588,954060
4052.88560,454218
4112.93841,456310
4127.06971,387523
4318.03942,601660
4364.10940,799261
