m/z,I
944.53172,494657
1031.50642,277285
1032.59490,320031
1077.58444,688705
1097.50550,223154
1105.57543,2358325
1120.59033,266980
1121.58163,1794106
1125.58473,17554620
1135.63773,255713
1172.54901,668921
1180.64407,524004
1183.55724,608378
1196.63882,371283
1198.70624,6760930
1199.55175,357972
1200.61203,535810
1231.63255,505307
1240.67651,2067092
1259.65372,5639248
1274.72650,7341845
1290.72196,274294
1296.74308,276802
1309.68101,377952
1312.74797,648182
1314.66481,624141
1332.65421,193888
1336.72298,507642
1342.71248,599411
1348.75956,372653
1349.69741,454497
1361.66011,490879
1373.67771,199693
1379.61911,300382
1410.73795,281021
1422.70997,745322
1430.79105,252556
1435.68239,1489892
1452.84362,269925
1453.74422,2402313
1458.69080,1273121
1459.69358,841149
1479.79620,1213192
1482.73761,689916
1500.70917,155059
1515.75099,2880239
1529.80769,273334
1541.76520,317289
1550.81581,290632
1553.86494,902004
1561.79843,1925116
1577.89077,446813
1615.82122,869069
1615.88246,1094281
1623.84111,354347
1629.82339,195658
1643.81842,1076803
1655.80004,405926
1655.81574,551952
1662.87049,225532
1690.98944,525792
1725.00719,478588
1727.89289,614651
1728.94024,684343
1733.99123,367561
1736.88711,557061
1743.82172,2388886
1757.90711,524588
1763.80432,1364286
1768.99750,197373
1775.80998,593140
1778.88240,292266
1790.89326,7613546
1795.91098,5727937
1803.91032,2413759
1804.89492,2288203
1804.94513,604257
1821.91898,383270
1842.92544,1216967
1849.90887,234624
1856.00096,488429
1864.91552,1827639
1875.94374,1424972
1887.99427,904344
1888.91965,439712
1892.92221,1011887
1896.97158,608869
1906.99141,276686
1910.04772,571455
1912.88052,444418
1912.96838,362782
1919.01576,252893
1934.14038,343440
1961.98055,16514149
1963.87936,597306
1985.86674,364741
1986.04131,167857
1999.09769,1565190
2010.05078,305998
2013.00083,8605960
2014.95947,307250
2028.06502,5687870
2039.95479,832599
2044.05772,5397698
2052.97886,539686
2056.97885,18639154
2065.96670,1439992
2081.96286,807846
2089.00620,768455
2105.00140,4151217
2105.10363,1628003
2108.04883,1595253
2117.01493,435124
2118.14000,347407
2120.99884,1635547
2123.09487,1058820
2131.11689,5795537
2138.01913,226336
2139.08574,846309
2146.94186,239556
2151.04038,336970
2177.09864,547831
2183.12621,567361
2188.02848,5361358
2198.97233,3268621
2214.96891,1946175
2215.07120,2942059
2220.05652,398524
2222.16051,274722
2227.21816,298646
2231.06854,1593630
2232.15275,862497
2237.17136,316765
2246.02419,2810562
2246.13723,1214772
2262.01548,889173
2266.05929,723151
2271.12523,370183
2289.15098,893278
2294.13029,670816
2310.13826,597100
2322.12022,1380073
2322.23372,499129
2327.22000,858738
2331.15734,975064
2353.11146,612746
2361.27134,1692144
2364.17024,582526
2365.08840,386162
2369.21498,1024450
2371.15211,753343
2379.24534,495586
2383.13232,1413210
2394.24031,333559
2403.18429,831458
2405.27545,341254
2420.20009,228509
2438.18524,602741
2443.27642,289768
2455.22512,1712381
2461.15519,3777676
2463.10120,490340
2463.25012,1175562
2467.19773,1015790
2471.21914,1198599
2477.14906,4378239
2483.18998,3129734
2499.18483,3117171
2528.22619,376166
2532.17684,1624248
2547.23680,772712
2548.17168,1627190
2551.15089,344882
2561.16925,834923
2565.24001,1018016
2572.22777,1384700
2576.22569,3273276
2592.21957,2433344
2610.29271,805858
2614.33246,421146
2632.24369,1046645
2651.25171,4833390
2672.34064,1007022
2689.25951,3211758
2702.23372,8523439
2704.24570,23721814
2719.23329,10459687
2727.23740,485017
2752.27957,633974
2756.44884,400054
2773.35058,1142184
2785.30188,6083899
2798.34754,349029
2801.29288,2947485
2809.49750,289719
2820.35337,14821257
2842.33401,249110
2867.42613,816770
2883.42296,20232296
2899.42238,2532689
2930.33928,262309
2945.53288,314343
2969.58553,441934
2987.38801,15467238
3009.39838,987854
3036.40237,377377
3052.40084,668240
3084.41203,5637674
3100.41051,15316793
3116.40917,5744662
3153.46688,11187057
3169.46084,12800438
3181.50540,853923
3183.62058,1601346
3196.61270,936609
3197.49949,1123044
3210.63036,1405014
3225.53912,1371623
3226.62270,1941424
3241.53077,2978670
3257.52261,520559
3327.64290,4167210
3343.63887,585965
3387.60388,825412
3392.72999,580122
3408.72394,1808952
3420.71894,454194
3501.68043,763628
3517.59587,917950
3517.67201,987643
3532.58402,513453
3549.65284,1071418
3568.63520,601242
3573.69912,717756
3581.70103,438972
3584.62999,291388
3597.69023,2495532
3610.60478,1199433
3613.68304,2464762
3644.79819,1500588
3660.79216,800392
3681.56557,1018638
3706.73680,6250934
3752.60874,2528368
3771.75936,390037
3794.66874,332326
3803.77308,579725
3819.76699,2216626
3835.76885,2478610
3867.79134,556850
3882.78399,1795220
3898.78021,1056742
3910.88407,288753
3918.00233,684536
3926.87907,572290
3953.79061,624808
4019.91671,2439978
4030.01408,408851
4139.07578,324260
4290.02144,1193508
4306.01151,765109
4391.11567,644922
4493.13733,490605
4521.05877,696261
4537.04770,416787
4835.26873,509669
