m/z,I
944.53258,315703
989.57819,282037
1096.53929,204337
1105.57605,417387
1121.58207,197918
1167.57651,347408
1245.67112,190726
1278.72123,792145
1298.63450,203027
1306.71720,1398644
1322.71191,173073
1443.69885,302321
1453.74484,1350390
1479.79738,316650
1795.91206,245920
1975.95976,682422
2081.08278,537757
2082.11301,769643
2098.10597,2123767
2143.15286,1729932
2679.24269,672689
2695.23482,1521923
2743.32148,748907
2775.28414,518229
2791.27763,320688
3003.38461,689590
3100.41645,461474
3116.41434,1332600
3132.40857,1005308
