m/z,I
836.43808,731385
840.46899,352060
868.46426,464355
898.51136,1012436
902.48498,411077
970.47775,341128
1070.63636,6887655
1081.58698,143398
1088.53823,249625
1095.56624,2278703
1098.63115,356686
1105.57558,11286803
1113.64248,853880
1119.43021,167634
1121.57053,253023
1162.62238,873611
1163.59255,747858
1167.62797,1735863
1172.54936,1280065
1177.56772,606786
1177.65849,1503242
1184.49383,280985
1189.58002,1173232
1196.56649,285620
1201.58486,578493
1207.60720,161162
1210.65511,1439868
1216.68023,194161
1226.65004,3845148
1230.57886,229647
1236.62735,257531
1240.67681,1259268
1249.62949,2774859
1250.61337,1060325
1253.65340,1259724
1257.62218,192235
1260.55036,172560
1261.59274,230236
1261.62935,383388
1265.60357,217330
1267.67644,2253642
1273.70312,163362
1281.61974,1144075
1286.68584,547592
1294.68641,196268
1296.63800,361602
1312.74826,3360145
1332.65525,1181202
1350.68156,1096527
1350.74230,369446
1364.82792,4248290
1395.72446,1165963
1406.71459,1811013
1411.72006,1014801
1419.84449,709747
1422.65545,396972
1427.76516,637248
1437.71399,19119224
1449.69841,490485
1453.70829,1541865
1458.69136,425743
1459.69418,9131791
1465.69321,10638567
1473.67410,2955445
1481.67698,167702
1489.73000,1912279
1505.77158,267611
1523.69243,266727
1526.79761,827267
1526.87048,497658
1553.73421,1640724
1553.77573,2585748
1555.70104,1947791
1561.79894,13288298
1562.78323,6874708
1562.83045,3707710
1566.75155,2814647
1569.77047,2688522
1571.69585,3214578
1573.80208,2368637
1575.86119,1556320
1585.77322,4568391
1586.75736,5610951
1588.71629,288017
1594.81610,259872
1615.82133,5811211
1636.77340,410133
1644.72154,307389
1648.77996,1748103
1652.84365,222512
1655.81508,521817
1658.81869,1274685
1664.77508,603323
1674.81411,825534
1683.80976,776047
1684.78636,521047
1690.77957,970088
1698.82134,683608
1698.90532,341972
1700.78181,456405
1706.77462,2475634
1710.87046,455979
1716.91613,710520
1726.86671,3809925
1732.83619,822715
1743.72708,873730
1749.86469,8338088
1750.84854,7550644
1758.73591,1354596
1758.87368,413872
1759.72007,1017356
1779.87865,1862417
1795.87412,403297
1798.81671,1841831
1799.80025,1777805
1800.87181,608523
1815.79351,244495
1816.86672,2375552
1822.88407,237093
1832.86137,4492404
1848.85703,3190451
1888.92022,1588454
1888.96540,622015
1900.88006,357356
1908.91802,3851083
1922.96363,593725
1941.85124,703945
1960.96742,358845
1968.04818,298449
1985.98243,2266042
1986.96775,1320998
1992.16737,588636
2000.92307,971404
2001.04607,590762
2003.00592,29121656
2013.00175,5476519
2013.98894,964977
2019.97607,957363
2024.99206,819205
2027.13208,2328707
2027.96917,426113
2028.11651,1182936
2032.91456,367489
2039.95507,2032706
2040.98670,2807515
2044.99199,2003301
2056.05655,970397
2056.97878,61592888
2065.96717,1251400
2072.05571,933428
2072.97863,1107573
2078.96404,933801
2081.96249,1535335
2088.06771,1361687
2089.00800,7509495
2104.06157,6315981
2105.00188,14917901
2108.04844,1201481
2109.02333,985743
2120.05970,10406803
2120.99986,5836929
2124.04738,2366423
2131.11720,30410956
2138.03106,883077
2146.94347,354731
2147.10880,648586
2150.96955,811612
2153.09435,443357
2197.97127,382639
2198.97352,5264563
2200.06381,3016238
2214.97060,11279068
2216.05984,55558448
2230.96831,1034128
2232.05827,2122841
2238.04333,758778
2258.04756,4342042
2278.15650,1156304
2283.06787,484583
2285.10568,797907
2288.98165,338442
2299.24356,649227
2300.05571,663620
2312.18096,4966563
2316.05074,1848147
2316.13944,643494
2321.15355,686417
2328.14406,787833
2337.14935,2885394
2339.14134,1335005
2346.19660,577717
2348.08805,5106029
2353.14455,593147
2359.13532,906132
2364.08643,5331988
2366.19125,374381
2370.04982,704317
2371.13514,514289
2375.11018,329528
2378.18914,335270
2401.08692,714074
2410.13963,2414892
2417.08431,655984
2443.12785,358360
2455.22664,1524421
2461.15925,2040054
2465.22022,1359867
2471.21887,6979944
2477.15043,2007080
2481.21226,5588148
2487.21056,4565586
2497.20667,9950671
2509.09637,922824
2513.20500,7153516
2549.21542,3826407
2566.20980,5011480
2570.19125,648458
2589.25665,705509
2611.24879,5412975
2637.30922,1043159
2649.30579,387505
2651.25274,2519193
2653.15916,1218691
2669.15298,1670838
2673.26834,3033852
2685.14628,939170
2689.25923,14632438
2704.24551,59552116
2719.23445,10429837
2727.24162,1099171
2735.23187,601633
2737.30647,1548920
2743.28997,3963684
2753.30443,1428407
2759.28806,9505332
2768.28698,541613
2775.28350,7477475
2785.31496,11041984
2792.35085,828988
2799.35897,1155545
2801.30644,15188997
2817.29509,2001678
2820.35530,12083327
2837.41453,2217631
2842.33330,428079
2847.37514,609448
2853.40971,27520386
2869.40761,3608960
2875.39495,456349
2885.31282,1110339
2898.38957,433662
2901.30004,5465858
2901.31969,3487768
2908.39713,811071
2938.38677,454006
2947.31887,2425867
2950.47501,339580
2959.36472,1812770
2975.35554,52449476
2983.51510,435422
2991.35106,691349
2997.33648,1087076
2999.50660,4268192
3009.40173,1067116
3013.30317,380921
3036.40550,1061422
3045.40434,652574
3052.40137,2438226
3068.39101,593577
3068.42357,1050838
3084.41561,6648331
3100.41343,24656224
3116.41231,22196708
3132.40872,1815868
3138.39500,670483
3167.48486,7671877
3387.60696,981082
3389.70656,1130627
3433.59574,369511
3450.59543,463958
3517.59634,496088
3549.65750,419470
3681.56806,592754
3752.60742,718143
3842.59795,349460
3944.98988,345885
4096.95000,249192
4112.94498,659184
4127.07935,285093
4364.11514,571911
