m/z,I
898.51134,219201
1010.50225,184265
1013.48093,171622
1034.57962,386619
1049.54236,1254474
1087.62691,243284
1095.56627,412722
1101.55454,749745
1104.58458,414036
1105.57598,2179069
1115.57010,244246
1126.56536,2692749
1127.63316,865508
1130.63282,1272143
1138.56102,539720
1143.63512,379891
1145.57459,673014
1150.59725,923015
1156.57150,693801
1162.62195,642452
1164.56427,198715
1173.62364,651426
1174.60765,284302
1175.65789,218066
1183.57137,235226
1195.71701,183560
1207.69164,1337685
1220.71231,3101198
1230.70048,408607
1230.73681,183496
1237.73889,5147495
1241.55949,329483
1260.67088,1781550
1265.83145,260258
1274.72701,61835548
1280.62873,2322936
1282.72451,831319
1290.72216,1584234
1293.68074,200849
1306.71693,1405641
1307.63920,407672
1311.75457,2960893
1312.74868,1223839
1336.72345,238349
1338.64552,2132124
1349.69762,603503
1350.68185,1137394
1351.66555,883017
1374.75109,6492062
1394.73240,1720813
1411.72405,471742
1427.72914,4394755
1435.68323,1905384
1438.69831,3667927
1442.83801,813676
1457.73978,485704
1459.69473,1471397
1465.78172,4297385
1473.67387,662823
1480.71194,1365364
1480.75573,321309
1496.75457,431822
1499.77755,1428114
1500.72101,1524877
1512.74860,257349
1535.81083,331033
1552.83594,584892
1555.76223,365469
1556.68553,1656619
1556.77792,266359
1559.77591,369709
1561.79927,1721372
1562.78345,1083258
1562.83088,721171
1572.68024,3504041
1586.75788,1382827
1609.79160,471904
1620.83812,233374
1628.86783,237806
1632.80427,1286369
1636.83270,216794
1639.91509,436830
1648.77893,404750
1650.82941,1783112
1658.93609,287327
1660.80588,532168
1666.82330,1196664
1679.86635,679797
1685.81802,454631
1695.81781,354362
1698.77257,1505908
1706.77415,1093016
1713.82548,774194
1714.76693,842880
1741.00345,1323698
1743.82269,2102896
1759.81498,1164702
1775.81208,766853
1790.89461,3013633
1791.95208,845799
1799.80103,475568
1804.93211,3944791
1816.86748,1743780
1832.86204,3087239
1841.92027,7389829
1848.85789,1310878
1858.91904,235602
1862.93417,512840
1888.92113,623389
1890.01242,289369
1906.00554,1212632
1907.95938,502365
1912.93836,212382
1918.83739,1020779
1920.89715,311722
1922.93477,530943
1926.08751,220185
1933.97553,463279
1950.96981,712496
1958.97219,1259343
1960.89466,207233
1975.99631,18680866
1981.99060,536137
1990.91963,1392874
1997.01049,2726484
2006.91066,1035347
2007.94308,2644227
2014.07278,389191
2023.94034,2426074
2024.00634,723747
2024.13146,1117094
2028.11722,730469
2039.95692,1079211
2041.15851,16555680
2044.98220,3186453
2056.09447,16033513
2056.98096,14836217
2060.97754,2655687
2064.02192,853517
2072.09360,3994529
2073.01637,1394456
2076.05601,485262
2089.00937,1922859
2099.08220,639378
2105.00455,526597
2115.13751,897290
2118.09884,399908
2131.11847,12552475
2143.05070,1328545
2148.03227,353838
2151.15177,403260
2157.06783,2619079
2159.04749,2336704
2178.10340,3437680
2181.01852,6454444
2193.10883,605781
2195.06382,817685
2198.97585,2026737
2203.09427,9781613
2211.04421,1692819
2214.97226,1697202
2215.07396,2595694
2220.12164,235269968
2224.20166,1959498
2227.03669,2292858
2227.22260,1354906
2232.05983,1519477
2233.22891,477980
2236.12007,1237986
2243.21502,566481
2244.13787,313621
2246.99630,461394
2251.14671,899981
2256.08670,2393350
2258.16521,917567
2271.02232,1005170
2272.08328,1582330
2274.16251,778445
2276.99288,515254
2287.13635,593230
2288.99321,293981
2293.09389,859844
2293.12750,1030746
2299.07948,1004422
2303.13231,778886
2307.00155,1061870
2310.09070,2669313
2311.17120,477111
2325.24628,9730292
2326.08266,1242412
2336.25240,3079411
2338.17109,594130
2343.10518,466655
2348.08923,1481170
2358.20045,1089811
2362.11490,870829
2366.19528,475049
2383.13552,2073902
2391.26545,483055
2407.06175,447012
2409.21069,1005013
2410.14100,1217465
2451.23310,1188754
2463.10160,969516
2467.22602,1048335
2479.13926,287427
