m/z,I
722.35834,438359
898.47483,338884
898.51108,356772
1010.50183,131657
1068.50710,273519
1079.52366,329534
1086.61970,401606
1105.57547,2081898
1108.50265,124977
1108.62681,186590
1121.58177,1145458
1121.61821,214669
1138.56062,329856
1153.52437,308896
1162.62203,764778
1163.59245,819248
1165.52379,447353
1167.57616,450171
1176.61316,311544
1180.64413,627087
1193.62789,313349
1198.70589,455580
1202.66483,198590
1207.60673,198170
1222.58158,178153
1239.64451,403381
1274.72659,4723944
1290.72162,396022
1306.71617,292579
1316.67176,228789
1332.65463,170246
1343.67133,397245
1432.68173,419520
1447.75585,261538
1453.74466,7492875
1459.69353,1382062
1479.79663,1714451
1482.73791,603052
1515.75018,195169
1550.75743,649907
1562.78295,937649
1562.83040,699484
1604.81608,470776
1615.82098,887734
1702.90004,289177
1706.77351,665398
1718.94534,303562
1726.86584,609494
1759.71844,260735
1790.89354,255838
1795.91102,604865
1804.89499,2424418
1832.86123,1607728
1842.92483,449909
1888.92005,321249
1892.92277,828857
1919.95955,258101
1944.95382,713415
1961.98113,8827512
1971.04557,279082
2011.03541,385238
2013.00195,3038285
2028.06549,5725366
2044.05815,3547321
2056.97954,5594637
2089.00751,519024
2105.00162,1320775
2120.99871,395619
2131.11732,5606770
2146.94184,306959
2172.11916,253078
2188.02883,1732705
2214.97114,1250699
2282.06951,287354
2364.08513,842985
2410.13925,633787
2455.22570,3256072
2471.21850,1111159
2483.19151,1101137
2499.18624,730707
2501.16628,278307
2550.15059,1292456
2565.24280,2206814
2580.15561,354209
2592.22035,749293
2651.24983,485174
2673.26551,992598
2676.24606,246233
2689.25968,8752974
2705.25285,33098278
2719.23403,2548340
2721.30019,611184
2727.23918,651775
2737.29509,861725
2766.32658,8055500
2773.35254,392656
2785.30264,4928520
2801.29384,5664075
2820.35418,5176936
2867.42333,516796
2883.42465,8128627
2899.42435,1463568
2969.36417,341203
2986.38422,876262
2987.38917,19015744
3009.36249,442267
3017.49110,309253
3025.37590,769844
3033.48661,2453843
3036.40575,2178229
3052.40227,3918663
3084.41404,1018922
3100.41244,12479338
3116.41036,26020980
3132.40606,1585687
3137.49817,294057
3153.46925,1862233
3169.46358,1632105
3225.54359,906860
3241.52983,1342105
3387.60574,545650
3408.72838,844347
3517.59859,365103
3549.65634,593412
3681.56957,2071759
3735.60796,281030
3752.60923,2754705
3898.77986,417538
4019.92360,902973
4096.94889,2171701
4112.94367,2678898
4139.07708,1133398
4274.03055,597401
4290.02366,1470139
4301.12187,475643
4306.01281,648554
4375.13134,617840
4391.11703,1940276
4493.13726,913695
