m/z,I
835.50402,378475
944.53145,510491
1069.50202,209092
1079.52357,188974
1082.63178,246527
1092.58367,776098
1132.65890,185465
1153.64812,546170
1172.54498,327432
1197.57612,142582
1198.70615,1926479
1200.61182,318512
1202.55829,181526
1240.67641,951838
1254.79330,294810
1274.72598,4215626
1276.64685,204480
1293.60071,2053920
1312.74701,495394
1336.76040,1601751
1344.80061,5005248
1350.67605,203154
1366.78171,210148
1397.81160,236016
1410.73773,176090
1437.78954,652798
1439.82349,1571701
1443.69814,758236
1445.80932,504163
1452.69803,285554
1452.72581,242226
1469.72526,2871925
1500.71846,248804
1515.74999,779286
1533.78906,293116
1549.86360,244455
1550.81542,3042259
1553.77108,298945
1562.78087,673884
1571.78146,1416735
1592.83920,731399
1620.80958,215243
1647.82705,725510
1655.79952,358274
1690.93783,2078028
1692.90356,750929
1694.95541,287320
1709.91777,251498
1733.99108,783261
1735.75714,1124561
1749.03835,647263
1751.04322,1150103
1753.87263,391568
1756.01169,230602
1759.94519,520891
1764.87856,372704
1765.97886,390941
1774.92054,1522959
1775.90373,945122
1790.89228,620878
1795.90895,631511
1799.87984,599302
1809.94941,1265613
1819.87753,1454758
1820.07652,1067343
1828.90922,742417
1849.95326,637074
1858.93546,407511
1876.94412,314811
1881.92567,314072
1919.01455,1510278
1919.14429,458028
1929.90940,211238
1960.98431,369640
1977.01912,240211
1983.94932,760476
1987.99541,228410
2001.04456,250295
2006.90993,463293
2014.96878,1508662
2025.03884,790970
2027.13025,982080
2041.03274,1259730
2080.07329,854410
2095.09234,925519
2105.10247,1613890
2114.11450,346003
2133.03205,275258
2136.98981,320848
2139.10936,641193
2150.05663,628539
2156.13517,9637549
2170.06729,342564
2175.01863,427175
2180.18302,551572
2215.07024,1881997
2222.15737,1237795
2228.98634,257230
2238.06898,613597
2241.17561,214236
2248.09294,303675
2252.20236,668865
2263.07850,337440
2269.14288,257225
2277.19169,1803848
2280.10843,2720114
2297.28907,1609457
2318.13872,606670
2320.19152,307264
2321.24829,476703
2337.29165,1497484
2348.17187,305521
2356.06917,878677
2369.21289,733495
2370.46131,1371841
2374.07905,6449821
2377.16157,297778
2378.21936,665101
2381.17179,576847
2386.24570,1189507
2388.18678,507132
2390.07216,505867
2403.18648,423250
2414.24010,528618
2418.17761,340731
2419.18035,3821826
2428.17643,2694177
2436.30971,446807
2444.17277,401564
2448.23896,509720
2451.20172,550103
2453.33733,5191135
2458.18696,1498540
2466.33557,322062
2470.22828,487710
2477.14826,2131282
2486.22226,1326756
2497.20613,688139
2507.21981,767340
2513.20197,1338534
2521.28070,350899
2523.21871,353884
2526.23590,482883
2540.22656,4183735
2550.30774,3098885
2556.21948,424306
2558.33622,2841137
2564.22989,691417
2566.30110,1784579
2580.31366,652612
2582.26920,4318905
2591.25785,1726946
2598.26621,619443
2599.54117,810279
2606.22295,972676
2617.31262,1228406
2621.29331,724500
2627.23277,316624
2633.30976,340012
2643.22964,718081
2659.22293,2095642
2676.21909,3143741
2742.42988,1750765
2756.44865,718879
2762.37243,287583
2763.23284,1076632
2770.34456,612298
2779.22493,342422
2785.40638,554536
2796.43755,316154
2809.36066,742655
2813.46596,3405301
2834.31789,2461292
2839.50198,937062
2850.31223,427841
2866.35785,975841
2884.60331,317263
2900.39477,6875368
2911.42248,1361634
2916.38993,1452557
2923.44072,1262164
2950.35696,262984
2975.43752,274899
2993.40223,1765594
3009.39223,1218609
3019.46630,511136
3041.49887,298947
3048.43900,1203534
3083.68357,325333
3109.51730,325455
3114.50191,393071
3140.49944,839959
3146.60318,748622
3157.52790,9873581
3173.52222,6728042
3183.47135,990250
3189.51354,1096597
3222.66351,624553
3238.65564,3025370
3265.59106,814419
3281.57900,321931
3342.64890,484108
3358.64452,1482282
3393.64209,228194
3438.70888,299018
3446.68599,296343
3454.70740,822126
3457.71793,285438
3488.70802,4134427
3516.68352,1169547
3588.75427,1015837
3603.65627,651741
3619.65325,2376434
3635.76521,333448
3651.76473,456389
3667.75879,1002663
3673.86981,539331
3682.78206,1135659
3689.86361,3650453
3698.77618,3090211
3757.75682,942336
3766.65997,368285
3773.75129,2116545
3777.87791,533876
3789.74752,3570244
3805.74686,5082755
3816.74666,275126
3821.73967,506901
3886.86193,908547
3901.84635,256657
3913.90370,493684
3930.83694,303780
3930.93177,1317840
3952.86284,563480
3964.85676,509963
3969.86067,2742096
3989.84303,842969
3990.89200,830751
3997.08317,644905
3999.16471,1108683
4006.87864,11400643
4014.87273,289589
4017.96949,655268
4018.05592,222076
4022.87381,6094715
4038.86996,730507
4046.04113,567078
4062.03299,955382
4069.85680,889271
4071.98827,315173
4130.94002,552516
4182.95857,316668
4235.04493,1547908
4251.04243,391616
4256.05217,842285
4271.04402,268931
4282.10101,272667
4287.04223,288507
4287.23642,769045
4308.12036,883256
4324.11388,2493080
4352.10347,379067
4364.27623,2268423
4468.00370,403772
4501.01559,2598614
4517.01142,544296
4627.35275,344435
4671.33513,1048259
4694.44240,913454
