m/z,I
728.33234,176776
898.47499,230492
898.51123,382323
952.46762,337155
1002.57407,250342
1095.56650,443107
1096.53913,155352
1105.57576,946802
1116.64202,1180788
1138.56840,242575
1150.59768,374172
1163.59240,519319
1167.57643,229492
1221.63367,298497
1311.62997,184260
1365.69659,232868
1436.73395,199350
1437.75008,326660
1453.74492,4386748
1459.69473,501614
1465.69327,347637
1469.73936,303404
1501.70450,299983
1561.79837,2952662
1585.77383,468253
1592.81961,814569
1608.81435,978131
1662.86456,489583
1678.85986,760381
1694.85458,194278
1778.88377,205395
1795.91158,415096
1816.86712,339971
1824.89705,535451
1825.88122,393834
1832.86150,257410
1846.83459,194990
1889.92458,1830930
2030.07084,259780
2040.01916,627198
2056.09424,1617214
2056.98104,1583322
2057.04413,3601612
2072.09248,4792614
2073.04173,5492854
2154.16914,1240592
2170.16723,1029693
2209.09435,856143
2225.08970,336895
2476.24898,254418
2543.42146,317795
2580.31652,341541
2672.24677,784625
2689.26190,1090010
2705.25704,3782266
2721.25459,535760
2726.26390,330268
2743.29260,1015943
2759.28925,1113760
2769.33840,1449928
2818.37777,1996297
2869.41086,848298
2959.36505,291073
2991.35143,496318
3036.42777,1016397
3052.42455,1980845
3068.42139,1644193
3084.41943,1081710
3100.41677,1097751
3116.41242,453812
3144.42932,332289
3382.70774,542699
3709.59558,322328
3926.87977,421958
4063.02707,592253
4150.04447,450482
