m/z,I
912.52651,417246
994.50711,295035
997.54291,708735
1038.53295,281812
1058.57468,250151
1105.61200,155302
1111.54979,357095
1149.61320,283136
1155.62365,514923
1206.68493,211911
1268.66021,432875
1293.65588,337466
1300.64012,172438
1315.67625,247902
1328.69728,422146
1350.67746,413312
1387.69663,266317
1466.69956,204358
1493.74710,247866
1534.77385,1118971
1572.74098,1211645
1584.77869,573193
1596.81070,292798
1620.77928,235771
1937.98034,1079415
1961.98215,2424287
1989.97817,245881
2007.00187,1490865
2027.99330,413811
2045.01906,2299917
2093.95991,225744
2111.97740,356075
2414.20711,303143
2510.24234,4507935
2532.22232,558565
2589.20620,571219
2653.21367,1927836
2692.34367,420774
2707.29955,608329
2709.36867,944999
2725.36761,259937
2739.28879,322137
2764.29971,506953
2867.50091,2351005
2883.49703,597666
2928.34978,271013
2941.34306,273977
2957.35385,551531
2965.34489,505293
2973.35125,639044
2981.34122,406545
2989.34108,511260
3005.33394,785668
3114.43599,678977
3458.50838,311264
3513.69009,400432
3592.61264,788828
3663.64188,772691
3851.78635,309598
4083.96526,320069
4100.96459,206357
