m/z;I
693.40003;82562
693.98685;132889
693.99299;146337
694.28842;88561
694.32315;209812
694.32953;106955
694.6267;243375
694.65385;113831
694.66049;216965
694.9649;602937
694.99211;132483
695.30355;551133
695.38438;83211
696.70368;127678
697.02595;160596
697.03838;83912
698.31095;89143
698.35808;109074
699.44639;190632
699.78727;105292
699.79376;379076
700.09436;197763
700.13548;198380
700.14171;405875
700.30276;91692
700.4433;403223
700.48396;241549
700.79268;451053
702.5847;84912
702.7826;80345
704.55805;79716
704.95121;79931
705.41083;84999
705.47453;79193
705.66157;82432
705.90734;79660
706.08168;92671
706.34263;81437
706.43782;93500
706.86325;83555
708.01121;79888
708.3323;95497
708.34755;99440
708.36859;87088
708.60235;81608
708.77774;82085
709.36898;83537
709.96106;86945
710.25352;79272
710.35903;106351
710.47981;96110
710.5732;84980
710.72545;88004
711.02503;80859
711.13021;81767
711.1383;85635
711.2182;79294
711.48313;93910
711.93294;81143
712.6662;83377
713.46632;81136
713.67396;84730
713.88156;162142
714.00019;83024
714.01495;79092
714.36559;102080
714.38273;132645
714.56959;107149
714.86483;93593
714.8844;81127
715.04104;79011
715.19541;81623
715.24726;82052
715.54599;89725
716.06592;80256
716.07237;89775
716.13896;110767
716.32096;82816
716.37831;85102
716.39711;80069
716.61749;93964
716.67297;85534
717.12401;85172
717.37537;85425
717.53165;85806
717.78486;80196
718.11401;79833
718.34107;94032
718.4711;81087
718.50807;82373
719.03962;79805
719.45504;83038
719.5093;87090
719.60459;91429
719.63733;80282
719.68322;89733
719.9462;83589
720.15073;102243
720.24035;91162
720.29092;79201
720.92858;82398
720.98772;121863
720.99356;90598
721.74897;92207
722.12807;86750
722.35892;81197
722.42756;95189
722.44931;79704
722.59599;80399
722.64205;83929
722.79323;94365
723.2284;92712
723.57402;92172
723.73107;81360
723.8544;81790
723.88636;81200
724.36416;81637
724.38042;90370
724.71631;81216
724.8947;81428
724.9525;84333
725.16123;80651
725.29978;83977
725.52517;82133
725.5681;79623
725.92175;80184
726.59628;87106
726.773;84037
726.92251;86538
727.05927;81427
727.07864;100661
727.21901;82302
727.34395;81549
727.40918;101350
727.50366;100454
727.52295;84508
727.74988;99822
727.86003;93248
728.03108;83551
728.19586;82092
728.3221;103843
728.3327;162053
728.33778;82296
728.65934;93646
729.3361;97144
729.44518;89734
729.78792;82132
729.89883;80655
730.10614;81167
730.1272;94315
730.21027;96564
730.64334;82224
730.70887;89993
731.13416;79380
731.21711;95336
731.52653;82024
731.65558;83571
732.27381;80021
732.41607;87237
732.53277;80474
732.64939;111904
732.70528;96133
733.08406;80754
733.17423;80584
733.72871;81310
733.89088;80876
733.99212;83600
734.14577;86353
734.42275;90315
734.6527;86923
734.76252;79083
734.79229;91682
734.88836;79291
734.9408;89198
734.95198;92397
735.24416;99799
735.25517;80219
735.28529;93765
735.34949;84052
735.41527;82141
735.45045;79082
735.45502;90039
735.70996;83531
735.92068;82387
735.93449;90012
736.11572;81589
736.36516;80555
736.38231;83694
736.48269;89790
736.75374;80054
737.08316;84671
737.35757;95446
737.93268;110516
738.08117;87084
738.17751;90613
738.2115;81765
738.34291;80209
738.40894;85926
738.60338;89463
738.61542;100645
738.70671;145678
738.77071;111415
739.04141;141639
739.05526;219401
739.34793;100951
739.54596;79293
739.92558;81383
739.99352;104024
740.26617;80832
740.4075;84824
740.43766;79322
741.06859;80174
741.20338;90476
741.24568;87326
741.38546;85991
741.48703;80779
741.63136;84790
742.06003;91001
742.44737;82491
742.73681;94456
743.27978;82421
743.34622;79163
743.35553;79194
743.3684;88886
