m/z;I
693.4767;339861
693.65522;102631
693.99182;187546
694.32197;214828
694.32854;236859
694.47991;170727
694.65939;185253
695.29986;115342
695.33649;80831
696.16197;91780
696.70561;103869
697.36407;136225
697.70227;113622
698.54166;145386
699.40724;88035
700.30312;204803
701.32579;85468
701.33578;83825
701.92441;84683
702.02503;81965
702.28508;88814
702.34278;84239
702.69967;218518
703.03493;112730
703.25628;87284
703.33799;98279
704.02541;703322
704.04596;104150
704.75477;81374
705.02882;181507
705.13785;83445
705.72939;80329
706.12272;82754
706.31636;253657
706.35713;95281
707.04844;84869
707.25546;158599
707.3199;96614
707.33695;84523
708.33243;81505
708.38652;91179
708.64602;87282
708.69545;84661
709.15295;82063
709.37191;89861
709.44376;83514
709.45132;181971
709.95081;97413
710.20355;88747
710.3115;111262
710.34133;87653
710.34816;87808
710.60694;81828
710.71298;80504
710.79521;80708
710.80744;81684
711.10439;82302
711.16407;81193
711.17383;200939
711.3438;200111
711.35208;86741
711.38047;81909
711.55888;81825
711.69953;90765
711.73332;83821
712.0049;83028
712.32751;88283
712.37538;85092
712.54729;86596
712.86423;80175
712.89455;81046
713.1895;419122
713.30599;81189
713.33924;80907
713.35927;88868
713.42343;347757
713.6292;79898
713.68095;84427
713.89749;86595
713.9354;92485
714.10983;81861
714.19252;114311
714.331;105285
714.36343;87958
714.38011;81832
714.42696;92973
714.43149;91604
714.52748;107949
714.71151;81125
714.91213;97590
715.20483;164261
715.31346;89472
715.33837;92184
715.37509;80126
715.67359;79938
715.85307;80545
715.8966;86253
715.96513;82263
716.05951;81730
716.17104;95146
716.18579;81857
716.22977;84683
716.24917;105574
716.33778;96712
716.51447;82198
716.61831;99557
716.90241;84268
716.94456;79838
717.10105;88108
717.32732;80049
717.33205;90224
717.34073;82193
717.36441;131822
717.49945;94827
717.61581;89623
717.66117;112592
717.7483;88377
717.78571;81960
717.84009;86352
717.84306;246776
717.85971;310438
717.98931;89785
718.19233;91155
718.25915;88487
718.3076;90007
718.34527;123339
718.36144;226583
718.52247;94542
718.60132;86995
718.88458;82683
719.10607;80727
719.20994;95403
719.3731;99689
719.3889;87194
720.3542;96344
720.40447;91162
720.52906;99202
720.85911;82198
721.05183;83166
721.16689;85063
721.28746;83161
721.31624;100491
721.33697;82683
721.39184;81361
721.49325;83206
721.63877;83895
721.70269;112196
721.81204;79841
722.03117;112373
722.06494;103758
722.13938;97227
722.3371;82552
722.36577;95207
722.55772;80422
722.62601;81114
722.66469;86893
722.66997;89243
722.70563;93543
722.74084;82621
723.00004;83866
723.19457;84557
723.26899;79787
723.2908;95316
723.30579;89786
723.59704;81128
723.7657;82940
724.07337;82982
724.26952;89015
724.27887;79878
724.32693;242782
724.35392;84067
724.37931;99544
724.45562;81237
724.47121;81248
724.50913;86033
724.74561;89548
724.82011;99343
724.98268;92624
724.99791;81853
725.13131;100737
725.17317;85842
725.33047;92599
725.34768;92781
725.39466;89177
725.73226;99838
725.92111;80112
726.06874;95122
726.38995;103937
726.98854;82635
727.03153;92692
727.04152;80141
727.36368;96525
727.38664;81018
727.52937;83499
727.5548;87104
727.73212;100252
728.2913;82712
728.33724;106409
728.56929;94192
728.67637;80859
728.78603;80234
728.8853;96488
728.90588;82600
729.11536;81083
729.12324;88293
729.14224;93127
729.24321;83142
729.38209;99699
729.48301;87808
729.8421;79981
730.07053;89481
730.34721;86031
730.48038;81247
730.50866;92930
730.80957;88726
730.92642;87027
731.06443;89030
731.25298;80396
731.32606;81329
731.38052;81414
731.46129;89245
731.58607;89270
731.62203;103007
731.72624;92217
731.73997;82552
731.86895;81512
731.99248;84731
732.11527;85743
732.22424;93582
732.3573;93495
732.55633;82076
732.70815;106618
732.83308;81556
732.99624;101878
733.06474;83779
733.13607;86547
733.15499;121591
733.16239;84372
733.34255;81245
733.36407;112094
733.47971;81613
733.65282;81856
734.08102;86697
734.17264;83818
734.38823;85019
734.51781;85018
734.68546;105672
735.1315;84247
735.20001;83427
735.53645;82643
735.61255;88075
735.90731;84653
736.84243;80320
737.0053;85504
737.33763;90277
737.35788;86333
737.50354;272665
737.51748;96722
737.64661;94717
738.16996;96302
738.21287;100430
738.25496;105470
738.27514;117969
738.30715;97028
738.37991;176026
738.48572;84434
738.5073;127923
738.95417;89464
738.97507;79878
739.00677;106790
739.16767;98505
739.33482;83841
739.38083;91055
739.63772;90961
739.83732;82104
740.11282;83549
740.17441;89318
740.67153;79795
740.74603;83476
740.77012;97641
740.92267;85831
741.30516;96945
741.31179;92373
741.35383;87249
741.51149;91898
741.65823;80672
741.898;81700
741.94887;83026
742.35581;85739
742.39835;94492
742.4933;80118
742.56827;87504
742.89617;90953
742.93512;79760
742.97951;82445
743.35434;83673
743.39362;111220
743.43492;90506
744.36444;162718
744.92821;84586
745.03258;84842
745.16108;89869
745.36795;133341
745.52867;83183
745.53784;79739
745.57789;92617
745.59989;93780
746.00236;93451
746.16658;88942
746.32827;92460
746.59165;89206
746.85174;82938
746.94468;79770
747.04414;93883
747.08164;98833
747.1569;79775
747.36756;115370
747.37973;93865
747.84152;93429
747.86537;81919
747.99756;89395
748.05146;92126
748.36326;91761
748.59939;104159
748.62605;82341
748.75667;81937
749.16551;90399
749.36206;80828
749.61345;82005
749.75819;91837
749.8225;82360
749.89563;110486
750.00231;80424
750.42231;80604
750.51155;84654
750.70869;94048
750.74697;80428
750.96202;85113
751.15638;81575
751.26533;93217
751.37663;81010
751.75606;97666
751.80317;94930
752.0903;83161
752.19363;97011
752.26294;90798
752.76626;104533
752.92465;85618
753.47674;148920
753.68039;81527
753.8134;82757
753.83174;80089
753.93565;94120
754.04673;86991
754.2842;83202
754.69147;90254
754.69586;81070
754.98094;106269
755.28836;91519
755.56686;81156
755.61486;96667
756.13898;94279
756.18546;94156
756.27336;79877
756.54843;79812
756.66524;85891
756.93812;82325
757.24279;92392
757.48905;86649
757.63537;83708
757.75839;84185
757.81361;85035
758.08374;79860
758.32724;92238
758.34779;79685
758.37985;486854
758.40968;83810
758.44807;80750
758.68202;88115
758.77804;85456
758.84701;83518
759.34757;89585
759.38343;185920
759.44169;85913
759.7012;81073
759.78358;82553
759.93161;86352
760.07889;84412
760.08989;81193
760.2268;84029
760.46949;83044
760.69238;82645
761.39548;82300
761.63038;86354
761.93427;83047
762.02219;82243
762.27921;95171
762.37761;83354
762.58681;85121
762.73422;82587
762.85891;101772
762.94;83791
762.95564;95535
763.34412;83108
764.07446;102334
764.28501;88138
764.29309;97823
764.40604;106740
764.6172;81844
765.05071;80924
765.17079;90109
765.31121;85912
765.42733;94165
765.57161;83825
766.04199;86411
766.08275;97663
766.43754;92622
766.67215;93173
