m/z;I
693.68306;88965
694.3157;90202
694.96464;86705
695.3022;80059
696.34261;127106
697.27859;89983
698.31048;139781
698.35819;157132
698.54181;106993
699.36187;91169
700.33749;97507
700.44322;122067
700.7918;98616
701.28544;82458
702.35706;104278
703.33752;87495
703.37758;84475
703.69848;79996
704.02974;78840
704.20391;79146
704.33733;89105
704.74678;80733
705.36805;102780
705.37269;84507
705.99737;78854
706.26061;87955
706.3374;113239
706.3528;110612
706.58081;88902
706.73508;92074
706.84041;88764
707.24479;78784
707.33659;112332
707.72109;91517
708.08528;81062
708.33213;95768
708.34314;100130
708.36883;172810
708.87062;85246
709.16874;86124
709.28513;79996
709.32743;124276
709.33566;84244
709.36344;83516
709.37249;88791
709.43505;78667
709.52934;81394
709.72271;81597
709.97241;82345
710.22927;82907
710.31133;132268
710.32963;86614
710.34771;84817
710.35936;99350
710.36905;82135
710.57147;81778
710.81888;79758
711.01423;87039
711.09558;98199
711.16547;91361
711.23514;83650
711.25464;78813
711.34308;190105
711.51958;83482
711.75861;82499
712.12495;87400
712.18191;84438
712.32725;115877
712.37364;165608
712.51325;84422
712.72688;86850
712.96077;88620
713.00758;78664
713.31338;80666
713.53005;90422
713.86879;84012
713.88189;82898
713.94491;87621
714.28831;84733
714.36718;80152
714.56488;102818
714.70595;81092
715.06888;78972
715.26746;79774
715.28794;108576
715.33803;155114
715.42484;87468
715.46832;79377
716.1104;81540
716.24702;85445
717.06025;81738
717.10169;92798
717.17116;79567
717.39301;95378
717.62585;81928
717.76892;86417
718.04108;81568
718.23342;82092
718.35314;90569
718.52852;79518
718.65176;89976
718.69321;85626
718.73577;79321
718.82459;88401
718.93953;86552
718.94974;81524
719.02949;98317
719.06989;93875
719.13726;82000
719.16193;90566
719.18934;98512
719.41265;92670
719.72114;80373
719.80991;84725
720.24553;81677
720.48318;89196
720.48996;80489
721.24325;95148
721.49792;94946
721.54735;79202
721.83865;80493
721.92083;95232
721.95146;94135
722.12571;82343
722.18555;79541
722.35887;332139
722.39552;124960
722.64891;97617
722.7021;92147
722.89047;97172
722.92166;86083
722.98937;89668
723.05661;84159
723.16665;85633
723.18945;94828
723.23694;81749
