m/z;I
694.9648;207771
695.30324;242691
698.35842;125394
698.68306;119243
699.44626;738496
699.46018;113825
699.79377;2615580
699.80929;164225
699.83076;111863
700.14184;2823327
700.15734;139512
700.44315;338083
700.79249;368784
700.90801;128849
701.83559;111684
702.16571;112324
702.31381;126114
702.43156;114414
702.89352;113557
702.96313;111215
703.40723;114944
703.46697;114667
703.59294;113281
703.62113;111109
703.87285;123490
703.97541;118772
704.40635;111674
704.63471;125147
704.92134;123585
704.97772;128784
704.97955;120957
704.99497;113433
705.1671;111628
705.28694;113814
705.32278;111601
705.60717;122640
705.76608;138871
705.79171;111794
705.85619;111033
705.97493;132431
706.09978;112791
706.83048;113863
707.12313;117044
707.2414;125068
707.25727;120061
707.42022;111477
707.44682;132846
707.57129;111124
707.95973;122804
708.12701;117565
708.348;145003
708.40906;131446
708.44357;121833
708.56577;112121
708.75874;139851
708.79522;125998
708.90458;119348
708.91119;139041
708.9365;119589
709.40363;114779
709.70471;116184
709.80944;118320
710.03258;167832
710.18376;111214
710.29344;126972
710.35739;121904
710.39185;133795
710.65636;111183
710.68508;124230
710.731;111713
710.78915;126215
711.1618;135902
711.17761;114301
711.28741;122977
711.30212;111965
711.46323;117229
711.47332;116905
711.68784;142871
711.78653;119247
711.83557;134027
711.91541;114005
712.09523;113479
712.15566;115575
712.29793;112893
712.35351;122230
712.37527;123565
712.41269;114637
712.70198;111663
712.73686;114627
712.77792;118181
712.8853;116221
713.00592;117490
713.03106;117861
713.19637;113221
713.26753;149247
713.39771;115451
713.4305;118691
713.53414;114924
713.76769;118676
713.86598;143736
713.88212;177583
714.00964;115409
714.14231;131685
714.18295;128669
714.19186;140419
714.26246;124125
714.29418;151875
714.32203;129596
714.35762;114265
714.37712;111940
714.39927;112114
714.48994;126396
714.50134;125559
714.73351;114228
714.81934;113442
714.89381;115753
715.02838;115625
715.22043;115970
715.23914;119487
715.3871;119802
715.39641;125966
715.44785;116946
715.50395;117337
715.54174;126991
715.62582;124135
715.67204;116206
715.67752;125378
715.88423;112731
715.91806;130327
715.94808;121420
715.97975;113201
716.04234;111400
716.15657;121020
716.17726;113054
716.23473;138366
716.267;112933
716.27006;114360
716.34113;127163
716.41839;116834
716.43245;116716
716.44238;111286
716.69991;120525
716.71379;113170
716.7808;132324
716.79959;122782
716.86143;139716
716.965;130501
717.03191;111931
717.06362;119511
717.16702;121791
717.24541;119772
717.45191;119100
717.51586;117006
717.56121;129875
717.66336;114645
717.84292;247638
717.85949;519043
717.92887;112183
718.02312;115252
718.03749;147200
718.1435;115232
718.31953;133526
718.34248;113530
718.34518;126933
718.35301;131677
718.36125;216227
718.38476;118576
718.60278;120257
718.64177;129755
718.65705;113797
718.80793;118928
718.97529;140476
718.99355;129971
719.02871;136227
719.0641;124212
719.09971;121649
719.11239;111780
719.12359;127933
719.31891;111746
719.36933;122697
719.39597;114223
719.4426;117823
719.49966;114214
719.53374;125935
719.54305;112910
719.67865;125833
719.68612;112254
719.80283;111989
719.88645;125693
719.98258;122900
720.06682;148175
720.24984;125643
720.43011;112817
720.4817;140847
720.60661;114011
720.65996;117050
720.7123;111771
720.81464;168795
720.8276;118449
720.85402;121304
720.92102;137976
721.01875;111044
721.05814;131993
721.12456;113695
721.1596;111218
721.18552;149139
721.25605;116564
721.37305;116417
721.38513;112892
721.4649;122352
721.5032;112387
721.71708;129741
721.72335;122772
721.89601;150845
721.99306;129475
722.02625;124747
722.0708;115781
722.25878;121602
722.29746;122233
722.42888;131803
722.4414;120421
722.53631;119605
722.70832;137429
722.79977;132495
722.85918;133445
722.88745;123264
723.03134;127997
723.3031;119695
723.30699;118059
723.36531;147442
723.49392;116700
723.77813;113526
724.08475;121640
724.14681;111583
724.19864;118104
724.26636;113277
724.28216;122099
724.32681;113907
724.3584;112740
724.5647;120350
724.67615;111214
724.69139;115508
724.81521;113571
724.89438;151365
724.99872;113700
725.04641;125671
725.07525;131550
725.08928;115522
725.22318;116492
725.39233;119718
725.51064;115654
725.567;117308
725.62291;164204
725.63627;116810
725.64496;123214
725.82295;115868
725.92304;116634
725.94686;111030
725.97729;121128
726.03202;117675
726.04333;130157
726.07074;120811
726.08282;113981
726.4287;141796
726.54526;117701
726.99707;111262
727.05352;120602
727.0792;111243
727.13749;116636
727.15419;121982
727.22685;119606
727.29285;132608
727.34311;133873
727.44283;149601
727.58471;133845
727.87203;120247
727.98996;125639
728.04783;113535
728.07736;120392
728.11786;111329
728.14012;116359
