m/z;I
693.99269;80617
694.62689;116174
694.96443;206182
695.30368;171334
698.35825;93298
699.44616;214775
699.79376;665999
700.09469;117073
700.13492;86627
700.14189;697939
700.44293;186919
700.79259;208778
700.89727;82680
701.75573;78714
703.33687;82391
703.95043;80735
704.16636;80523
704.58559;91597
705.44361;82352
705.71326;85077
705.76285;99581
705.98899;85909
706.07531;80950
707.32174;86859
707.74768;78806
707.86548;87531
708.34789;130755
709.42264;80248
709.47389;79249
710.14721;83467
710.20842;83859
710.37468;79077
710.55043;82056
710.61252;99226
710.71838;97043
710.79682;91943
711.17302;116765
711.34269;84279
711.36951;108733
711.63334;84019
711.77699;83703
712.02413;86893
712.1384;79231
712.23223;82498
712.3273;82082
712.46442;96494
712.52236;85538
713.01018;94103
713.0391;89231
713.13378;83712
713.16006;109542
713.18926;92085
713.35906;83525
713.40625;79204
713.46278;79580
713.76264;80179
713.86216;78971
713.86555;160997
713.88223;249714
714.00401;80436
714.17941;81072
714.28402;82648
714.36759;98133
714.38402;107402
714.50737;83323
714.68988;86435
714.7087;85953
714.78495;81881
714.81012;83328
715.19643;78983
715.20408;117330
715.28605;87414
715.33568;81905
715.35188;92071
715.3736;94976
715.38866;79065
715.40735;82161
715.47348;95214
716.27892;80192
716.43335;83327
716.82794;94605
716.90862;84929
717.1499;83118
717.4309;85209
717.57917;81649
717.75815;81792
717.81053;84562
717.84322;89759
717.85932;280715
717.93428;83582
717.95091;79966
717.97581;84828
718.03322;101335
718.09685;81659
718.33421;78887
718.34395;79151
718.34902;80988
718.3612;101570
718.45652;84840
718.58464;81859
718.62765;86062
718.75721;80565
718.77908;85265
718.84552;82221
719.2754;89120
719.42975;79707
719.50228;81314
719.55872;97277
719.69631;84274
720.0777;84007
720.30083;80040
720.74565;83436
721.10266;79407
721.17541;81521
721.75134;85100
722.14808;89494
722.27671;100949
722.77728;80980
723.17789;86595
723.35315;98813
723.46361;82526
723.51971;87506
723.9841;89794
724.0135;91518
724.0286;79783
724.04893;78858
724.41103;86994
724.42058;84538
724.45453;86382
724.54422;82586
724.57873;83040
724.59456;83266
724.66558;80639
724.8913;79552
725.10456;83300
725.10998;78690
725.13804;87663
725.39465;79656
725.47787;88248
725.59918;87086
725.70894;98800
725.8431;82054
726.08336;80650
726.353;82776
726.63658;83217
726.77754;79443
726.95539;84345
726.99303;101402
727.14809;88776
727.35659;93793
727.55134;88491
727.59239;90229
727.73512;87358
728.13474;90625
728.15483;89255
728.20983;81567
728.33195;124675
728.42373;79164
728.46991;86430
728.9407;89404
728.96819;83009
729.00642;103260
729.08553;79426
729.29433;81289
729.58779;89252
729.78773;82605
729.82482;104367
729.84549;81173
729.86559;199169
729.90162;82304
730.36689;108817
730.71639;78996
730.77635;95937
730.86759;80058
731.25626;92112
731.3749;92535
731.49001;84746
731.59154;90415
731.78176;83854
731.86043;78705
731.87463;100355
731.99875;85020
732.37164;78936
732.61151;102156
732.69566;91712
732.80663;80257
733.42333;82555
733.81976;83613
734.00834;79994
734.11436;87980
734.38214;88417
734.65775;88658
734.69357;83153
734.71438;79814
734.92482;79984
735.00759;84539
735.24807;87838
735.26034;85342
735.47619;78992
735.48945;90422
735.53358;85208
735.54811;107251
735.8157;81961
736.1552;93937
736.34393;81763
736.59456;79189
736.636;103497
736.68496;80469
736.76606;79227
736.85754;97721
737.19726;90479
737.63608;81983
737.65477;82205
737.73826;96797
737.74761;80617
738.01738;81328
738.15362;79649
738.30068;82612
738.54787;82000
738.58649;78663
738.68048;94145
738.82483;78878
738.84201;83260
738.93064;83375
738.97569;82343
739.16537;79988
739.25716;80207
739.52178;84157
739.72551;81924
739.81761;82321
739.88809;79257
740.03159;80542
740.18449;80619
740.56149;79844
740.7607;89864
741.08248;87686
741.10723;81514
741.15659;106169
741.28416;82305
741.33887;97004
741.34682;79558
741.71581;78766
741.74151;84051
741.76431;89128
742.56792;93805
742.61519;81420
742.72259;83979
742.77563;82604
742.84626;82826
742.96072;88659
743.06399;90182
743.12146;98678
743.12729;84265
743.23788;85397
743.25584;83202
743.40474;80761
743.63142;84405
743.70548;82566
743.86579;80112
743.88209;99776
743.89732;91529
743.91455;86027
744.04018;98043
744.05002;87983
744.16086;83779
744.37966;87891
744.46148;80719
744.65103;85554
744.66084;106406
