m/z;I
693.37209;81346
694.62696;182884
694.96488;408709
695.30369;375033
696.3424;113481
698.31051;112380
698.35791;153697
699.34199;91592
699.5118;80673
699.7934;135825
700.09455;136239
700.13463;95566
700.14167;126929
700.37421;117102
700.44335;288902
700.79275;330522
701.25092;87826
701.41886;107068
702.02388;83284
702.59164;80685
703.13273;82765
703.34426;80953
704.52925;78576
704.79325;81046
705.32143;83035
705.36818;106501
705.44454;82470
706.85626;90534
707.33626;80280
707.34768;89122
707.77577;79121
708.33191;95288
708.90207;86295
708.99784;79032
709.05169;88945
709.22506;87511
709.32739;133688
709.35833;89817
709.36404;87163
709.41965;81075
709.52845;80647
709.73063;85899
710.05061;78959
710.0821;80828
710.16382;90636
710.4926;82119
711.01058;98351
711.0455;100617
711.29792;84453
711.62843;85721
711.73799;111778
712.19418;85651
712.37501;99005
712.40657;83752
712.53054;81968
712.53992;102189
712.63446;104689
712.64942;82241
712.77828;78661
712.95347;96954
712.9616;79703
713.1249;106432
713.17875;83464
713.28891;85466
713.30188;82386
713.37868;80361
713.45763;90054
713.46914;84252
713.50299;88298
713.81316;80929
713.88193;97333
714.21992;79606
714.38099;86186
714.46119;94393
714.52518;82514
714.53543;80589
714.73583;110715
714.89005;82334
714.95775;90955
715.33827;129815
715.36204;122014
715.44599;80309
715.62864;78658
715.65598;83570
715.66342;89421
715.70314;82918
715.83993;85817
716.33416;82355
716.49109;83119
716.57316;82389
716.73526;84649
717.48907;88733
717.53251;86677
717.75197;82227
717.79618;87205
717.84215;79971
718.35342;80993
718.49946;95832
718.7474;81915
718.80034;81741
718.89021;79807
719.25726;78570
719.5897;83732
719.63183;82200
719.72008;80433
720.02809;89963
720.05887;79150
720.35856;86372
720.75369;82579
720.76233;101237
720.9164;99450
721.03473;83578
721.14863;85732
721.28985;91949
721.35065;92027
721.43297;85108
721.6814;100026
721.91211;95126
722.27877;91771
722.35851;196147
722.51582;97043
723.00625;86268
723.0862;78618
723.12228;100520
723.16951;83371
723.35522;82394
723.41634;84602
723.48735;93251
723.5475;93877
723.58659;78653
723.80632;95650
724.13679;86320
724.19333;89111
724.34555;78836
724.39977;101382
724.42217;85051
724.51532;82043
724.55303;81738
724.6826;85084
724.78871;83340
724.86059;91090
724.87063;92454
724.9079;96607
724.95437;86694
724.99358;79584
725.26962;85260
725.41555;95964
725.72313;78884
725.77989;92007
725.81938;84993
726.20259;82562
726.27754;80567
726.33031;106804
726.37223;87550
726.49319;84862
726.50516;82863
726.57201;92252
726.68281;79542
726.92925;85723
727.26427;79899
727.48872;104098
727.4983;80152
727.59002;81984
727.66202;81234
727.72966;78625
727.81751;80143
728.11736;80005
728.21986;91624
728.33292;257630
728.35848;91856
728.36896;116454
728.70444;79192
728.93297;81836
728.96591;79984
729.00071;80694
729.14282;81602
729.33558;118387
729.64313;118999
729.99546;85843
730.09287;91148
730.10893;92850
730.19091;80777
730.54262;81684
