m/z;I
694.28984;118410
694.62686;298316
694.96503;641457
695.30377;683832
696.34248;106108
697.02479;85017
697.25988;79408
698.31048;94638
698.35818;126841
698.77493;80753
699.29466;96656
699.42361;83241
699.79368;185861
699.84108;84213
699.87875;82912
700.09462;203874
700.13503;98925
700.14205;183213
700.34121;81157
700.44344;507422
700.48368;123565
700.79277;499055
702.03604;103680
702.35759;98077
703.39463;89985
703.87806;83395
704.05215;87696
704.19773;81837
704.52475;80672
704.91288;86157
705.33283;79126
706.08534;89226
706.14586;81797
706.31877;95793
707.80267;87433
707.80985;90527
708.29457;89364
708.36823;100558
708.80218;90988
708.8519;81871
709.14056;96422
709.23123;84833
709.2653;80302
709.29962;80837
709.31704;82735
709.61706;80955
710.65489;108285
711.34283;79593
711.47264;83119
711.63015;100205
712.02531;81457
712.32701;80287
712.33017;83803
712.37526;146856
712.64766;79171
712.87038;94263
712.99189;95259
713.0737;81179
713.22663;83049
713.27133;81027
713.32464;80589
713.42903;90450
713.46112;81164
713.54644;80957
713.70753;107389
713.8503;83025
713.86386;87915
713.88182;158188
714.33894;79943
714.38298;161576
714.39749;84434
714.45786;93559
715.10863;80620
715.33806;119693
715.39207;82909
715.39672;98718
715.69609;80758
716.03013;88683
716.06796;84222
716.61108;87511
716.76031;80308
717.12548;81983
717.32147;91216
717.46443;89706
717.98839;79778
718.08415;80566
718.09316;94065
718.24021;84353
718.27832;88370
718.62385;81616
718.63415;95139
718.66608;97198
718.71744;82650
718.87857;87006
719.01161;99826
719.20007;86674
719.22694;82036
719.55642;78996
719.57659;79145
719.81649;83696
719.91195;93301
719.91864;85602
719.93409;87727
719.98277;81614
720.31261;87311
720.67793;81539
721.36;104637
721.81479;81920
721.91036;86390
722.28642;80452
722.31537;89027
722.35907;218312
722.46762;107390
722.49501;82662
722.63744;91419
722.78126;79336
722.96163;83955
723.08469;87716
723.1996;88389
723.34256;84240
723.36211;111028
723.57802;84106
723.68895;79072
723.89268;90612
723.92491;86619
723.95555;100928
724.05812;90399
724.19143;82959
724.23113;85808
724.26744;92467
724.88046;98315
724.93451;100807
724.95354;80523
725.0743;104135
725.15283;84764
725.42176;82178
725.77278;98794
725.90051;82572
726.05437;94397
726.12851;85929
726.14584;84712
726.35427;119232
726.60984;81715
726.65807;104670
726.67503;84831
726.75843;85244
726.96155;113263
727.00393;83192
727.07127;79622
727.2062;80689
727.27094;86425
727.61852;84223
727.72081;90291
727.73292;87894
727.90863;81138
727.93071;84819
728.01882;85854
728.04538;84319
728.33254;264259
728.36711;94502
728.65779;106111
728.94031;79609
729.05996;81115
729.16075;80915
729.35761;101776
729.3726;96221
729.42839;82937
729.61109;84458
729.83657;87592
729.89483;85956
729.92554;88796
730.2872;79892
730.37404;82250
730.45636;94134
730.51533;89276
730.64468;82139
730.72714;87377
730.91498;86181
731.36944;129984
731.53615;89032
731.72227;89136
731.84608;95173
731.99376;85990
732.29237;83394
732.6161;102755
732.72016;80740
732.77594;96033
732.97584;109320
733.04393;89487
733.12336;78953
733.14434;100770
733.44824;81772
733.72592;92992
733.81738;79242
733.94213;81601
734.00763;84088
734.04116;92545
734.32447;84642
734.77782;100177
734.80856;82523
735.28965;106333
735.39259;90362
735.51708;81226
735.71401;88166
735.74485;84097
736.05324;95422
736.11179;90044
736.18525;85176
736.29344;87667
736.37597;110396
736.44545;82555
736.56238;87598
737.39701;95954
737.67358;82467
737.8627;84240
737.90382;84999
737.92233;81394
738.03467;81620
738.42668;112302
738.863;88668
738.89166;82745
738.90402;79131
739.37164;85073
739.67171;87537
739.93317;79809
740.03949;88897
740.0894;101201
740.29082;84111
741.12771;79989
741.18417;94222
741.28142;83390
741.3559;84435
741.37244;85891
741.40087;93791
741.49504;81838
741.51682;83010
741.59755;83360
741.63874;82091
741.69373;84881
741.73007;81201
741.80436;86231
742.04498;116746
742.43536;95231
742.46036;83409
742.60474;85757
742.67616;92102
742.85744;90134
742.94348;82171
743.28231;79561
743.35751;80186
743.53547;93526
744.12673;83726
744.24053;79705
744.74164;106518
744.84599;82494
744.87542;98417
745.06662;83493
745.23098;93387
745.39411;87081
745.50055;82151
745.55206;87123
745.61781;79313
745.63264;92744
745.92549;86212
746.08632;98305
746.16988;86483
746.28925;81574
746.33718;88055
746.53122;84954
746.57967;81689
746.60401;93596
746.64138;80767
747.10958;85092
747.20567;102148
747.24849;86238
747.39383;96572
747.59768;96781
747.71489;89849
747.86826;92679
747.93598;81384
748.05789;90197
748.20565;81060
748.38792;86460
748.54115;79169
748.6697;84000
748.71689;84983
748.73806;81789
748.83499;89906
748.90626;83069
749.27301;78971
749.53584;84400
749.61021;81971
749.67563;84178
749.79985;91141
749.89173;79099
749.98573;87927
750.09618;81008
750.11883;98325
750.57499;85345
750.59263;82085
750.71763;86186
750.90455;97865
751.1142;104828
751.15638;81847
751.26676;89545
751.39196;81781
751.4018;80775
751.53551;91355
751.57914;79472
751.66519;92373
