m/z;I
694.62645;173280
694.96451;293765
695.30303;295968
696.7042;161325
697.02587;204773
699.09894;112229
699.44596;255050
699.79366;639783
700.14187;703213
700.37396;136102
700.44311;142117
700.79302;109507
702.0359;296006
702.31685;96442
702.35774;298655
702.37071;125203
702.68756;84846
703.63506;79160
704.29269;84138
705.05097;79248
706.40933;80325
706.4831;91732
707.39558;93827
707.62516;83228
707.69136;89064
708.34778;133793
708.36521;92460
708.46154;90315
708.62977;80961
708.68522;79427
709.46826;97299
710.22792;94814
710.32262;81911
710.57819;86323
710.84871;82846
710.89068;79744
711.05931;81176
711.19755;79657
711.39728;82788
711.63444;82652
711.75618;86954
712.32631;108271
712.3503;81181
712.40825;95485
712.72506;85473
712.9688;79223
713.12326;79611
713.18824;90408
713.19713;91107
713.23469;80179
713.46836;95496
713.53179;106400
713.54962;83447
713.66501;79239
713.86521;109967
713.88239;132086
714.1352;99654
714.19084;82130
714.36614;132705
714.62519;91977
714.63486;79005
714.81164;88320
714.9826;80563
714.99364;101560
715.00763;84136
715.06141;101641
715.10059;90278
715.26896;81764
715.4097;97001
715.45885;83368
715.5876;82683
715.61897;84166
715.63372;83371
716.05317;104954
716.13576;79609
716.1663;93308
716.26148;81810
716.35574;84597
716.52226;87740
716.64768;91944
716.83335;79385
717.19304;84921
717.26496;91989
717.43605;86682
717.87866;88858
717.93824;93761
717.96852;80249
718.11775;79362
718.28856;84278
718.29973;86069
718.31456;80981
718.37516;79469
718.40651;89250
718.6;90614
718.70475;83105
718.86256;89772
718.95984;80442
719.28044;86139
719.33571;90163
719.95062;82073
720.20923;88521
720.41021;83468
720.63007;101597
720.83251;92900
720.96656;102270
721.06597;82209
721.22026;85415
721.29735;87646
721.42896;88651
721.59476;89355
721.7303;84392
721.85561;100525
721.93714;86184
722.17651;84660
722.35874;87810
722.70434;79045
722.77098;79719
722.9535;79792
723.03173;80972
723.24949;93089
723.59422;82710
723.87206;88168
723.95439;80630
724.06157;81627
724.17888;95392
724.21628;82909
724.39017;85346
724.43721;80420
724.44437;89649
724.4602;105841
724.68134;79481
724.73514;83933
725.00304;82737
725.09099;79304
725.16323;87744
725.19962;85359
725.29438;91453
725.44362;87930
725.46326;94030
725.896;89769
726.35382;92390
726.38122;84572
726.52789;92525
726.73079;82737
727.08058;85354
727.1028;90181
727.10802;90064
727.30911;82440
727.65701;94860
727.70256;85252
727.81477;82898
727.95476;81859
727.96132;79819
728.06835;82096
728.22978;83565
728.28248;87642
728.32036;119504
728.33267;229828
728.36877;103211
728.62383;108607
728.67384;80541
728.6791;79599
728.8801;102344
729.21161;80182
729.29564;79430
729.3765;184243
729.39775;107688
729.69702;161719
730.00262;89974
730.1334;90068
730.16013;86155
730.24458;88968
730.33617;88602
730.42329;86399
730.69199;85435
730.81363;99785
730.88599;81606
730.91965;87862
731.01122;90373
731.13721;81015
731.30444;87696
731.3663;121537
731.4282;79508
731.44593;84212
731.46941;88255
731.53878;97647
731.66537;82331
731.74446;91572
731.79365;96810
731.95543;101087
732.07694;79992
732.3374;95877
732.42867;102401
732.47563;84926
732.55371;90632
732.64506;89997
732.70786;82180
732.93946;91386
732.9669;81416
733.23791;115113
733.34735;79721
733.36352;102889
733.63488;89730
733.71473;97673
734.06236;97985
734.54525;87576
734.64373;84098
734.75507;80474
734.77286;80098
734.80125;82677
734.85371;82289
734.9352;83727
734.96821;79381
735.30812;89508
735.31565;84092
735.42158;96877
735.44626;82119
735.62647;79646
735.6444;87372
735.65493;114732
735.71647;90271
735.83592;95981
736.06755;91150
736.24342;89052
736.31531;84308
736.38638;87079
736.53561;87325
736.61019;79839
737.0242;83659
737.07706;83229
737.15402;80150
737.15949;91641
737.28504;81233
737.69701;106357
737.71986;96885
737.8595;84074
737.9254;90350
738.39266;90078
738.44045;85971
738.53073;104078
738.56375;79761
738.77388;81694
739.51008;84412
739.61154;80867
739.63437;87508
739.87104;84401
739.91759;91531
740.13902;88476
740.15498;98014
740.53845;83481
740.78286;88902
740.91654;93749
741.03982;90706
741.05603;86639
741.35309;86852
741.44782;85799
741.56337;89984
741.70129;98985
741.77859;86943
741.82043;94782
741.92929;81632
741.96376;105794
742.34882;80967
742.38783;79877
742.41872;88354
742.44611;97513
742.53268;84245
742.66244;91362
742.6989;84444
742.92928;94230
743.05047;85007
743.0668;85564
743.36289;81621
743.55798;85331
743.60488;85563
743.61683;96083
743.83842;87381
744.05941;92735
744.20788;78855
744.48274;91749
744.69993;83000
744.7172;83582
745.16918;82925
745.25042;118508
745.39495;85418
745.55483;86378
745.7157;82284
745.91432;84608
745.9748;97025
746.14077;81292
746.35662;93838
746.45233;83659
746.49944;80504
746.66779;85510
746.71778;80343
746.83081;85050
746.87794;81517
746.96237;81724
747.10678;100382
747.22699;81352
747.27358;83744
747.32306;84731
747.71741;109743
747.7523;80261
747.77856;79969
747.88739;92646
748.04994;90684
748.7423;85091
748.85519;86868
749.05529;83493
749.12673;80303
749.15434;82689
749.2407;88358
749.29742;83784
749.36107;86318
749.44274;88794
749.54669;79250
749.72501;86452
749.74144;80484
749.86981;82637
749.89707;80189
750.05387;88180
750.08474;79458
750.21317;82547
750.44711;83325
750.48679;96690
750.59382;84138
750.72051;82033
750.82387;103881
751.04863;94611
751.0849;81545
751.35331;110727
751.53537;106137
751.58905;93748
751.79691;100726
751.83103;80276
751.97806;90014
752.24074;83857
752.70241;85863
752.84061;95890
752.8514;80057
753.02546;84958
753.14637;92441
753.16241;86961
753.19584;81942
753.35742;103009
753.36395;83637
753.3716;84491
753.49386;80951
753.78474;87623
753.99946;84303
754.05535;91059
754.2681;84299
754.38445;101959
754.42068;79576
754.48199;89606
754.50099;86624
754.52235;81248
754.6466;95679
754.69503;107830
754.73426;78802
754.77505;87782
754.88624;105631
754.98382;95306
755.04566;85825
755.2065;82833
755.34622;81001
755.53832;80838
755.71074;92883
755.77529;86212
755.9526;88951
756.19405;111747
756.21992;97988
756.47339;83482
756.48818;79434
756.57097;84031
756.57802;96502
756.70781;104845
756.85622;92827
756.89652;86120
756.92928;87067
757.09099;90103
757.18578;95606
757.26653;107725
757.28892;101717
757.44525;87519
757.62707;84791
758.01433;86079
758.15267;86567
758.18825;83403
758.19555;83974
758.2126;95160
758.34037;111718
758.61381;87896
758.63053;87948
759.45405;86022
759.48861;90087
759.58603;87553
759.64778;86040
759.68248;120454
760.00751;91860
760.1242;82120
760.24376;90340
760.51661;81009
760.52041;93290
760.7701;79837
760.89294;93340
760.96367;134085
761.26069;88087
761.60883;79317
761.73369;81654
761.8334;79541
762.11643;81591
762.41621;91010
762.76819;79307
762.93476;80229
762.98031;82533
763.04348;91475
763.10423;81322
763.45937;83282
763.61234;80048
763.67022;80569
763.74867;79587
764.32906;79090
764.4456;84636
764.62778;79925
764.73851;90769
764.76241;93797
765.00264;78917
765.18952;87194
765.3808;86458
765.81207;85524
765.84972;94707
765.91338;97842
765.98135;82492
765.9963;80245
766.03916;89564
766.67876;81008
766.70543;100951
766.72622;79634
766.97897;84811
767.22441;96025
767.26601;98063
767.57299;78789
767.72427;82907
767.94705;80563
768.0066;89126
768.05469;80341
768.11303;81915
768.20114;87440
768.27822;100578
768.36493;82657
768.37387;83203
768.46862;95475
768.76543;92205
769.25521;80961
769.38451;95734
769.41706;92615
769.45164;87544
769.46199;88063
769.61578;85314
769.63646;93173
769.77396;86762
769.80949;102584
770.12195;81728
770.30084;80496
770.33443;86719
770.3618;80609
770.37463;83962
770.51397;85257
770.59582;81444
771.21946;82326
771.26753;95034
771.4117;106019
771.67423;84865
771.71875;84459
772.30811;84459
772.40607;93910
772.43368;83863
772.45121;80983
772.48398;82383
772.52102;85697
772.5984;80013
772.94501;95535
773.43679;80180
773.88165;86823
774.17427;90328
774.48726;82878
774.74412;81343
774.81037;82902
774.87557;92636
775.00856;79450
775.12424;81914
775.18322;80066
775.21912;84837
775.32865;79682
775.46192;84218
775.59504;91911
775.74737;78810
776.05288;86110
776.22665;81734
776.3634;82858
776.694;81275
776.72516;80795
776.76809;81736
776.87629;108585
776.89348;92506
777.13646;82128
777.51957;86634
777.91099;107528
777.92149;103882
778.06872;99848
778.17571;82980
778.3287;80298
778.68785;116034
778.69821;91123
779.0032;84451
779.10743;84571
779.19767;79824
779.45363;89429
779.48811;79639
779.55436;84903
779.63838;106496
779.64919;82505
779.73424;80013
780.17371;114402
780.26666;99961
780.28763;82761
780.41648;96891
780.74755;88410
780.82636;90822
780.92059;130395
781.41307;121863
781.43134;81052
781.47444;83821
781.73898;88555
781.89592;83231
782.20007;84266
782.22576;95659
782.48296;87967
782.56825;84355
782.94508;80575
783.29249;80127
783.51402;86246
783.53391;100828
784.05763;78804
784.15672;89930
784.21205;80672
784.22701;85197
784.30475;84574
784.33172;80880
784.4103;84604
784.44323;207630
784.46805;82141
784.96628;78843
785.00097;93755
785.39015;82556
785.44547;106103
785.57205;86746
785.69929;82431
785.79343;94645
785.8654;96253
785.94223;82224
785.9837;86827
786.03599;79885
786.31202;93591
786.53093;82343
786.79318;91952
786.81376;81575
786.84383;81625
786.85792;94465
786.97372;98599
787.07463;107398
787.12887;95237
787.72604;80167
787.77545;98429
788.33667;99239
788.59776;79910
788.62014;80536
788.80991;82563
788.86994;85145
788.88263;99287
788.95482;81916
789.2153;88101
789.43693;87524
789.59707;87885
789.63402;79495
790.28837;99344
790.39578;82434
790.41777;99418
790.63151;80266
790.64941;95009
790.69184;96210
790.71892;79387
790.78635;80538
790.7934;81200
790.89389;90192
790.95791;81059
790.98284;81615
791.00541;79039
791.25264;79036
791.31976;89478
791.47932;87991
791.66065;79484
791.74901;83727
791.9603;78876
791.99243;79063
792.08701;79997
792.63844;83210
792.71606;94370
792.73796;93711
792.8094;94803
792.87089;82268
792.89971;90845
792.99315;79776
793.12828;91146
793.17872;88093
793.25658;79344
793.26741;80625
793.32457;80749
793.40029;108762
793.46221;81078
793.69225;86043
793.90141;98599
793.98517;82002
794.03429;80386
794.36554;81261
794.38109;84291
794.39579;85115
794.43646;83770
794.62138;87367
794.82751;87243
794.94628;80295
794.95691;103992
794.98884;87832
795.00307;88000
795.16402;90917
795.2691;94312
795.33298;83531
795.44329;83570
795.44985;78912
795.53234;81789
795.62205;89222
795.64917;82639
795.75237;82463
795.96999;85820
796.0484;82096
796.20181;91811
796.54151;79592
796.5719;81702
796.75899;80353
796.80118;79297
796.8079;89212
796.84042;79052
796.92854;81226
796.9452;82186
797.32015;85022
797.4924;91736
797.62692;82986
797.66896;91433
797.76492;82157
797.79931;91881
798.04959;87093
798.12029;82638
798.2983;84240
798.46731;111351
798.53977;90352
798.60324;79606
799.20735;85348
799.28053;80216
799.3703;87087
799.68699;101830
799.76643;84277
799.89084;97350
799.99408;82649
800.17168;86782
800.41964;83140
800.43863;82806
801.1279;82237
801.40638;87792
801.71511;118095
801.74422;82259
801.94179;87491
802.12641;79589
802.2448;92918
802.38376;89159
802.5397;80356
802.58936;91373
802.6911;89689
802.72733;82404
802.7481;81553
803.00145;81304
803.29821;84418
803.38027;85028
803.55991;81347
803.5896;90507
803.63338;81321
803.89122;79158
804.0527;83524
804.25748;84392
804.36739;93225
804.4039;121493
804.46559;80784
804.55673;102629
804.66898;85586
805.00473;80414
805.26568;84071
805.89564;85111
805.9816;80084
806.24558;80000
806.37465;90733
806.66387;98557
806.67194;87284
806.70139;86690
807.26008;88130
807.30637;80427
807.48215;79208
807.58461;89745
807.87019;89334
807.90194;87207
807.96954;86346
808.02059;81962
808.20489;97170
808.35139;79085
808.47552;82367
808.80044;81702
808.90639;90261
808.98414;96257
809.0532;81270
809.08428;93890
809.19526;79127
809.42235;83433
809.55687;93030
809.72585;79478
809.84618;99111
809.97086;84549
810.1322;92847
810.16414;89166
810.4092;93880
810.41619;84655
810.4834;79392
810.77405;82179
811.12897;93073
811.15182;93966
811.33933;91851
811.37187;82272
811.44309;112786
811.83704;82962
811.93636;99361
812.10594;79067
812.27044;101190
812.27612;89527
812.35225;91978
812.46782;82346
812.47829;83431
812.58093;81964
812.60917;81511
812.69269;89847
812.70113;81331
812.8656;114881
813.00413;89367
813.33539;90333
813.41655;83016
813.4447;86753
813.54665;79569
813.65202;83080
813.73837;91045
814.02834;78946
814.15065;92508
814.16325;84220
814.46054;92175
814.64429;81906
814.81943;81237
814.85301;86147
814.89108;82963
815.32004;82036
815.40124;116052
815.80314;87321
815.85685;85296
816.61441;96185
816.73551;82379
816.99156;82905
817.08778;86688
817.18085;94227
817.24446;92291
817.3952;102455
817.42509;97315
817.66742;79729
817.86485;79259
818.1588;84832
818.16624;87274
818.20966;87952
818.46091;96420
818.49656;109429
818.51858;90003
819.01416;80978
819.15693;88518
819.1848;109208
819.3384;79031
819.39972;85637
819.46901;82972
819.49374;82918
819.5269;87451
819.63113;98715
819.70357;83974
820.01629;81363
820.28702;80395
820.38049;83292
820.43074;87080
821.04301;79046
821.0812;81067
821.32331;79676
821.35889;96817
821.51812;86904
821.54203;81949
821.60856;82539
821.92842;89961
821.99614;79465
822.17887;88335
822.27292;88182
822.32505;101202
822.33368;81187
822.46425;89888
822.60641;91832
822.66342;82515
822.7041;80743
822.87368;87845
822.92894;80470
823.0815;78820
823.11405;80170
823.35583;80104
823.60226;100166
823.7474;79273
824.43104;86681
824.6389;87029
824.74482;88876
824.8078;80644
824.87136;79201
824.93779;95162
825.00157;79785
825.26592;81124
825.45775;80157
825.53759;106857
825.57273;81350
825.74348;79725
825.81086;82220
826.04121;84273
826.16366;81352
826.22311;78891
826.28198;86677
826.32371;85321
826.5495;80584
826.91521;96871
827.43575;87604
827.58273;84331
827.65705;86277
827.69195;84062
827.72768;87042
828.00118;83102
828.1644;86666
828.34986;96795
828.39705;82735
828.67924;89689
828.78222;94766
828.78835;87031
829.0247;85928
829.5822;103462
829.69345;90237
829.707;84300
829.84727;81820
830.04152;85059
830.39349;99902
830.63944;103577
830.6625;80437
830.71685;80270
830.73871;85706
