m/z;I
694.01184;115382
696.33136;111666
697.32675;131301
698.31082;117665
698.3253;117621
698.35828;187937
699.34215;121786
700.14378;121370
700.36284;114139
701.34045;210263
701.39801;128384
702.31675;133543
702.3435;111153
703.98386;116358
704.00393;117877
704.14966;115673
704.44151;115559
704.79259;114294
704.80764;117815
705.00236;111298
706.24204;114421
706.455;114464
706.4688;121052
706.51857;117363
706.56113;115231
706.61269;118284
706.83215;124825
707.25548;113399
707.34798;169023
707.6751;142567
707.74832;116894
707.85482;122614
707.88368;140793
707.98251;123290
708.33066;158524
708.33238;178245
708.34447;132436
708.36873;130506
708.42283;121536
708.63131;123590
708.89972;126913
709.02032;120006
709.23161;112424
709.30395;129855
709.31592;120978
709.32713;216961
709.45778;125594
709.51144;130413
709.53553;117026
709.80146;124396
709.83339;113200
709.86026;111201
709.94868;131763
710.04187;123270
710.06373;122280
710.10402;114289
710.11003;111734
710.24747;114014
710.3306;150589
710.34414;122038
710.35923;118186
710.42952;126469
710.45218;113640
710.78565;134973
710.90642;125143
711.0972;125306
711.1853;120451
711.32716;136263
711.34332;127603
711.40504;139206
711.88935;117825
711.91908;112632
712.03399;117115
712.30103;127732
712.30494;119359
712.32477;124771
712.34279;129743
712.37463;170910
712.39097;128391
712.50642;117514
712.61014;128041
712.699;114104
712.78573;121553
712.83295;124959
712.95147;120445
713.05528;117349
713.06253;115772
713.13765;111456
713.15245;117513
713.21961;161744
713.31133;131614
713.34351;121711
713.39708;124727
713.40582;118481
713.52371;116194
713.73643;115127
713.85409;115300
713.88149;152712
713.93836;113654
713.95899;112704
713.97998;115466
713.99281;115011
714.00542;118461
714.01202;137938
714.10404;151226
714.19323;126465
714.20351;114021
714.26899;117609
714.30631;132697
714.3259;118184
714.32834;121689
714.34274;117312
714.38973;152913
714.41445;113172
714.42355;115262
714.45555;116528
714.60574;114095
714.66755;120278
714.70695;111604
714.70881;111705
714.72595;113691
714.97046;113511
715.00479;132374
715.06586;111653
715.09489;143741
715.20865;114335
715.23044;150602
715.3382;198449
715.41078;124959
715.46381;120677
715.55634;144725
715.63379;112590
715.83496;118714
715.86359;115644
715.93685;113862
716.03294;112553
716.05867;115184
716.13612;121233
716.26869;132534
716.34168;117729
716.364;114926
716.46168;114735
716.47837;111867
716.70041;114901
716.82314;116487
716.85904;115310
717.17044;114505
717.18573;111655
717.28407;115026
717.38586;115627
717.4027;113297
717.5296;126865
717.57332;142196
717.60689;123516
717.6569;150638
717.67849;122638
717.75662;127930
717.77237;142141
717.85364;114402
717.9485;112457
718.10378;143839
718.1768;119688
718.31521;116968
718.35305;156657
718.36426;143231
