m/z;I
693.68356;118299
693.71998;113321
694.35171;136774
695.34693;161434
696.28349;132492
696.30184;114470
697.27872;113863
698.31024;223988
698.48852;120816
700.34098;139484
700.39043;111483
700.68098;115484
701.00119;117478
701.3397;330203
701.36233;123789
701.56424;113252
701.99092;125213
702.59778;112824
702.88891;120452
702.99007;125694
703.34129;142088
703.61623;113678
703.66387;122775
703.98671;114265
704.09707;115115
704.47981;116274
704.88122;125623
704.89627;118578
705.00204;111930
705.04937;124358
705.15212;116239
705.26017;113095
705.3684;160009
705.6041;112725
705.63181;126075
705.70963;114729
706.01294;126165
706.31607;149851
706.33103;130172
706.35236;175960
706.57195;126685
706.61173;118450
706.84672;129551
706.93676;122642
706.95265;118039
707.47968;114928
707.63827;112370
707.86236;119082
708.16502;124718
708.16954;115513
708.30634;141370
708.33189;137226
708.36823;168839
708.37946;151144
708.58691;120728
708.87082;119715
708.92826;125563
708.95178;131967
709.02827;116953
709.32707;183958
709.35194;150081
709.36346;143926
709.50123;121011
709.63922;127179
709.65225;123642
710.31118;142694
710.34744;240990
710.55024;116214
710.58509;124754
710.62002;117858
710.63016;117593
710.65887;135995
710.66891;111476
710.68216;111509
711.30985;157542
711.34312;169021
711.4645;122202
711.58916;120641
711.61468;114218
711.86634;121331
711.98701;127121
712.09986;124985
712.16421;112600
712.17715;121782
712.18725;114332
712.32674;119730
712.37496;153446
712.44238;117115
712.56488;118099
712.62293;129238
712.65031;116536
712.70048;123757
713.00993;117550
713.03537;151039
713.17236;113166
713.21003;130528
713.25456;116999
713.40601;122619
713.42635;123180
713.45747;150855
713.62005;115050
713.67012;122845
713.72876;121092
713.74318;122450
713.82907;194201
713.87499;111723
713.88072;139531
713.99702;121935
714.05577;112158
714.34835;112310
714.41318;134325
714.45184;125889
714.5285;123363
714.57299;120415
714.69198;113831
714.87889;116081
714.91166;132752
714.91979;114045
714.93238;144375
714.96161;123019
714.97916;114936
715.16188;156894
715.33791;160962
715.36089;116406
715.39299;126685
715.40414;128482
715.41378;111518
715.54851;123574
715.62593;114628
715.69965;124571
715.70639;113788
715.90749;115241
715.94789;131664
716.07697;122673
716.16265;118937
716.29917;121813
716.42139;117173
716.70764;129651
716.73549;134595
716.91663;113697
717.04215;111691
717.22394;136650
717.4007;119470
717.46622;120978
717.55335;113822
717.69457;142485
717.72896;115191
717.74428;113806
717.80154;146303
717.83825;129947
717.879;132017
717.99682;113473
718.04679;125496
718.15378;112957
718.2324;118502
718.25978;145295
718.30436;135070
718.35266;171333
718.56812;112771
718.57501;134673
718.59426;146683
718.61716;115008
718.80401;133636
718.82743;139069
718.83094;115856
718.97421;112891
719.05131;140214
719.10194;112337
719.2324;135008
719.3372;119255
719.51906;118287
719.65818;112217
719.69533;115282
719.73695;125120
719.78091;124091
719.8341;119473
719.93147;112193
719.9528;125140
720.04216;132299
720.06414;137486
720.12427;112232
720.13801;124531
720.30131;158035
720.33106;121798
720.33808;116649
720.39978;114497
720.45012;135614
720.61857;113185
720.69167;137405
720.91639;125136
720.96996;124802
721.03539;121472
721.03877;120903
721.04883;117057
721.10946;114878
721.2044;113167
721.22184;115497
721.3756;129805
721.39264;126174
721.39963;149755
721.46813;122902
721.48455;139528
721.58133;121706
721.6995;117356
721.77181;127965
721.91448;128976
721.95751;116842
722.0629;112133
722.17905;136450
722.21813;144004
722.24029;112151
722.27254;114248
722.35852;676720
722.39493;205771
722.44892;111925
722.47675;135750
722.48879;130558
722.55556;125621
722.56466;115416
722.56895;127844
722.59789;131621
722.73256;130793
722.83267;113303
722.84485;129391
722.91307;115096
722.94359;121961
722.9859;113376
723.00003;119585
723.03376;120457
723.10335;122839
723.31522;128478
723.3425;145328
723.36166;246564
723.39813;134581
723.44818;113852
723.49787;131300
723.55578;113346
723.6016;118723
723.61544;115148
723.64227;116634
723.78936;123343
723.90826;119153
723.95936;114814
724.01653;140887
724.13331;137810
724.17824;118999
724.21036;113423
724.32666;118912
724.37353;162726
724.4101;131733
724.4197;112470
724.45988;152654
724.49358;132847
724.56506;115513
724.59609;166389
724.62466;111890
724.75233;123698
724.88375;123086
724.89732;126940
724.97389;122254
725.07744;117763
725.18268;121372
725.21576;119095
725.21859;140456
725.28751;127532
725.31561;121051
725.3672;116880
725.38568;136625
725.39406;257588
725.43571;136230
725.45086;129884
725.49964;159328
725.53038;129263
725.84512;116061
725.88366;127821
725.94398;122470
726.05843;111554
726.06331;118526
726.15254;121201
726.21172;123241
726.22486;123412
726.27079;114262
726.2882;119298
726.34129;139713
726.35322;119382
726.45391;122889
726.49893;120866
726.53402;120256
726.65962;122812
726.66715;131560
726.82479;132713
726.85585;142795
726.88979;121759
727.01767;113484
727.18451;116735
727.24063;111447
727.30081;123501
727.38113;119387
727.42425;113993
727.47315;114374
727.55489;130130
727.7135;113296
727.76179;139703
727.78597;112667
727.79573;122618
727.85234;131127
727.8664;112282
727.98162;133303
728.05159;129081
728.09797;126817
728.21561;117742
728.26952;112127
728.3323;221832
728.33622;213962
728.36886;415538
728.47589;115922
728.55145;122523
728.60194;115909
728.75022;172517
728.77574;115528
728.83962;123368
728.89674;112463
728.91286;114408
728.93772;118893
729.00737;121730
729.06475;135673
729.33562;175406
729.34655;131121
729.37199;126738
729.38419;118390
729.44299;126709
729.44944;126415
729.62631;161942
729.6606;115632
729.6949;136741
729.75919;123379
729.77919;133751
729.81738;121487
729.95615;118562
729.96596;117102
730.02888;131691
730.04564;115500
730.10803;120731
730.12341;116072
730.23576;124110
730.28702;139688
730.32003;141957
730.33844;112919
730.38441;161408
730.38997;123528
730.60749;145094
730.72077;119543
730.87951;120771
730.90749;131332
730.93487;111912
730.94598;121064
730.97025;126635
731.03431;112115
731.16231;124479
731.33312;114967
731.34731;126885
731.37901;117595
731.38743;112512
731.49164;142512
731.65671;113052
731.73254;121354
731.78687;115163
731.96266;117336
732.00327;111500
732.09453;113268
732.12809;121711
732.15307;117970
732.37515;119100
732.43133;116466
732.44084;129074
732.48465;116460
732.55268;132342
732.68864;118455
732.79572;123788
732.89496;123333
732.89966;118471
733.02537;128824
733.12358;113752
733.1486;121617
733.34709;127963
733.36325;219469
733.37107;146299
733.53423;125978
733.58434;126923
733.79372;111434
733.83558;122019
733.93476;130131
733.96914;121496
734.009;112097
734.12917;119848
734.17233;112482
734.34725;136490
734.36645;113099
734.37314;112673
734.44199;113780
734.52986;130254
734.57106;127517
734.62976;119168
734.66971;134048
734.72264;113704
734.79554;116651
734.82933;111940
735.00445;126415
735.02787;123962
735.12552;123397
735.19661;126878
735.30113;112955
735.30881;115580
735.3425;128136
735.3489;117407
735.39793;113191
735.42992;146793
735.44144;123904
735.49838;134248
735.61874;126939
735.669;113159
735.686;137370
735.69384;131444
735.70815;116854
736.0661;124737
736.12888;122109
736.22931;128729
736.2447;126790
736.49503;153296
736.54764;138710
736.60538;112505
736.6962;151335
736.81314;117273
736.90302;135660
737.05868;122906
737.25886;122713
737.28781;114766
737.32744;115627
737.35866;140110
737.36607;134112
737.49713;123489
737.52155;140432
737.54013;120412
737.61261;148077
737.62784;128228
737.67605;118288
737.83454;116085
737.84795;119511
737.9817;122864
738.01281;125647
738.03599;121749
738.10817;129526
738.30818;114877
738.34241;194377
738.34587;124922
738.38805;131899
738.3945;122266
738.40863;129499
738.42691;123231
738.50287;112727
738.52626;114029
738.63909;115540
738.71869;160451
738.72809;114381
738.73947;148398
738.85498;130216
738.89064;130421
738.95164;118254
738.96404;136276
739.14501;133365
739.18889;134111
739.20911;117002
739.23534;126490
739.28355;113584
739.55891;121028
739.58283;119743
739.63967;141831
739.64808;113816
739.68801;113735
739.7416;123010
739.7798;114899
739.82363;111664
739.90562;127812
739.95736;137619
740.04612;122459
740.12067;111579
740.25019;128426
740.32996;123919
740.41396;113070
740.44516;118438
740.5008;129509
740.60998;117715
740.70199;129187
740.70909;118845
740.73115;129412
741.11949;115362
741.16673;118468
741.17787;114013
741.18161;116194
741.24426;129801
741.27849;116606
741.35252;137281
741.41788;111585
741.58196;156739
741.59863;123444
741.61025;146625
741.65931;137714
741.72329;124253
741.77483;114700
741.79004;113826
741.82817;124583
741.84508;142373
741.87416;119971
742.11319;129449
742.12492;115471
742.18637;126279
742.26499;125754
742.31922;118519
742.33723;125549
742.49227;122121
742.53644;123928
742.55592;125313
742.75825;122101
742.77348;123754
742.8244;128552
742.99832;155417
743.19915;115909
743.24849;114794
743.32712;119873
743.36702;129532
743.41503;122655
743.46346;117636
743.5498;119619
743.64652;126893
743.80152;126533
743.81613;122058
744.00932;136095
744.10842;111714
744.23632;120615
744.56115;128650
744.69918;126644
744.73447;126716
744.75221;128908
744.88802;116315
744.90714;132658
745.02282;134034
745.08697;115417
745.35167;127618
745.53667;128852
745.57604;113689
745.62918;121114
745.68432;139460
745.75239;118195
745.76725;122858
745.88701;127961
745.89971;130702
746.22389;111461
746.33171;128500
746.62335;113536
746.72085;129373
747.02235;121013
747.42152;112329
747.48079;112909
747.4954;116337
747.53142;130283
747.53905;128561
747.55968;116692
747.6027;133824
747.80314;135310
747.98528;116500
748.30796;113154
748.33988;126588
748.35917;113485
748.39238;116421
748.39922;134666
748.46142;112198
748.48019;128408
748.55465;116242
748.57291;113470
748.57832;124288
748.69261;151748
748.9268;111648
748.99227;117435
749.03535;124913
749.10655;130314
749.17851;111859
749.46034;117512
749.46812;118425
749.576;122093
749.69143;144989
749.74742;115780
749.7645;112242
749.91966;122830
749.99172;122429
750.10117;118857
750.22823;118168
750.32499;112837
750.34204;160600
750.3518;113888
750.40772;113991
750.58888;117095
750.59088;128267
750.66283;116319
750.74024;139285
750.8035;113431
751.16196;115259
751.26658;113940
751.27295;112118
751.29004;143418
751.32033;115563
751.36759;136537
751.37414;119788
751.42553;144715
751.55245;125996
751.65493;112550
751.79917;117754
751.96762;134513
752.04262;126602
752.14445;114814
752.22425;115835
752.32145;143925
752.32733;117939
752.42881;111953
752.47394;116500
752.48261;112811
752.48801;128379
752.55962;125681
752.62258;137344
752.80933;113606
752.81667;116165
753.00786;119507
753.08958;124409
753.21388;117123
753.33519;138836
753.52458;116041
753.59104;112965
753.83252;121674
753.85447;118557
753.98815;133792
754.02044;118566
754.09623;124866
754.1341;112157
754.19359;118244
754.24647;112975
754.25354;130540
754.27337;121342
754.33715;113126
754.38168;118901
754.42126;163767
754.42711;151537
754.51336;128135
754.52645;115346
755.04499;114494
755.05371;118896
755.13032;115578
755.29665;111863
755.32926;165871
755.63743;118680
755.64934;111879
755.81585;111907
755.84054;128020
756.00181;132591
756.28512;111406
756.32475;120975
756.35008;111549
756.49209;118625
756.51998;120120
756.52866;146713
756.58401;176335
756.61288;128537
756.61699;117078
756.62709;113840
756.63128;124093
756.71826;114237
756.78062;153507
756.80934;133433
756.8868;114419
757.05314;112130
757.0712;123586
757.45347;124260
757.5147;119391
757.61593;127555
757.63285;121276
757.70099;125205
757.71018;129318
757.81728;113434
757.90591;117547
758.03792;113122
758.04784;114191
758.10355;153287
758.36083;115600
758.43077;113325
758.45627;132616
758.46619;115017
758.57165;147080
758.64306;121127
758.73677;115540
758.76862;117833
758.96464;127930
758.96961;144100
759.07001;121441
759.08164;111752
759.09724;119523
759.11063;114772
759.16926;115951
759.20992;114034
759.31339;115327
759.36185;117135
759.69637;117074
759.74159;115016
759.87199;119086
760.04593;115429
760.24599;112696
760.3585;149372
760.47796;124238
760.66326;130259
760.72856;126295
760.84459;114142
760.9276;112593
760.99206;115775
761.03191;127499
761.09074;116577
761.12315;123853
761.18705;130253
761.30936;119331
761.54778;122288
761.55029;120115
761.5969;118853
761.68205;119131
761.69799;119197
761.73204;114110
761.75425;111538
761.7629;115281
761.77558;130654
762.10174;114600
762.21471;114776
762.32191;135115
762.41437;124423
762.47788;117318
762.49342;125631
762.57313;139125
762.78294;111840
762.7909;114780
762.81799;112778
762.93921;126128
762.96342;128565
762.98215;120684
763.16626;112631
763.18247;118070
763.25704;111398
763.27248;118321
763.29579;116958
763.34091;115979
763.35131;149608
763.368;137498
763.38839;123493
763.4334;112741
763.61075;117101
763.6508;129574
763.73777;122302
763.74915;114931
763.76443;123535
763.79215;133218
763.85078;117487
763.9866;112547
763.99925;113466
764.05389;131404
764.16769;117144
764.34522;125014
764.37929;116138
764.51885;116362
764.60648;135170
764.76606;111554
764.78744;133358
764.88848;146469
764.89532;140256
764.90773;135548
765.05066;132691
765.05406;148009
765.06941;124198
765.22989;111960
765.2395;121492
765.27323;114244
765.34647;113520
765.35214;124985
765.57138;125779
765.83411;117348
765.85836;131059
766.06642;111852
766.08342;118677
766.0979;123716
766.26364;119155
766.3165;114450
766.53153;114362
766.55695;114651
766.64763;135355
766.72807;114956
766.7791;150007
766.80342;131763
766.87474;116111
767.03168;124868
767.11168;111891
767.13078;127492
