m/z;I
694.71078;117276
695.33556;122473
696.34218;128488
696.88021;115115
698.08831;117684
698.25737;118923
698.31019;237323
698.35771;220943
698.42212;114997
699.31792;120740
700.48383;132540
701.12215;115598
701.34004;206861
702.31802;128944
703.27687;114136
703.83833;115103
703.97688;118915
704.04437;111683
704.16984;119494
704.19768;120758
704.33857;113935
704.82504;112750
705.09141;127594
705.12049;113942
705.67239;117324
705.77598;113361
706.46055;111735
706.47873;111418
706.7061;120674
706.71298;117626
706.74616;114518
706.95866;113936
706.99526;143873
707.18283;115902
707.2027;113410
707.28812;136176
707.49753;128633
707.85566;114106
707.86577;127681
707.96319;111650
707.98712;112366
708.10769;120752
708.31708;162610
708.33167;125095
708.36821;262171
708.42543;134506
708.60138;138450
709.10458;136479
709.21842;133075
709.32704;180220
709.46619;112247
709.48071;123701
709.65381;120839
709.71345;132473
709.8338;113443
709.9578;111959
710.03157;120283
710.08594;122246
710.31105;126745
710.32151;115061
710.36939;115320
710.39032;114621
710.46815;120941
710.48055;114539
710.53099;120653
710.56012;124072
710.56691;124774
710.60743;120893
710.67414;126493
710.91187;114525
710.96723;130289
710.9845;111558
711.07097;145554
711.10421;117659
711.22643;126016
711.30996;114351
711.34286;153081
711.37923;125470
711.38286;137361
711.43004;122508
711.50993;125225
711.64102;112859
711.92125;130156
711.94421;114319
712.10953;130432
712.37467;237868
712.57332;122591
712.621;137644
712.72375;123087
712.77146;113600
712.77883;111925
713.16061;134734
713.29414;156587
713.31956;119503
713.33527;112231
713.37541;149266
713.39841;115163
713.42476;112958
713.71582;120397
713.77112;114071
713.81507;117789
713.84271;130126
713.92539;112803
713.98412;120355
714.014;118770
714.17643;121933
714.21461;121217
714.24686;114127
714.28553;130820
714.30059;128903
714.34877;118966
714.3784;111450
714.48304;112955
714.5268;142716
714.53592;140868
714.7003;122360
714.72672;128237
714.75463;114023
714.80568;127409
715.10682;111784
715.20517;124823
715.24759;114077
715.2557;114193
715.33807;182174
715.41057;135196
715.59585;123226
715.65019;121224
715.78609;116523
715.94865;126731
716.11644;117263
716.14373;142965
716.26753;112038
716.30473;141702
716.33729;112048
716.34866;113131
716.35919;127127
716.4186;123897
716.62313;142257
716.63575;120449
716.68214;123214
716.96575;132824
717.03602;113411
717.06629;147048
717.09208;113098
717.23738;126710
717.33925;125903
717.3564;111875
717.37584;111659
717.46381;113101
717.55033;113356
717.56669;116091
717.63481;119354
717.66637;126556
717.67448;130703
717.67789;116827
717.76911;112547
717.78478;118959
718.13852;124124
718.20385;120835
718.36872;132357
718.43219;117940
718.5353;121663
718.67162;121042
718.8808;114479
718.98343;112450
719.01238;113700
719.01779;114894
719.04817;113699
719.21765;115041
719.28648;126159
719.3344;111430
719.52647;112390
719.70358;115751
719.72286;123794
719.72831;125094
