m/z;I
722.35859;287774
806.78063;123411
898.51147;526671
1079.52381;257857
1105.57578;3812351
1121.58206;2927312
1138.56098;208884
1154.58179;172184
1163.59256;648016
1167.57616;671660
1180.64408;825207
1183.57092;650033
1193.55525;225025
1196.56661;160436
1196.63916;560589
1226.57726;207856
1239.64455;485650
1241.55965;236253
1241.66084;540728
1249.59226;188164
1261.62957;145635
1264.62989;160516
1311.62943;702612
1316.67183;157101
1319.63468;230618
1323.66642;181315
1335.63009;333381
1343.67129;416995
1373.67797;393906
1417.73008;200416
1420.64639;177327
1453.74457;12416575
1469.73914;380736
1473.67363;786344
1550.75742;537824
1562.78306;2893756
1562.83036;1095745
1586.75706;1793782
1615.82145;1149802
1628.72697;212068
1636.77326;181451
1648.77895;418416
1648.79233;177837
1683.8091;169255
1706.77383;499374
1743.72583;257117
1743.90406;157506
1749.83249;744335
1783.80145;296065
1786.88412;274202
1787.86969;238630
1795.91098;961437
1799.79984;676104
1803.91127;2073918
1804.89477;5445081
1816.86649;482371
1832.86056;958742
1846.90645;240886
1848.85631;666311
1874.82834;139837
1875.94209;197410
1892.92233;1099699
1918.95698;288384
1944.95443;718109
1961.98065;10331216
1974.8914;272203
1986.04247;173917
2011.03717;519982
2013.00194;1770392
2013.9864;1064682
2028.06527;8581401
2039.95433;391848
2044.05797;6128438
2056.97857;5922495
2089.0068;627925
2094.03;302034
2105.00246;1292341
2120.99884;439227
2131.11688;3346182
2138.02093;191411
2165.04956;263468
2173.12725;270173
2188.02913;2386658
2198.97148;364561
2214.9697;627055
2310.13754;252445
2344.05794;308071
2364.08427;652481
2375.10378;544205
2391.09498;292853
2410.13872;512736
2455.22425;851924
2471.21812;372311
2478.13564;563556
2483.18879;1060530
2499.18495;635221
2528.22857;337238
2564.16489;247909
2566.22859;1963553
2576.22308;594066
2592.22015;1453356
2651.25068;872837
2667.23975;357324
2673.26349;703606
2689.25989;4674557
2704.2461;11892877
2719.2343;3566386
2721.29912;466055
2731.27141;266111
2737.29567;676087
2752.27838;591233
2762.25413;210183
2767.32047;7645744
2785.30131;6374122
2801.29131;4508580
2820.35241;8082689
2821.23492;351367
2827.29826;372406
2843.29821;267088
2867.42747;411056
2883.42313;4268613
2889.35164;537181
2899.41852;535417
2918.29565;869001
2987.3879;8538084
2988.36225;1557902
3009.40024;828247
3017.49303;460797
3033.48531;6013814
3036.40719;1283084
3052.40238;1328985
3068.41998;507533
3075.49895;268798
3084.41238;5494532
3100.41078;13666045
3116.40827;8432517
3132.404;434127
3142.42546;634329
3153.46661;1441758
3154.33558;284334
3169.46134;1488560
3241.52857;677363
3525.48644;447696
3547.46856;418403
3681.56582;2020864
3752.60862;1461982
3898.77764;538263
4096.9432;1620608
4112.93974;1481451
4290.01645;687226
4305.00798;251198
4375.11962;596759
4391.11122;1597840
