m/z;I
727.39183;174069
836.43777;307483
868.46442;388287
892.46412;517083
892.5003;279905
898.47506;689856
898.51121;855540
908.49511;270494
953.4808;331717
989.48042;179020
1010.50194;457092
1028.52577;439468
1063.52851;301964
1068.51019;299741
1071.51413;127130
1079.56004;168875
1090.49196;172298
1105.57579;5714309
1107.51903;192877
1108.62755;213051
1120.54002;164284
1121.58208;3913956
1127.55772;482123
1138.5608;574590
1143.56383;351267
1163.59262;1602432
1165.52471;419523
1167.57635;1235385
1176.61325;291522
1180.64408;1442755
1183.57098;988581
1193.62815;561545
1196.63962;703052
1207.60733;200489
1226.57737;566529
1239.64472;587406
1241.55895;368085
1242.65996;385453
1249.59286;399232
1254.53559;351841
1259.65007;306802
1259.68633;283002
1261.59381;314039
1261.62994;769907
1311.6296;759867
1343.67265;822991
1354.63769;436892
1379.69269;507183
1392.6511;440282
1417.73015;567323
1432.6826;284236
1443.79625;191112
1453.74458;17455630
1459.69401;2446101
1473.67344;1275985
1475.72728;745870
1481.67468;205971
1511.74602;311924
1561.79902;3896259
1562.78315;4957015
1562.83062;1218132
1585.77332;1015040
1586.75706;2504557
1604.81515;541428
1620.81037;211217
1655.81578;459861
1685.87282;201299
1690.77879;1303023
1698.82176;637885
1704.87973;212413
1706.77417;4351666
1710.86909;445388
1726.86692;1087225
1728.75576;210872
1759.72035;550810
1768.86299;568245
1783.80293;648640
1786.88466;1085428
1787.86966;979575
1791.82675;360804
1798.81658;983336
1799.80077;2018303
1803.91109;6243881
1804.89501;9805828
1816.86647;1735865
1822.80423;147794
1826.87786;368896
1832.86111;4771192
1838.97567;299989
1848.85628;3158493
1870.836;250776
1888.91954;909355
1892.92116;260297
1919.96002;777697
1944.95497;1731120
1961.98131;19034188
1983.96355;692652
2005.95858;446034
2013.00234;2532923
2013.9861;759266
2014.95892;776836
2028.06525;5890287
2039.95573;2069100
2044.05866;2251347
2056.97973;23141232
2078.9653;426208
2089.00751;1760887
2094.94957;218243
2105.00268;3676774
2121.00008;968243
2126.98685;203654
2131.11728;8716428
2149.05249;871969
2150.0201;267221
2153.0965;518181
2165.04955;909963
2188.02946;7757435
2198.97381;1143363
2204.02308;857689
2210.00851;368025
2214.97048;2356389
2224.10246;236630
2244.0307;324400
2324.08786;600833
2348.08859;1258628
2356.11331;259329
2356.1892;329743
2364.08582;1065573
2377.11279;272390
2386.13376;165170
2410.13902;2318596
2419.14765;455707
2449.10435;347066
2453.15098;270958
2455.22588;2034591
2465.10167;744238
2467.19878;1598192
2472.21915;298946
2476.16986;273904
2481.09046;226501
2483.1906;3007712
2499.182;1477026
2502.16462;298720
2566.23202;5539055
2689.26012;12236696
2702.23569;8549579
2705.25309;43564324
2711.24343;811006
2719.23509;4283947
2727.2396;2192230
2767.32172;17861824
2785.30471;664229
2789.29968;546551
2811.36829;1351760
2820.23422;3368531
2820.35365;16340075
2842.33386;1129205
2867.42671;1082299
2883.42477;14876374
2889.35258;722397
2899.42342;2798238
2918.29448;469327
2969.36072;379672
2987.38836;28041612
3009.36629;1850034
3017.49313;1982676
3025.37618;627833
3033.48662;11522321
3036.40513;2712386
3052.40124;4420369
3068.38934;352416
3074.38579;397914
3084.4129;6682916
3098.40113;305855
3100.41097;19005978
3107.39967;431969
3116.40955;15873646
3121.50353;416519
3123.3999;1068021
3132.40412;1124938
3138.39242;1024841
3153.46651;359457
3225.54148;1500826
3241.53202;2216589
3257.52133;494975
3429.61065;451015
3531.46493;284470
3547.4656;1544943
3549.65505;727775
3665.57354;623551
3681.56846;3664762
3703.54707;1008704
3752.6073;1602427
3911.78434;211066
3977.02102;306145
4020.02866;252521
4096.94608;11732255
4112.94104;11784627
4119.93088;731725
4128.93284;1047333
4134.92051;1451359
4139.07289;2090580
4290.01757;1752986
4301.11925;623398
4306.01148;775668
4375.12404;2116527
4391.11575;4013355
4412.09453;463571
4493.13393;511039
4509.13112;327367
