m/z;I
811.44258;203845
823.05148;110493
868.46432;573930
892.4642;857088
898.47469;562120
898.51113;930285
908.49558;392203
944.46292;186026
981.02272;305993
1010.50213;676438
1014.0675;336170
1024.51807;149531
1026.49675;191708
1034.575;241422
1048.55373;244490
1064.51225;254288
1075.56468;225922
1088.59728;211085
1105.57565;8506955
1106.55979;1955477
1107.51871;257106
1108.57573;476772
1109.52941;144743
1110.55436;226984
1121.58198;5476313
1121.61838;904136
1125.52923;855797
1143.53204;292058
1143.56361;445356
1146.56592;524812
1154.58095;891684
1162.62212;1014269
1163.59241;1570965
1165.52385;577878
1167.5762;1127172
1177.59668;184180
1180.64432;1259737
1181.62844;512287
1182.55154;241577
1183.53595;245041
1183.57132;894553
1192.64443;177685
1193.51834;197635
1196.63938;1543875
1197.62352;725960
1203.62388;283884
1205.59202;310444
1207.60735;410513
1215.61198;251208
1219.61933;286168
1223.60233;356516
1224.53207;290179
1226.57732;474715
1230.58819;195228
1241.66078;2268988
1254.60819;188339
1259.64948;230829
1259.68635;472788
1261.59246;249217
1261.62997;492621
1264.629;408633
1267.60349;236465
1267.64723;192995
1272.59999;302087
1278.5716;232672
1280.62435;592466
1283.63925;403832
1296.58262;273737
1308.67385;813188
1324.62443;301668
1324.66825;560669
1332.65451;204014
1335.63058;951271
1341.67544;247675
1343.67198;560918
1353.67777;402061
1364.62199;151007
1369.67234;338537
1383.72636;325455
1386.77493;240198
1411.72363;178945
1416.68782;709807
1417.73051;903196
1423.70156;163432
1429.7553;415281
1432.68254;949179
1435.68305;6988138
1443.79584;418601
1447.75537;229737
1453.74443;38503616
1459.69417;5051571
1469.73948;1405580
1472.78663;235414
1473.6742;2266448
1475.72699;1957497
1481.67488;336268
1488.78198;279420
1502.77214;226932
1503.80376;167832
1511.74618;510309
1519.7997;172581
1537.70375;293450
1540.67117;247033
1548.77921;1052292
1550.75744;2564970
1561.79882;9028654
1562.78284;9995007
1562.83061;3259312
1572.75206;222121
1584.81117;203265
1585.77309;1499906
1586.75739;5453209
1604.70184;160830
1615.82107;2993495
1621.72886;562320
1628.72659;407760
1631.81409;214683
1637.80202;190722
1648.77952;389152
1648.79328;579373
1655.79999;1470982
1658.81823;321715
1665.76126;199797
1668.9068;188901
1674.81348;369318
1694.74568;602659
1698.82154;684428
1702.90045;1406650
1704.87973;710082
1707.75827;334822
1717.83049;774851
1726.86645;2597451
1735.80077;668847
1743.72637;904156
1747.88547;221377
1758.73454;246689
1759.71855;425948
1762.87339;229620
1765.86286;456315
1766.77837;364164
1768.86329;614132
1778.88227;233084
1783.80347;2780701
1786.88447;1379361
1787.86885;1801278
1791.82746;458233
1795.91136;2247220
1799.79954;2638155
1802.90771;523453
1803.91084;8091687
1804.89491;16731489
1816.86619;4583510
1826.87775;799014
1832.86126;6720928
1838.97634;452124
1842.84965;198361
1848.85658;2457338
1863.92134;150783
1870.83515;271818
1876.92793;364755
1879.9188;244418
1887.95908;612375
1888.91984;830773
1892.92281;3498187
1918.95704;1389200
1919.95958;371852
1927.86403;230895
1944.95409;4096660
1961.98082;44747936
1971.96389;580368
1983.96372;1790213
1986.04363;1075531
1999.93684;646483
2002.03756;1262391
2013.98577;13319598
2016.94553;267974
2028.06536;27255324
2035.96999;565799
2039.95545;2403222
2044.05802;31533906
2050.0443;835365
2056.97917;21101124
2057.96424;12142977
2066.04136;1201493
2079.94844;528752
2081.98439;228003
2089.00768;1223165
2094.02894;627898
2105.00208;2979909
2105.9866;1594700
2109.03288;623674
2115.97163;506777
2118.09632;401360
2120.99929;1241012
2131.11693;20623230
2138.01847;181575
2146.94229;506098
2153.09644;1786502
2165.04868;754088
2169.07348;841662
2188.02935;10763585
2198.97313;1611049
2199.95847;796772
2204.02097;523585
2207.14568;430278
2210.00807;753186
2214.96872;1192396
2247.00592;173084
2257.01309;275334
2264.16682;448892
2266.07219;507162
2280.18678;311763
2282.07121;4560355
2293.09045;531815
2294.1462;465460
2298.06733;1701661
2305.03726;553067
2310.1394;530256
2322.19369;369126
2332.11791;1444638
2335.20298;358202
2343.10314;583286
2344.03715;237874
2348.08777;1348503
2356.19151;549832
2364.0832;2020334
2365.20463;273664
2375.20442;317417
2390.14872;516847
2410.13376;2585227
2413.12711;901393
2419.15088;396175
2432.12338;226647
2439.23158;448240
2449.10947;407871
2455.22529;4635914
2465.09363;603695
2467.19755;1535470
2471.21806;1622995
2483.19086;3465510
2484.13786;331778
2499.18629;2622098
2528.22966;659124
2533.20781;998923
2549.2039;1304135
2550.14868;539319
2559.20332;342732
2566.22854;9308678
2568.1307;851757
2576.22687;1919437
2584.10246;262631
2592.22123;1515858
2606.32323;222534
2666.24039;520141
2673.26371;3102117
2689.25961;18236614
2702.23431;6024053
2705.25236;49017964
2712.24437;1053032
2719.23425;5681504
2725.29232;809296
2727.2392;4396012
2737.29569;851288
2743.21517;1757823
2759.27662;790967
2767.32082;37609012
2770.29561;3103709
2780.38833;1788391
2785.30248;9486548
2786.291;3685767
2790.26443;578511
2801.29444;4281686
2805.2693;829733
2819.34963;647976
2820.35442;14899343
2839.39331;590745
2842.33372;1509955
2867.42669;2337835
2883.42332;27374926
2899.42298;2921751
2905.41039;3221364
2918.29191;1914046
2921.38709;1309399
2937.37994;332390
2970.36427;540689
2977.31671;180657
2987.39145;14747301
2988.37021;11521745
2989.35019;3351486
3009.40324;1488179
3010.34589;860795
3017.49068;1021056
3020.4122;287153
3032.48282;290236
3033.4864;15855585
3036.40668;2210991
3052.40068;2065524
3055.47111;1602664
3068.41741;2020806
3071.44633;479641
3084.41499;16346357
3085.39222;5055460
3100.41328;27741020
3106.40013;1485556
3107.37726;415036
3116.41123;9886694
3117.38878;3258846
3122.37302;1874193
3122.39924;3830083
3138.37099;1667864
3153.44878;1306423
3153.47072;1793581
3169.4647;2141750
3225.54265;1012718
3226.5173;680927
3241.53433;2562953
3242.50686;1630616
3408.72767;776354
3409.70435;620730
3502.57893;319449
3547.47003;1098642
3563.43288;469093
3681.56679;1127645
3703.55149;277522
3752.60595;1257248
3774.59449;298953
4020.89448;1190931
4079.94156;270256
4094.93718;293035
4096.9443;2894213
4111.93785;2827680
4119.93318;375192
4128.94151;373099
4134.92002;532732
4139.07306;1244746
4230.07111;397985
4274.02513;336940
4290.02024;1258979
4305.99975;753654
4376.11062;958049
4391.10683;2907952
4413.08991;580374
4493.13631;1363035
4509.12792;602068
